Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,33.23%,4.69%,6.26%,(59.39%),(68.07%)
Total Revenues,33.23%,4.69%,6.26%,(59.39%),(68.07%)
Cost Of Revenues,52.21%,17.22%,1.86%,(32.50%),(37.72%)
Gross Profit,6.57%,(20.45%),19.24%,,
Selling General & Admin Expenses,48.39%,(11.41%),(3.99%),(67.73%),(73.31%)
Depreciation & Amortization,2.48%,6.99%,6.28%,(0.71%),(3.76%)
Other Operating Expense/(Income),26.86%,1.78%,19.58%,(25.44%),(31.79%)
Total Operating Expenses,23.53%,(0.46%),9.57%,(27.39%),(32.06%)
Operating Income,(6.10%),(40.11%),35.06%,,
Interest Expense,(186.67%),-15.12%,-13.70%,(38.10%),(92.73%)
Interest And Investment Income,25.93%,11.76%,10.53%,(26.19%),(30.95%)
Net Interest Expenses,"(1,633.33%)",-32.69%,-40.00%,(166.67%),(492.31%)
Other Non Operating Income (Expenses),,(266.67%),-90.91%,,(12.50%)
"EBT, Excl. Unusual Items",(10.57%),(41.13%),40.43%,,
"EBT, Incl. Unusual Items",(11.93%),(49.53%),73.68%,,
Income Tax Expense,(61.66%),(25.63%),66.89%,,
Earnings From Continuing Operations,20.45%,(54.48%),75.97%,,
Net Income to Company,20.45%,(54.48%),75.97%,,
Net Income,20.45%,(54.48%),75.97%,,
NI to Common Incl Extra Items,20.45%,(54.48%),75.97%,,
NI to Common Excl. Extra Items,20.45%,(54.48%),75.97%,,
Revenue Per Share,33.62%,4.67%,6.22%,(59.45%),(68.24%)
Basic EPS,20.80%,(54.48%),75.72%,,
Basic EPS - Continuing Ops,20.80%,(54.48%),75.72%,,
Basic Weighted Average Shares Outst.,(0.28%),0.02%,0.04%,0.14%,0.54%
Diluted EPS,20.90%,(54.58%),75.85%,,
Diluted EPS - Continuing Ops,20.90%,(54.58%),75.85%,,
Diluted Weighted Average Shares Outst.,(0.43%),0.10%,0.25%,(0.68%),(0.16%)
Normalized Basic EPS,(10.35%),(41.17%),40.32%,,
Normalized Diluted EPS,(10.19%),(41.16%),39.92%,,
Dividend Per Share,9.09%,6.67%,9.37%,(73.21%),(100.00%)
Payout Ratio,(9.63%),134.47%,(37.79%),,
EBITDA,(4.34%),(29.78%),25.44%,,
EBITA,(6.10%),(40.11%),35.06%,,
EBIT,(6.10%),(40.11%),35.06%,,
EBITDAR,7.66%,(19.48%),19.78%,,
Effective Tax Rate,(56.47%),47.34%,(3.91%),15.36%,20.79%
Normalized Net Income,(10.57%),(41.13%),40.43%,,
Interest Capitalized,(32.00%),5.88%,(16.67%),(26.67%),
Interest on Long-Term Debt,87.27%,(11.65%),(14.29%),25.64%,
