Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3081.7,3549.5,4130.1,4990.0,6069.1,6069.1
Other Revenues,2.4,1.6,1.1,1.1,0.8,0.8
Total Revenues,3084.1,3551.1,4131.2,4991.1,6069.9,6069.9
Cost Of Revenues,258.3,302.1,368.5,394.5,553.5,553.5
Gross Profit,2825.8,3249.0,3762.7,4596.6,5516.4,5516.4
Selling General & Admin Expenses,953.0,1083.5,1092.4,1261.1,1378.4,1378.4
R&D Expenses,757.2,862.1,730.3,886.0,1002.9,1002.9
Total Operating Expenses,2032.4,2265.7,2142.8,2456.7,2635.0,2635.0
Operating Income,793.4,983.3,1619.9,2139.9,2881.4,2881.4
Interest Expense,(96.9),(98.4),(98.2),(77.8),(104.7),(104.7)
Interest And Investment Income,10.9,18.5,65.3,100.3,44.7,44.7
Net Interest Expenses,(86.0),(79.9),(32.9),22.5,(60.0),(60.0)
Currency Exchange Gains (Loss),(5.2),(14.7),23.0,(0.4),(3.6),(3.6)
Other Non Operating Income (Expenses),,17.6,(17.6),33.2,6.3,6.3
"EBT, Excl. Unusual Items",702.2,906.3,1592.4,2195.2,2824.1,2824.1
"EBT, Incl. Unusual Items",576.2,547.8,242.2,2178.8,569.0,569.0
Income Tax Expense,176.8,104.5,164.6,(225.5),(34.4),(34.4)
Earnings From Continuing Operations,399.4,443.3,77.6,2404.3,603.4,603.4
Net Income to Company,399.4,443.3,77.6,2404.3,603.4,603.4
Net Income,399.4,443.3,77.6,2404.3,603.4,603.4
NI to Common Incl Extra Items,399.4,443.3,77.6,2404.3,603.4,603.4
NI to Common Excl. Extra Items,399.4,443.3,77.6,2404.3,603.4,603.4
Revenue Per Share,$13.75,$15.86,$18.55,$22.36,$27.58,$27.58
Basic EPS,$1.78,$1.98,$0.35,$10.77,$2.74,$2.74
Basic EPS - Continuing Ops,$1.78,$1.98,$0.35,$10.77,$2.74,$2.74
Basic Weighted Average Shares Outst.,224.3,223.9,222.7,223.2,220.1,220.1
Diluted EPS,$1.76,$1.97,$0.35,$10.70,$2.72,$2.72
Diluted EPS - Continuing Ops,$1.76,$1.97,$0.35,$10.70,$2.72,$2.72
Diluted Weighted Average Shares Outst.,226.3,225.4,224.5,224.8,222.0,222.0
Normalized Basic EPS,$1.96,$2.53,$4.47,$6.15,$8.02,$8.02
Normalized Diluted EPS,$1.94,$2.51,$4.43,$6.10,$7.95,$7.95
EBITDA,1167.1,1454.8,1999.8,2496.4,3189.7,3189.7
EBITA,1115.6,1303.5,1941.0,2454.9,3139.0,3139.0
EBIT,793.4,983.3,1619.9,2139.9,2881.4,2881.4
EBITDAR,1196.4,,,,,
Effective Tax Rate,30.7%,19.1%,68.0%,NM,NM,NM
Normalized Net Income,438.9,566.4,995.3,1372.0,1765.1,1765.1
Interest on Long-Term Debt,24.3,,,3.9,3.6,3.6
R&D Expense From Footnotes,842.2,909.4,1913.4,881.9,1002.9,1002.9
Foreign Sales,1825.3,1992.0,2116.1,2227.5,2465.1,2465.1
