Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,15.18%,16.36%,20.82%,21.63%,0.00%
Other Revenues,(33.33%),(31.25%),0.00%,(27.27%),0.00%
Total Revenues,15.14%,16.34%,20.81%,21.61%,0.00%
Cost Of Revenues,16.96%,21.98%,7.06%,40.30%,0.00%
Gross Profit,14.98%,15.81%,22.16%,20.01%,0.00%
Selling General & Admin Expenses,13.69%,0.82%,15.44%,9.30%,0.00%
R&D Expenses,13.85%,(15.29%),21.32%,13.19%,0.00%
Total Operating Expenses,11.48%,(5.42%),14.65%,7.26%,0.00%
Operating Income,23.93%,64.74%,32.10%,34.65%,0.00%
Interest Expense,(1.55%),-0.20%,-20.77%,(34.58%),0.00%
Interest And Investment Income,69.72%,252.97%,53.60%,(55.43%),0.00%
Net Interest Expenses,-7.09%,-58.82%,,,0.00%
Currency Exchange Gains (Loss),(182.69%),,,(800.00%),0.00%
Other Non Operating Income (Expenses),,,,(81.02%),0.00%
"EBT, Excl. Unusual Items",29.07%,75.70%,37.85%,28.65%,0.00%
"EBT, Incl. Unusual Items",(4.93%),(55.79%),799.59%,(73.88%),0.00%
Income Tax Expense,(40.89%),57.51%,,-84.75%,0.00%
Earnings From Continuing Operations,10.99%,(82.49%),"2,998.32%",(74.90%),0.00%
Net Income to Company,10.99%,(82.49%),"2,998.32%",(74.90%),0.00%
Net Income,10.99%,(82.49%),"2,998.32%",(74.90%),0.00%
NI to Common Incl Extra Items,10.99%,(82.49%),"2,998.32%",(74.90%),0.00%
NI to Common Excl. Extra Items,10.99%,(82.49%),"2,998.32%",(74.90%),0.00%
Revenue Per Share,15.35%,16.96%,20.55%,23.34%,0.00%
Basic EPS,11.23%,(82.40%),"2,977.70%",(74.55%),0.00%
Basic EPS - Continuing Ops,11.23%,(82.40%),"2,977.70%",(74.55%),0.00%
Basic Weighted Average Shares Outst.,(0.18%),(0.54%),0.22%,(1.39%),0.00%
Diluted EPS,11.93%,(82.31%),"2,957.14%",(74.58%),0.00%
Diluted EPS - Continuing Ops,11.93%,(82.31%),"2,957.14%",(74.58%),0.00%
Diluted Weighted Average Shares Outst.,(0.40%),(0.40%),0.13%,(1.25%),0.00%
Normalized Basic EPS,29.07%,76.64%,37.52%,30.40%,0.00%
Normalized Diluted EPS,29.54%,76.62%,37.77%,30.34%,0.00%
EBITDA,24.65%,37.46%,24.83%,27.77%,0.00%
EBITA,16.84%,48.91%,26.48%,27.87%,0.00%
EBIT,23.93%,64.74%,32.10%,34.65%,0.00%
Effective Tax Rate,(37.82%),256.19%,,,0.00%
Normalized Net Income,29.07%,75.70%,37.85%,28.65%,0.00%
Interest on Long-Term Debt,,,,(7.69%),
R&D Expense From Footnotes,7.98%,110.40%,(53.91%),13.72%,0.00%
Foreign Sales,9.13%,6.23%,5.26%,10.67%,
