Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,21.63%,23.26%,3.95%,45.05%,57.65%
Total Revenues,21.63%,23.26%,3.95%,45.05%,57.65%
Cost Of Revenues,4.52%,16.21%,(4.10%),40.20%,54.56%
Gross Profit,78.17%,36.93%,17.20%,51.57%,61.64%
Selling General & Admin Expenses,10.73%,8.91%,33.45%,32.67%,43.13%
R&D Expenses,18.65%,19.90%,7.88%,28.18%,33.11%
Other Operating Expense/(Income),-40.91%,,,,0.00%
Total Operating Expenses,19.77%,20.24%,12.07%,33.12%,36.53%
Operating Income,,255.12%,39.91%,116.96%,139.74%
Interest Expense,-19.23%,-3.97%,-22.31%,-50.00%,-46.25%
Interest And Investment Income,200.00%,200.00%,(16.67%),(46.67%),(46.67%)
Net Interest Expenses,-22.08%,-14.17%,-23.30%,-50.63%,-46.15%
Other Non Operating Income (Expenses),,0.00%,-33.33%,-75.00%,
"EBT, Excl. Unusual Items",-98.90%,,61.18%,143.43%,155.60%
"EBT, Incl. Unusual Items",-96.73%,,13.41%,244.09%,225.51%
Income Tax Expense,(53.85%),,,,
Earnings From Continuing Operations,-93.37%,,1.19%,630.21%,490.35%
Net Income to Company,-93.37%,,1.19%,630.21%,490.35%
Net Income,-93.37%,,1.19%,630.21%,490.35%
NI to Common Incl Extra Items,-93.37%,,1.19%,630.21%,490.35%
NI to Common Excl. Extra Items,-93.37%,,1.19%,630.21%,490.35%
Revenue Per Share,6.73%,19.45%,(6.38%),33.64%,48.12%
Basic EPS,-94.22%,,(8.07%),578.40%,454.65%
Basic EPS - Continuing Ops,-94.22%,,(8.07%),578.40%,454.65%
Basic Weighted Average Shares Outst.,14.01%,3.15%,11.10%,8.52%,6.44%
Diluted EPS,-94.22%,,(6.25%),587.93%,457.95%
Diluted EPS - Continuing Ops,-94.22%,,(6.25%),587.93%,457.95%
Diluted Weighted Average Shares Outst.,14.01%,11.76%,5.26%,7.77%,4.88%
Normalized Basic EPS,-99.04%,,42.70%,127.15%,140.15%
Normalized Diluted EPS,-99.04%,,52.90%,122.83%,143.71%
EBITDA,,129.15%,37.36%,97.07%,113.81%
EBITA,,255.12%,39.91%,116.96%,139.74%
EBIT,,255.12%,39.91%,116.96%,139.74%
EBITDAR,,113.97%,38.58%,89.19%,
Normalized Net Income,-98.90%,,61.18%,143.43%,155.60%
Interest on Long-Term Debt,,,,(73.68%),
R&D Expense From Footnotes,18.65%,19.90%,7.88%,28.18%,33.11%
Foreign Sales,14.60%,32.24%,(3.52%),50.37%,
