Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,11.98%,12.69%,6.45%,(11.99%),0.00%
Total Revenues,11.98%,12.69%,6.45%,(11.99%),0.00%
Cost Of Revenues,12.32%,11.36%,5.79%,(12.40%),0.00%
Gross Profit,11.32%,15.34%,7.72%,(11.21%),0.00%
Selling General & Admin Expenses,22.78%,7.87%,7.74%,(16.40%),0.00%
Total Operating Expenses,22.78%,7.87%,7.74%,(16.40%),0.00%
Operating Income,5.18%,20.02%,7.71%,(8.29%),0.00%
Interest Expense,(3.95%),-16.17%,(7.67%),-2.73%,0.00%
Interest And Investment Income,75.00%,(4.76%),130.00%,(41.30%),0.00%
Net Interest Expenses,(3.03%),-16.42%,(4.62%),-0.62%,0.00%
Other Non Operating Income (Expenses),,(24.83%),66.48%,101.53%,0.00%
"EBT, Excl. Unusual Items",8.75%,23.98%,8.30%,(7.90%),0.00%
"EBT, Incl. Unusual Items",14.95%,23.98%,8.30%,1.17%,0.00%
Income Tax Expense,(36.30%),82.04%,(0.65%),0.68%,0.00%
Earnings From Continuing Operations,33.06%,14.16%,10.72%,1.29%,0.00%
Net Income to Company,33.06%,14.16%,10.72%,1.29%,0.00%
Net Income,33.06%,14.16%,10.72%,1.29%,0.00%
NI to Common Incl Extra Items,33.06%,14.16%,10.72%,1.29%,0.00%
NI to Common Excl. Extra Items,33.06%,14.16%,10.72%,1.29%,0.00%
Revenue Per Share,13.13%,12.39%,7.90%,(12.64%),0.00%
Basic EPS,34.54%,13.86%,12.21%,0.60%,0.00%
Basic EPS - Continuing Ops,34.54%,13.86%,12.21%,0.60%,0.00%
Basic Weighted Average Shares Outst.,(1.02%),0.26%,(1.33%),0.74%,0.00%
Diluted EPS,34.25%,13.61%,12.28%,0.53%,0.00%
Diluted EPS - Continuing Ops,34.25%,13.61%,12.28%,0.53%,0.00%
Diluted Weighted Average Shares Outst.,(0.81%),0.37%,(1.43%),0.77%,0.00%
Normalized Basic EPS,9.79%,23.82%,9.94%,(8.72%),0.00%
Normalized Diluted EPS,9.58%,23.39%,9.98%,(8.46%),0.00%
Dividend Per Share,0.00%,55.56%,0.00%,28.57%,0.00%
Payout Ratio,(25.33%),36.50%,(10.67%),27.81%,0.00%
EBITDA,6.05%,18.11%,9.23%,(5.34%),0.00%
EBITA,5.76%,19.28%,8.53%,(5.76%),0.00%
EBIT,5.18%,20.02%,7.71%,(8.29%),0.00%
EBITDAR,6.11%,17.56%,8.92%,(5.44%),
Effective Tax Rate,(44.59%),46.80%,(8.26%),(0.51%),0.00%
Normalized Net Income,8.75%,23.98%,8.30%,(7.90%),0.00%
R&D Expense From Footnotes,10.16%,4.07%,13.08%,(5.42%),0.00%
Foreign Sales,127.14%,10.59%,1.08%,(10.71%),
