Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,9074.0,9566.0,11120.0,11158.0,10424.0,10702.0
Other Revenues,2765.0,2614.0,1804.0,1725.0,1534.0,1585.0
Total Revenues,11839.0,12180.0,12924.0,12883.0,11958.0,12287.0
Cost Of Revenues,6261.0,5897.0,6261.0,6565.0,6142.0,8215.0
Gross Profit,5578.0,6283.0,6663.0,6318.0,5816.0,4072.0
Selling General & Admin Expenses,3061.0,3158.0,3152.0,3273.0,3116.0,3187.0
Total Operating Expenses,3061.0,3158.0,3152.0,3273.0,3116.0,3187.0
Operating Income,2517.0,3125.0,3511.0,3045.0,2700.0,885.0
Interest Expense,(903.0),(911.0),"(1,008.0)","(1,019.0)",(865.0),(909.0)
Net Interest Expenses,(903.0),(911.0),"(1,008.0)","(1,019.0)",(865.0),(909.0)
"EBT, Excl. Unusual Items",1614.0,2214.0,2503.0,2026.0,1835.0,(24.0)
"EBT, Incl. Unusual Items",1591.0,2214.0,2484.0,2232.0,1831.0,(27.0)
Income Tax Expense,278.0,734.0,386.0,339.0,297.0,38.0
Earnings From Continuing Operations,1313.0,1480.0,2098.0,1893.0,1534.0,(65.0)
Net Income to Company,1313.0,1480.0,2098.0,1893.0,1534.0,(65.0)
Net Income,1313.0,1480.0,2098.0,1893.0,1534.0,(65.0)
NI to Common Incl Extra Items,1313.0,1480.0,2098.0,1893.0,1534.0,(65.0)
NI to Common Excl. Extra Items,1313.0,1480.0,2098.0,1893.0,1534.0,(65.0)
Revenue Per Share,$71.19,$79.04,$88.76,$96.07,$96.59,$100.59
Basic EPS,$7.90,$9.60,$14.41,$14.12,$12.39,($0.53)
Basic EPS - Continuing Ops,$7.90,$9.60,$14.41,$14.12,$12.39,($0.53)
Basic Weighted Average Shares Outst.,166.3,154.1,145.6,134.1,123.8,122.2
Diluted EPS,$7.81,$9.44,$14.20,$13.92,$12.20,($0.53)
Diluted EPS - Continuing Ops,$7.81,$9.44,$14.20,$13.92,$12.20,($0.53)
Diluted Weighted Average Shares Outst.,168.2,156.7,147.7,136.0,125.7,122.2
Normalized Basic EPS,$6.07,$8.98,$10.74,$9.44,$9.26,($0.12)
Normalized Diluted EPS,$6.00,$8.83,$10.59,$9.31,$9.12,($0.12)
Dividend Per Share,$2.92,$3.24,$3.53,$3.81,$4.09,$4.16
Payout Ratio,36.48%,33.18%,24.12%,26.62%,32.40%,
EBITDA,2765.0,3359.0,3709.0,3228.0,2907.0,1096.8
EBITA,2545.0,3152.0,3541.0,3082.0,2731.0,885.0
EBIT,2517.0,3125.0,3511.0,3045.0,2700.0,885.0
EBITDAR,2824.0,,,,2964.0,
Effective Tax Rate,17.5%,33.2%,15.5%,15.2%,16.2%,NM
Normalized Net Income,1008.8,1383.8,1564.4,1266.3,1146.9,(15.0)
Interest on Long-Term Debt,,,,,2.0,
