Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,30.80%,30.93%,20.45%,37.62%,0.00%
Total Revenues,30.80%,30.93%,20.45%,37.62%,0.00%
Cost Of Revenues,26.82%,24.32%,18.96%,40.94%,0.00%
Gross Profit,38.16%,42.16%,22.68%,32.85%,0.00%
Selling General & Admin Expenses,42.91%,33.81%,23.26%,35.58%,0.00%
R&D Expenses,40.63%,27.48%,24.60%,18.95%,0.00%
Other Operating Expense/(Income),28.14%,38.32%,14.19%,,0.00%
Total Operating Expenses,42.01%,31.51%,23.70%,29.11%,0.00%
Operating Income,(1.91%),202.51%,15.96%,58.98%,0.00%
Interest Expense,(75.21%),(67.10%),(12.91%),(2.94%),0.00%
Interest And Investment Income,102.00%,117.82%,89.09%,(33.29%),0.00%
Net Interest Expenses,(68.23%),(51.24%),-21.39%,(42.19%),0.00%
Currency Exchange Gains (Loss),"1,076.19%",,,(70.09%),0.00%
Other Non Operating Income (Expenses),,,,(43.48%),0.00%
"EBT, Excl. Unusual Items",(1.45%),205.92%,21.77%,59.12%,0.00%
"EBT, Incl. Unusual Items",0.16%,196.42%,23.89%,73.28%,0.00%
Income Tax Expense,(46.04%),55.66%,98.33%,20.60%,0.00%
Earnings From Continuing Operations,27.92%,232.11%,15.04%,84.08%,0.00%
Net Income to Company,27.92%,232.11%,15.04%,84.08%,0.00%
Net Income,27.92%,232.11%,15.04%,84.08%,0.00%
NI to Common Incl Extra Items,27.92%,232.11%,15.04%,84.08%,0.00%
NI to Common Excl. Extra Items,27.92%,232.11%,15.04%,84.08%,0.00%
Revenue Per Share,29.16%,29.05%,18.75%,35.97%,0.00%
Basic EPS,26.37%,227.27%,13.43%,81.85%,0.00%
Basic EPS - Continuing Ops,26.37%,227.27%,13.43%,81.85%,0.00%
Basic Weighted Average Shares Outst.,1.27%,1.46%,1.44%,1.21%,0.00%
Diluted EPS,25.51%,227.48%,14.25%,81.79%,0.00%
Diluted EPS - Continuing Ops,25.51%,227.48%,14.25%,81.79%,0.00%
Diluted Weighted Average Shares Outst.,1.86%,1.42%,0.80%,1.19%,0.00%
Normalized Basic EPS,(2.75%),201.79%,20.01%,57.24%,0.00%
Normalized Diluted EPS,(3.16%),201.50%,20.80%,57.24%,0.00%
EBITDA,26.68%,78.14%,30.37%,33.04%,0.00%
EBITA,(0.02%),188.37%,16.07%,56.38%,0.00%
EBIT,(1.91%),202.51%,15.96%,58.98%,0.00%
EBITDAR,29.79%,,,33.26%,
Effective Tax Rate,(46.12%),(47.50%),60.11%,(30.39%),0.00%
Normalized Net Income,(1.45%),205.92%,21.77%,59.12%,0.00%
Interest on Long-Term Debt,,,,(11.22%),
R&D Expense From Footnotes,40.63%,27.48%,24.60%,18.95%,0.00%
Foreign Sales,25.73%,26.77%,19.45%,41.04%,
