Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1129.2,1646.2,2151.4,2410.7,2317.5,2317.5
Total Revenues,1129.2,1646.2,2151.4,2410.7,2317.5,2317.5
Cost Of Revenues,406.1,584.4,778.0,866.4,835.6,835.6
Gross Profit,723.1,1061.8,1373.4,1544.3,1481.9,1481.9
Selling General & Admin Expenses,206.1,241.9,252.6,275.8,289.0,289.0
R&D Expenses,273.6,349.6,442.5,462.8,486.6,486.6
Total Operating Expenses,479.7,591.5,695.0,738.6,775.6,775.6
Operating Income,243.4,470.3,678.3,805.8,706.3,706.3
Interest Expense,(3.1),(2.8),(2.7),,,
Interest And Investment Income,3.0,8.1,31.7,51.1,27.1,27.1
Net Interest Expenses,(0.1),5.3,29.0,51.1,27.1,27.1
Currency Exchange Gains (Loss),(0.7),,,,,
Other Non Operating Income (Expenses),(0.3),(0.8),0.3,(0.1),(1.6),(1.6)
"EBT, Excl. Unusual Items",242.2,474.8,707.6,856.8,731.9,731.9
"EBT, Incl. Unusual Items",242.2,474.8,288.8,862.3,738.9,738.9
Income Tax Expense,58.0,51.6,(39.3),2.4,104.3,104.3
Earnings From Continuing Operations,184.2,423.2,328.1,859.9,634.6,634.6
Net Income to Company,184.2,423.2,328.1,859.9,634.6,634.6
Net Income,184.2,423.2,328.1,859.9,634.6,634.6
Preferred Dividend and Other Adjustments,1.2,0.8,0.2,0.4,,
NI to Common Incl Extra Items,183.0,422.4,327.9,859.4,634.6,634.6
NI to Common Excl. Extra Items,183.0,422.4,327.9,859.4,634.6,634.6
Revenue Per Share,$16.42,$22.78,$28.78,$31.59,$30.50,$30.50
Basic EPS,$2.66,$5.85,$4.39,$11.26,$8.35,$8.35
Basic EPS - Continuing Ops,$2.66,$5.85,$4.39,$11.26,$8.35,$8.35
Basic Weighted Average Shares Outst.,68.8,72.3,74.8,76.3,76.0,76.0
Diluted EPS,$2.50,$5.35,$4.06,$10.63,$7.99,$7.99
Diluted EPS - Continuing Ops,$2.50,$5.35,$4.06,$10.63,$7.99,$7.99
Diluted Weighted Average Shares Outst.,73.2,79.0,80.8,80.9,79.5,79.5
Normalized Basic EPS,$2.20,$4.11,$5.92,$7.02,$6.02,$6.02
Normalized Diluted EPS,$2.07,$3.76,$5.47,$6.62,$5.76,$5.76
EBITDA,263.2,490.9,706.0,838.6,750.9,750.9
EBITA,243.4,470.3,683.4,819.2,730.4,730.4
EBIT,243.4,470.3,678.3,805.8,706.3,706.3
EBITDAR,271.3,,,867.4,781.7,781.7
Effective Tax Rate,24.0%,10.9%,NM,0.3%,14.1%,14.1%
Normalized Net Income,151.4,296.7,442.3,535.5,457.4,457.4
R&D Expense From Footnotes,273.6,349.6,442.5,462.8,486.6,486.6
Foreign Sales,254.4,1646.2,2151.4,2410.7,2317.5,2317.5
