Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,45.79%,30.69%,12.05%,(3.87%),0.00%
Total Revenues,45.79%,30.69%,12.05%,(3.87%),0.00%
Cost Of Revenues,43.93%,33.12%,11.36%,(3.55%),0.00%
Gross Profit,46.83%,29.35%,12.45%,(4.04%),0.00%
Selling General & Admin Expenses,17.36%,4.41%,9.20%,4.79%,0.00%
R&D Expenses,27.78%,26.57%,4.59%,5.15%,0.00%
Total Operating Expenses,23.30%,17.50%,6.26%,5.01%,0.00%
Operating Income,93.20%,44.25%,18.78%,(12.35%),0.00%
Interest Expense,-11.35%,-2.84%,,,
Interest And Investment Income,170.22%,291.28%,61.51%,(46.94%),0.00%
Net Interest Expenses,,445.17%,76.57%,(46.94%),0.00%
Other Non Operating Income (Expenses),(140.52%),,,"(1,974.67%)",0.00%
"EBT, Excl. Unusual Items",96.00%,49.04%,21.09%,(14.59%),0.00%
"EBT, Incl. Unusual Items",96.00%,(39.17%),198.57%,(14.31%),0.00%
Income Tax Expense,(11.16%),,,"4,240.66%",0.00%
Earnings From Continuing Operations,129.76%,(22.47%),162.06%,(26.20%),0.00%
Net Income to Company,129.76%,(22.47%),162.06%,(26.20%),0.00%
Net Income,129.76%,(22.47%),162.06%,(26.20%),0.00%
Preferred Dividend and Other Adjustments,(34.56%),(76.40%),123.81%,,
NI to Common Incl Extra Items,130.86%,(22.37%),162.08%,(26.17%),0.00%
NI to Common Excl. Extra Items,130.86%,(22.37%),162.08%,(26.17%),0.00%
Revenue Per Share,38.75%,26.34%,9.76%,(3.45%),0.00%
Basic EPS,119.76%,(25.01%),156.54%,(25.83%),0.00%
Basic EPS - Continuing Ops,119.76%,(25.01%),156.54%,(25.83%),0.00%
Basic Weighted Average Shares Outst.,5.07%,3.45%,2.09%,(0.43%),0.00%
Diluted EPS,113.97%,(24.18%),161.74%,(24.84%),0.00%
Diluted EPS - Continuing Ops,113.97%,(24.18%),161.74%,(24.84%),0.00%
Diluted Weighted Average Shares Outst.,7.86%,2.36%,0.04%,(1.75%),0.00%
Normalized Basic EPS,86.66%,43.95%,18.54%,(14.25%),0.00%
Normalized Diluted EPS,81.50%,45.49%,21.05%,(13.05%),0.00%
EBITDA,86.55%,43.82%,18.78%,(10.46%),0.00%
EBITA,93.20%,45.33%,19.86%,(10.84%),0.00%
EBIT,93.20%,44.25%,18.78%,(12.35%),0.00%
EBITDAR,,,,(9.88%),
Effective Tax Rate,(54.67%),,,"4,941.79%",0.00%
Normalized Net Income,96.00%,49.04%,21.09%,(14.59%),0.00%
R&D Expense From Footnotes,27.78%,26.57%,4.59%,5.15%,0.00%
Foreign Sales,547.02%,30.69%,12.05%,(3.87%),
