Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10.80%,18.11%,17.18%,10.91%,0.00%
Total Revenues,10.80%,18.11%,17.18%,10.91%,0.00%
Cost Of Revenues,4.23%,13.66%,12.19%,27.71%,0.00%
Gross Profit,11.62%,18.63%,17.73%,9.14%,0.00%
Selling General & Admin Expenses,25.43%,21.48%,25.50%,13.21%,0.00%
R&D Expenses,7.02%,19.32%,27.55%,19.17%,0.00%
Total Operating Expenses,15.94%,17.39%,24.10%,17.12%,0.00%
Operating Income,5.84%,20.44%,8.65%,(3.86%),0.00%
Interest Expense,,-31.40%,"(5,766.10%)",(217.48%),0.00%
Interest And Investment Income,65.41%,64.02%,12.06%,(60.35%),0.00%
Net Interest Expenses,63.36%,65.21%,(17.83%),,0.00%
Currency Exchange Gains (Loss),,(58.04%),-17.92%,-92.27%,0.00%
Other Non Operating Income (Expenses),,400.00%,"7,600.00%",(92.21%),0.00%
"EBT, Excl. Unusual Items",6.00%,21.02%,8.28%,(6.32%),0.00%
"EBT, Incl. Unusual Items",4.04%,23.10%,7.29%,(5.48%),0.00%
Income Tax Expense,18.98%,(50.37%),5.28%,(15.78%),0.00%
Earnings From Continuing Operations,(2.40%),61.76%,7.61%,(3.86%),0.00%
Net Income to Company,(2.40%),61.76%,7.61%,(3.86%),0.00%
Net Income,(2.40%),61.76%,7.61%,(3.86%),0.00%
NI to Common Incl Extra Items,(2.40%),61.76%,7.61%,(3.86%),0.00%
NI to Common Excl. Extra Items,(2.40%),61.76%,7.61%,(3.86%),0.00%
Revenue Per Share,13.74%,19.51%,16.75%,8.87%,0.00%
Basic EPS,0.01%,63.74%,7.34%,(5.70%),0.00%
Basic EPS - Continuing Ops,0.01%,63.74%,7.34%,(5.70%),0.00%
Basic Weighted Average Shares Outst.,(2.57%),(1.19%),0.34%,1.88%,0.00%
Diluted EPS,(0.33%),63.76%,7.58%,(5.33%),0.00%
Diluted EPS - Continuing Ops,(0.33%),63.76%,7.58%,(5.33%),0.00%
Diluted Weighted Average Shares Outst.,(2.38%),(1.08%),0.01%,1.59%,0.00%
Normalized Basic EPS,8.71%,22.40%,7.77%,(7.98%),0.00%
Normalized Diluted EPS,8.77%,22.52%,8.36%,(7.86%),0.00%
EBITDA,4.50%,15.67%,7.93%,0.79%,0.00%
EBITA,4.89%,16.18%,7.21%,0.04%,0.00%
EBIT,5.84%,20.44%,8.65%,(3.86%),0.00%
EBITDAR,3.67%,15.67%,4.50%,1.01%,
Effective Tax Rate,14.37%,(59.68%),(1.86%),(10.89%),0.00%
Normalized Net Income,6.00%,21.02%,8.28%,(6.32%),0.00%
R&D Expense From Footnotes,10.73%,15.32%,27.55%,19.17%,0.00%
Foreign Sales,9.24%,16.14%,11.52%,3.03%,
