Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,78860.0,83648.0,85421.0,94173.0,104109.0,106268.0
Total Interest And Dividend Income,779.0,867.0,970.0,1005.0,877.0,914.0
Gain (Loss) on Sale of Investments,(115.0),(33.0),,,,
Other Revenues,5338.0,5567.0,5700.0,9034.0,16882.0,17450.0
Total Revenues,84862.0,90049.0,92091.0,104212.0,121868.0,124632.0
Policy Benefits,66834.0,72236.0,71895.0,81786.0,88045.0,90255.0
Amort. of Goodwill and Intangibles,192.0,169.0,358.0,338.0,361.0,358.0
Selling General & Admin Expenses,12559.0,12650.0,14020.0,15356.0,25202.0,25675.0
Total Operating Expenses,79585.0,85055.0,86273.0,97480.0,113608.0,116288.0
Operating Income,5277.0,4994.0,5818.0,6732.0,8260.0,8344.0
"Interest Expense, Total",(722.0),(748.0),(739.0),(745.0),(785.0),(783.0)
"EBT, Excl. Unusual Items",4555.0,4246.0,5079.0,5987.0,7475.0,7561.0
Restructuring Charges,,,,,(653.0),(653.0)
Legal Settlements,,,,,(548.0),(548.0)
Other Unusual Items,,(282.0),(11.0),(2.0),(36.0),(35.0)
"EBT, Incl. Unusual Items",4555.0,3964.0,5068.0,5985.0,6238.0,6325.0
Income Tax Expense,2085.0,121.0,1318.0,1178.0,1666.0,1609.0
Earnings From Continuing Operations,2470.0,3843.0,3750.0,4807.0,4572.0,4716.0
Net Income to Company,2470.0,3843.0,3750.0,4807.0,4572.0,4716.0
Net Income,2470.0,3843.0,3750.0,4807.0,4572.0,4714.0
NI to Common Incl Extra Items,2470.0,3843.0,3750.0,4807.0,4572.0,4714.0
NI to Common Excl. Extra Items,2470.0,3843.0,3750.0,4807.0,4572.0,4714.0
Revenue Per Share,$322.79,$344.36,$356.80,$407.87,$485.92,$500.63
Basic EPS,$9.40,$14.70,$14.53,$18.81,$18.23,$18.94
Basic EPS - Continuing Ops,$9.40,$14.70,$14.53,$18.81,$18.23,$18.94
Basic Weighted Average Shares Outst.,262.9,261.5,258.1,255.5,250.8,249.0
Diluted EPS,$9.21,$14.35,$14.19,$18.47,$17.98,$18.69
Diluted EPS - Continuing Ops,$9.21,$14.35,$14.19,$18.47,$17.98,$18.69
Diluted Weighted Average Shares Outst.,268.1,267.8,264.2,260.3,254.3,252.3
Normalized Basic EPS,$10.83,$10.15,$12.30,$14.65,$18.63,$18.97
Normalized Diluted EPS,$10.62,$9.91,$12.02,$14.38,$18.37,$18.73
Dividend Per Share,$2.60,$2.70,$3.00,$3.20,$3.80,$3.98
Payout Ratio,27.69%,18.35%,20.69%,17.02%,20.87%,21.02%
EBITDA,5633.0,5329.0,6485.0,7415.0,9002.0,9098.0
EBITA,5469.0,5163.0,6176.0,7070.0,8621.0,8702.0
EBIT,5277.0,4994.0,5818.0,6732.0,8260.0,8344.0
EBITDAR,5840.0,5534.0,6692.0,7643.0,9481.0,
Effective Tax Rate,45.8%,3.1%,26.0%,19.7%,26.7%,25.4%
Normalized Net Income,2846.9,2653.8,3174.4,3741.9,4671.9,4723.6
Interest on Long-Term Debt,17.0,17.0,12.0,9.0,6.0,
