Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.26%,7.72%,2.26%,0.48%,0.00%
Total Revenues,6.26%,7.72%,2.26%,0.48%,0.00%
Cost Of Revenues,1.81%,5.39%,(0.93%),(2.53%),0.00%
Gross Profit,13.06%,10.93%,6.43%,4.15%,0.00%
Selling General & Admin Expenses,5.78%,22.07%,(2.90%),(16.67%),0.00%
Depreciation & Amortization,(0.62%),9.32%,(2.27%),(2.91%),0.00%
Total Operating Expenses,12.86%,22.11%,(3.31%),(18.73%),0.00%
Operating Income,13.31%,(3.23%),21.99%,33.14%,0.00%
Interest Expense,0.00%,-1.42%,(10.43%),(8.79%),0.00%
Interest And Investment Income,200.00%,(81.48%),60.00%,(25.00%),0.00%
Net Interest Expenses,-6.59%,(7.06%),(9.52%),(9.70%),0.00%
Currency Exchange Gains (Loss),(333.33%),-74.36%,-10.00%,(22.22%),0.00%
Other Non Operating Income (Expenses),,,(14.29%),-25.00%,0.00%
"EBT, Excl. Unusual Items",15.86%,(4.75%),24.48%,37.36%,0.00%
"EBT, Incl. Unusual Items",(51.11%),81.90%,50.16%,31.75%,0.00%
Income Tax Expense,68.92%,(41.60%),103.42%,50.84%,0.00%
Earnings From Continuing Operations,(65.28%),152.87%,43.09%,28.14%,0.00%
Earnings Of Discontinued Operations,367.80%,(91.06%),,,0.00%
Net Income to Company,(11.68%),(7.05%),33.99%,28.29%,0.00%
Minority Interest,(8.82%),(8.11%),(2.50%),(19.51%),0.00%
Net Income,(12.18%),(7.50%),35.10%,28.52%,0.00%
NI to Common Incl Extra Items,(12.18%),(7.50%),35.10%,28.52%,0.00%
NI to Common Excl. Extra Items,(67.35%),166.33%,44.62%,28.38%,0.00%
Revenue Per Share,10.19%,13.56%,5.09%,3.38%,0.00%
Basic EPS,(8.97%),(2.43%),38.98%,32.25%,0.00%
Basic EPS - Continuing Ops,(66.16%),180.71%,48.73%,32.19%,0.00%
Basic Weighted Average Shares Outst.,(3.58%),(5.15%),(2.69%),(2.81%),0.00%
Diluted EPS,(8.80%),(2.56%),38.69%,32.72%,0.00%
Diluted EPS - Continuing Ops,(66.08%),180.39%,48.48%,32.65%,0.00%
Diluted Weighted Average Shares Outst.,(3.55%),(5.26%),(2.59%),(3.12%),0.00%
Normalized Basic EPS,20.40%,(0.06%),28.86%,41.97%,0.00%
Normalized Diluted EPS,20.57%,0.03%,28.84%,42.44%,0.00%
Dividend Per Share,9.30%,10.64%,10.26%,3.49%,0.00%
Payout Ratio,20.15%,13.46%,(20.56%),(21.81%),0.00%
EBITDA,19.62%,2.05%,15.32%,20.87%,0.00%
EBITA,21.45%,1.51%,16.72%,22.45%,0.00%
EBIT,13.31%,(3.23%),21.99%,33.14%,0.00%
EBITDAR,18.47%,2.91%,10.98%,17.21%,
Effective Tax Rate,245.61%,(67.90%),35.44%,14.52%,0.00%
Normalized Net Income,16.15%,(5.25%),25.46%,38.01%,0.00%
Interest on Long-Term Debt,,,,50.00%,
Foreign Sales,6.29%,7.63%,3.21%,(0.25%),
