Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,11.53%,16.98%,0.29%,4.54%,0.00%
Total Revenues,11.53%,16.98%,0.29%,4.54%,0.00%
Cost Of Revenues,10.71%,17.99%,1.12%,5.80%,0.00%
Gross Profit,13.23%,14.94%,(1.47%),1.84%,0.00%
Selling General & Admin Expenses,8.06%,6.65%,(0.52%),2.45%,0.00%
R&D Expenses,16.62%,14.04%,6.02%,11.32%,0.00%
Total Operating Expenses,9.81%,8.25%,0.97%,4.58%,0.00%
Operating Income,15.50%,19.15%,(2.86%),0.21%,0.00%
Interest Expense,(27.13%),(10.18%),(15.63%),-1.87%,0.00%
Net Interest Expenses,(27.13%),(10.18%),(15.63%),-1.87%,0.00%
Other Non Operating Income (Expenses),35.02%,(66.88%),27.36%,(22.96%),0.00%
"EBT, Excl. Unusual Items",15.17%,17.73%,(3.84%),0.16%,0.00%
"EBT, Incl. Unusual Items",18.52%,17.45%,(5.82%),2.05%,0.00%
Income Tax Expense,124.21%,(46.29%),(10.66%),(5.60%),0.00%
Earnings From Continuing Operations,(20.65%),84.18%,(4.35%),4.24%,0.00%
Net Income to Company,(20.65%),84.18%,(4.35%),4.24%,0.00%
Minority Interest,(5.15%),(16.67%),-24.37%,(10.00%),0.00%
Net Income,(20.95%),85.24%,(4.15%),4.19%,0.00%
NI to Common Incl Extra Items,(20.95%),85.24%,(4.15%),4.19%,0.00%
NI to Common Excl. Extra Items,(20.95%),85.24%,(4.15%),4.19%,0.00%
Revenue Per Share,12.43%,18.71%,1.50%,4.40%,0.00%
Basic EPS,(20.00%),88.71%,(2.94%),4.08%,0.00%
Basic EPS - Continuing Ops,(20.00%),88.71%,(2.94%),4.08%,0.00%
Basic Weighted Average Shares Outst.,(0.84%),(1.47%),(1.23%),0.17%,0.00%
Diluted EPS,(21.37%),86.89%,(2.85%),3.99%,0.00%
Diluted EPS - Continuing Ops,(21.37%),86.89%,(2.85%),3.99%,0.00%
Diluted Weighted Average Shares Outst.,0.41%,(1.23%),(1.50%),(0.13%),0.00%
Normalized Basic EPS,16.09%,19.49%,(2.57%),(0.23%),0.00%
Normalized Diluted EPS,15.06%,19.50%,(2.28%),0.46%,0.00%
Dividend Per Share,20.69%,25.71%,9.09%,8.33%,0.00%
Payout Ratio,50.14%,(33.18%),14.96%,2.19%,0.00%
EBITDA,13.85%,20.94%,(1.81%),(0.03%),0.00%
EBITA,14.37%,18.40%,(1.61%),(0.84%),0.00%
EBIT,15.50%,19.15%,(2.86%),0.21%,0.00%
EBITDAR,13.91%,21.91%,(1.23%),0.02%,
Effective Tax Rate,89.15%,(54.28%),(5.14%),(7.51%),0.00%
Normalized Net Income,15.31%,17.74%,(3.59%),0.07%,0.00%
Interest on Long-Term Debt,27.13%,10.18%,15.63%,(1.87%),
R&D Expense From Footnotes,16.62%,14.04%,6.02%,11.32%,0.00%
Foreign Sales,10.72%,18.43%,(4.36%),7.09%,
