Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,12.43%,12.89%,(6.86%),(2.78%),(1.36%)
Total Revenues,12.43%,12.89%,(6.86%),(2.78%),(1.36%)
Fuel & Purchased Power,24.03%,26.18%,(26.46%),(23.29%),(20.07%)
Operations And Maintenance,0.02%,10.41%,5.97%,(0.11%),(4.34%)
Depreciation & Amortization,9.85%,13.03%,8.41%,9.80%,9.89%
Other Operating Expenses,12.19%,8.35%,0.93%,3.59%,6.18%
Total Operating Expenses,13.08%,17.75%,(10.05%),(7.09%),(6.32%)
Operating Income,10.64%,(0.69%),3.73%,9.59%,12.39%
"Interest Expense, Total",(4.68%),-11.26%,-3.28%,-18.11%,-22.70%
Interest and Investment Income,,4.32%,186.90%,(29.52%),(29.52%)
Net Interest Expenses,(3.47%),-11.45%,-5.90%,-17.63%,-22.41%
Allow. For Equity Funds Used For Const.,,,,110.42%,110.42%
Other Non-Operating Inc. (Exp.),"(1,726.07%)",(36.30%),(87.79%),(46.89%),"(1,476.50%)"
"EBT, Excl. Unusual Items",11.42%,1.17%,6.41%,14.84%,17.56%
"EBT, Incl. Unusual Items",11.42%,1.17%,6.41%,14.84%,17.56%
Income Tax Expense,12.58%,(96.35%),"1,619.10%",4.64%,7.72%
Earnings From Continuing Operations,10.76%,57.58%,(15.20%),17.61%,20.29%
Earnings Of Discontinued Operations,200.53%,,,,
Net Income to Company,13.23%,52.13%,(15.20%),17.61%,20.29%
Net Income,13.23%,52.13%,(15.20%),17.61%,20.29%
Pref. Dividends and Other Adj.,(10.81%),19.10%,(28.28%),6.73%,10.07%
NI to Common Incl Extra Items,13.27%,52.17%,(15.19%),17.61%,20.30%
NI to Common Excl. Extra Items,10.79%,57.63%,(15.19%),17.61%,20.30%
Revenue Per Share,9.70%,7.90%,(11.76%),(7.21%),(5.52%)
Basic EPS,10.41%,45.50%,(19.71%),12.26%,15.22%
Basic EPS - Continuing Ops,8.18%,50.76%,(19.71%),12.26%,15.22%
Basic Weighted Average Shares Outst.,2.49%,4.63%,5.57%,4.77%,4.40%
Diluted EPS,10.66%,45.50%,(19.89%),12.41%,15.40%
Diluted EPS - Continuing Ops,8.11%,50.76%,(19.89%),12.41%,15.40%
Diluted Weighted Average Shares Outst.,2.49%,4.63%,5.81%,4.61%,4.15%
Normalized Basic EPS,8.82%,(3.35%),0.81%,9.55%,12.61%
Normalized Diluted EPS,8.82%,(3.35%),0.59%,9.79%,12.88%
Dividend Per Share,7.14%,7.78%,8.25%,9.52%,9.30%
Payout Ratio,(3.21%),(26.40%),34.81%,(2.27%),(5.41%)
EBITDA,10.40%,3.50%,5.29%,9.66%,11.53%
EBITA,10.64%,(0.69%),3.73%,9.59%,12.39%
EBIT,10.64%,(0.69%),3.73%,9.59%,12.39%
EBITDAR,10.06%,3.50%,5.72%,,
Effective Tax Rate,1.04%,(96.39%),"1,518.14%",(8.88%),(8.37%)
Normalized Net Income,11.42%,1.17%,6.41%,14.84%,17.56%
Interest Capitalized,,,12.23%,10.38%,
