Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.19%,6.88%,(13.48%),24.61%,0.00%
Total Revenues,6.19%,6.88%,(13.48%),24.61%,0.00%
Cost Of Revenues,4.47%,0.64%,(17.00%),8.19%,0.00%
Gross Profit,7.17%,10.34%,(11.70%),32.41%,0.00%
Selling General & Admin Expenses,18.14%,(11.26%),(12.00%),11.46%,0.00%
R&D Expenses,11.59%,2.99%,(9.36%),15.23%,0.00%
Total Operating Expenses,15.86%,(6.48%),(11.02%),12.88%,0.00%
Operating Income,(9.25%),50.91%,(12.71%),62.16%,0.00%
Interest Expense,-25.35%,-13.58%,-35.71%,(10.00%),0.00%
Interest And Investment Income,140.00%,170.83%,21.54%,(73.42%),0.00%
Net Interest Expenses,-33.33%,-45.65%,-85.33%,(609.09%),0.00%
Other Non Operating Income (Expenses),(14.29%),,,"(1,100.00%)",0.00%
"EBT, Excl. Unusual Items",(5.38%),63.58%,(10.12%),58.08%,0.00%
"EBT, Incl. Unusual Items",4.07%,63.08%,(13.00%),60.20%,0.00%
Income Tax Expense,527.14%,(96.70%),348.28%,222.31%,0.00%
Earnings From Continuing Operations,(71.74%),576.92%,(18.67%),46.17%,0.00%
Net Income to Company,(71.74%),576.92%,(18.67%),46.17%,0.00%
Net Income,(71.74%),576.92%,(18.67%),46.17%,0.00%
NI to Common Incl Extra Items,(71.62%),576.92%,(18.67%),46.17%,0.00%
NI to Common Excl. Extra Items,(71.62%),576.92%,(18.67%),46.17%,0.00%
Revenue Per Share,4.21%,5.72%,(14.02%),23.97%,0.00%
Basic EPS,(72.15%),573.67%,(19.36%),45.39%,0.00%
Basic EPS - Continuing Ops,(72.15%),573.67%,(19.36%),45.39%,0.00%
Basic Weighted Average Shares Outst.,1.89%,1.06%,0.66%,0.52%,0.00%
Diluted EPS,(71.88%),566.67%,(18.75%),44.62%,0.00%
Diluted EPS - Continuing Ops,(71.88%),566.67%,(18.75%),44.62%,0.00%
Diluted Weighted Average Shares Outst.,1.59%,0.65%,0.00%,0.91%,0.00%
Normalized Basic EPS,(7.00%),61.28%,(10.67%),57.41%,0.00%
Normalized Diluted EPS,(6.68%),62.72%,(10.00%),57.11%,0.00%
Dividend Per Share,13.33%,8.82%,10.81%,14.63%,0.00%
Payout Ratio,316.42%,(83.07%),34.30%,(23.62%),0.00%
EBITDA,(3.32%),13.34%,(17.35%),45.99%,0.00%
EBITA,(3.88%),13.73%,(17.77%),49.28%,0.00%
EBIT,(9.25%),50.91%,(12.71%),62.16%,0.00%
EBITDAR,(2.97%),13.10%,(16.07%),43.98%,
Effective Tax Rate,502.54%,(97.97%),413.60%,101.22%,0.00%
Normalized Net Income,(5.38%),63.58%,(10.12%),58.08%,0.00%
Interest on Long-Term Debt,(34.15%),,,,
R&D Expense From Footnotes,11.59%,2.99%,(9.36%),15.23%,0.00%
Foreign Sales,21.16%,4.95%,(13.48%),20.00%,
