Income Statement,Oct 2017,Nov 2018,Nov 2019,Nov 2020,TTM
Revenues,33.20%,18.21%,8.39%,5.71%,8.91%
Total Revenues,33.20%,18.21%,8.39%,5.71%,8.91%
Cost Of Revenues,24.51%,6.49%,(4.24%),(3.05%),0.43%
Gross Profit,38.99%,25.21%,14.80%,9.42%,12.44%
Selling General & Admin Expenses,1.70%,32.18%,59.20%,18.17%,(5.38%)
R&D Expenses,23.49%,14.11%,24.63%,5.79%,0.78%
Total Operating Expenses,37.54%,(0.17%),38.41%,13.66%,4.32%
Operating Income,43.72%,104.05%,(21.07%),(1.87%),37.39%
Interest Expense,-22.39%,(38.33%),(129.94%),(23.06%),(28.97%)
Interest And Investment Income,340.00%,159.09%,(14.04%),(45.92%),(45.92%)
Net Interest Expenses,-28.70%,(25.37%),(161.87%),(28.08%),(34.19%)
Other Non Operating Income (Expenses),,42.11%,,,
"EBT, Excl. Unusual Items",77.31%,117.58%,(40.66%),(14.76%),44.55%
"EBT, Incl. Unusual Items",,149.04%,(51.02%),9.75%,56.44%
Income Tax Expense,(94.55%),,-93.69%,(1.57%),(13.84%)
Earnings From Continuing Operations,,605.53%,(78.34%),8.22%,50.25%
Earnings Of Discontinued Operations,-94.64%,(216.67%),-36.84%,-91.67%,
Net Income to Company,,606.84%,(78.40%),8.66%,49.85%
Minority Interest,,(281.52%),,,
Net Income,,624.53%,(77.78%),8.66%,49.85%
Preferred Dividend and Other Adjustments,,,,924.14%,188.35%
NI to Common Incl Extra Items,,624.53%,(78.02%),(1.19%),44.22%
NI to Common Excl. Extra Items,,623.09%,(77.95%),(1.59%),44.63%
Revenue Per Share,20.39%,14.52%,13.83%,4.65%,7.02%
Basic EPS,,601.62%,(76.91%),(2.15%),41.72%
Basic EPS - Continuing Ops,,601.03%,(76.84%),(2.55%),42.12%
Basic Weighted Average Shares Outst.,10.66%,3.21%,(4.78%),1.01%,1.76%
Diluted EPS,,607.36%,(77.39%),(1.59%),43.04%
Diluted EPS - Continuing Ops,,606.70%,(77.32%),(2.01%),43.44%
Diluted Weighted Average Shares Outst.,9.92%,2.38%,(2.78%),0.48%,0.89%
Normalized Basic EPS,30.16%,99.89%,(29.83%),(15.62%),42.04%
Normalized Diluted EPS,31.40%,101.76%,(31.28%),(15.25%),43.26%
Dividend Per Share,90.87%,64.24%,41.77%,19.20%,16.10%
Payout Ratio,,(74.97%),535.61%,20.25%,(16.14%)
EBITDA,51.15%,28.84%,5.97%,10.02%,21.00%
EBITA,54.62%,29.79%,5.71%,10.61%,22.38%
EBIT,43.72%,104.05%,(21.07%),(1.87%),37.39%
EBITDAR,49.34%,27.63%,5.94%,8.46%,
Effective Tax Rate,,,,,-27.23%
Normalized Net Income,44.23%,106.36%,(33.15%),(14.76%),44.55%
R&D Expense From Footnotes,23.49%,14.11%,24.63%,5.79%,0.78%
Foreign Sales,35.11%,10.88%,1.16%,4.07%,
