Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,8.66%,8.24%,(1.24%),(1.39%),0.00%
Total Revenues,8.66%,8.24%,(1.24%),(1.39%),0.00%
Cost Of Revenues,9.46%,9.20%,(1.48%),(2.28%),0.00%
Gross Profit,6.62%,5.70%,(0.60%),1.01%,0.00%
Selling General & Admin Expenses,(2.32%),2.69%,(2.05%),(5.78%),0.00%
R&D Expenses,4.12%,5.14%,(5.70%),21.81%,0.00%
Total Operating Expenses,(1.80%),2.90%,(2.37%),(3.43%),0.00%
Operating Income,22.13%,9.85%,1.87%,6.91%,0.00%
Interest Expense,(5.18%),-7.14%,(29.57%),-7.65%,0.00%
Net Interest Expenses,(5.18%),-7.14%,(29.57%),-7.65%,0.00%
Currency Exchange Gains (Loss),,-37.06%,,,0.00%
Other Non Operating Income (Expenses),,,,(266.67%),0.00%
"EBT, Excl. Unusual Items",14.52%,15.40%,3.52%,5.65%,0.00%
"EBT, Incl. Unusual Items",23.56%,(6.23%),(55.34%),197.12%,0.00%
Income Tax Expense,96.74%,(72.25%),,,0.00%
Earnings From Continuing Operations,(12.13%),65.86%,(35.04%),83.10%,0.00%
Net Income to Company,(12.13%),65.86%,(35.04%),83.10%,0.00%
Net Income,(12.13%),65.86%,(35.04%),83.10%,0.00%
NI to Common Incl Extra Items,(12.13%),65.86%,(35.04%),83.10%,0.00%
NI to Common Excl. Extra Items,(12.13%),65.86%,(35.04%),83.10%,0.00%
Revenue Per Share,9.65%,9.49%,2.64%,(0.69%),0.00%
Basic EPS,(11.35%),67.84%,(32.44%),84.64%,0.00%
Basic EPS - Continuing Ops,(11.35%),67.84%,(32.44%),84.64%,0.00%
Basic Weighted Average Shares Outst.,(0.90%),(1.13%),(3.78%),(0.71%),0.00%
Diluted EPS,(11.58%),68.69%,(32.39%),85.15%,0.00%
Diluted EPS - Continuing Ops,(11.58%),68.69%,(32.39%),85.15%,0.00%
Diluted Weighted Average Shares Outst.,(0.66%),(1.66%),(4.06%),(1.06%),0.00%
Normalized Basic EPS,15.63%,16.83%,7.56%,6.37%,0.00%
Normalized Diluted EPS,15.14%,17.25%,7.98%,6.84%,0.00%
Dividend Per Share,10.00%,14.20%,12.44%,4.42%,0.00%
Payout Ratio,24.20%,(32.15%),66.89%,(43.34%),0.00%
EBITDA,18.85%,9.47%,1.29%,7.65%,0.00%
EBITA,20.94%,9.08%,1.66%,7.27%,0.00%
EBIT,22.13%,9.85%,1.87%,6.91%,0.00%
EBITDAR,18.23%,9.04%,1.15%,6.95%,
Effective Tax Rate,59.23%,(70.40%),,,0.00%
Normalized Net Income,14.52%,15.40%,3.52%,5.65%,0.00%
Interest Capitalized,36.11%,8.16%,0.00%,(26.42%),
R&D Expense From Footnotes,4.12%,5.14%,(5.70%),21.81%,0.00%
Foreign Sales,10.86%,9.45%,(1.85%),(2.64%),
