Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1.67%,2.47%,4.94%,4.63%,0.00%
Total Revenues,1.67%,2.47%,4.94%,4.63%,0.00%
Operations And Maintenance,(3.76%),7.73%,4.37%,4.85%,0.00%
Depreciation & Amortization,4.68%,10.77%,6.79%,3.78%,0.00%
Other Operating Expenses,1.82%,(2.15%),2.93%,(2.14%),0.00%
Total Operating Expenses,(1.21%),7.14%,4.78%,3.77%,0.00%
Operating Income,7.06%,(5.62%),5.26%,6.31%,0.00%
"Interest Expense, Total",(5.01%),-1.69%,(9.14%),(3.40%),0.00%
Interest and Investment Income,0.00%,,,,
Net Interest Expenses,(5.23%),(2.34%),(9.14%),(3.40%),0.00%
Other Non-Operating Inc. (Exp.),13.33%,(11.76%),93.33%,(24.14%),0.00%
"EBT, Excl. Unusual Items",7.89%,(8.75%),5.22%,6.57%,0.00%
Gain (Loss) on Sale of Assets,60.00%,25.00%,,,
"EBT, Incl. Unusual Items",18.44%,(13.71%),5.84%,10.92%,0.00%
Income Tax Expense,60.93%,(54.32%),(4.50%),1.42%,0.00%
Earnings From Continuing Operations,(8.97%),32.63%,9.91%,14.17%,0.00%
Net Income to Company,(8.97%),32.63%,9.91%,14.17%,0.00%
Net Income,(8.97%),33.10%,9.52%,14.17%,0.00%
NI to Common Incl Extra Items,(8.97%),33.10%,9.52%,14.17%,0.00%
NI to Common Excl. Extra Items,(8.97%),33.10%,9.52%,14.17%,0.00%
Revenue Per Share,1.67%,1.33%,4.37%,4.65%,0.00%
Basic EPS,(9.00%),31.80%,8.92%,14.20%,0.00%
Basic EPS - Continuing Ops,(9.00%),31.80%,8.92%,14.20%,0.00%
Basic Weighted Average Shares Outst.,0.00%,1.12%,0.56%,0.00%,0.00%
Diluted EPS,(9.16%),32.35%,8.89%,13.99%,0.00%
Diluted EPS - Continuing Ops,(9.16%),32.35%,8.89%,13.99%,0.00%
Diluted Weighted Average Shares Outst.,0.00%,0.56%,0.56%,0.55%,0.00%
Normalized Basic EPS,7.85%,(9.39%),4.31%,6.71%,0.00%
Normalized Diluted EPS,7.98%,(8.82%),4.31%,6.12%,0.00%
Dividend Per Share,10.20%,9.88%,9.83%,9.69%,0.00%
Payout Ratio,21.64%,(17.07%),1.04%,(3.47%),0.00%
EBITDA,6.37%,(0.93%),5.75%,5.49%,0.00%
EBITA,7.41%,(4.95%),5.38%,6.08%,0.00%
EBIT,7.06%,(5.62%),5.26%,6.31%,0.00%
EBITDAR,6.58%,(0.57%),,,
Effective Tax Rate,35.87%,(47.07%),(9.78%),(8.57%),0.00%
Normalized Net Income,7.89%,(8.39%),4.81%,6.57%,0.00%
Interest Capitalized,33.33%,62.50%,0.00%,0.00%,
