Income Statement,Oct 2016,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,4202.0,4472.0,4914.0,5163.0,5339.0,5530.0
Total Revenues,4202.0,4472.0,4914.0,5163.0,5339.0,5530.0
Cost Of Revenues,2005.0,2073.0,2234.0,2358.0,2502.0,2578.0
Gross Profit,2197.0,2399.0,2680.0,2805.0,2837.0,2952.0
Selling General & Admin Expenses,1174.0,1205.0,1322.0,1358.0,1395.0,1404.0
R&D Expenses,325.0,341.0,387.0,404.0,398.0,397.0
Total Operating Expenses,1499.0,1546.0,1709.0,1762.0,1793.0,1801.0
Operating Income,698.0,853.0,971.0,1043.0,1044.0,1151.0
Interest Expense,(72.0),(79.0),(75.0),(74.0),(78.0),(77.0)
Interest And Investment Income,11.0,22.0,38.0,36.0,8.0,5.0
Net Interest Expenses,(61.0),(57.0),(37.0),(38.0),(70.0),(72.0)
Currency Exchange Gains (Loss),(5.0),(2.0),(3.0),(7.0),(4.0),(6.0)
Other Non Operating Income (Expenses),23.0,21.0,28.0,18.0,15.0,22.0
"EBT, Excl. Unusual Items",645.0,815.0,959.0,1016.0,985.0,1095.0
"EBT, Incl. Unusual Items",544.0,803.0,946.0,919.0,842.0,935.0
Income Tax Expense,82.0,119.0,630.0,(152.0),123.0,125.0
Earnings From Continuing Operations,462.0,684.0,316.0,1071.0,719.0,810.0
Net Income to Company,462.0,684.0,316.0,1071.0,719.0,810.0
Net Income,462.0,684.0,316.0,1071.0,719.0,810.0
NI to Common Incl Extra Items,462.0,684.0,316.0,1071.0,719.0,810.0
NI to Common Excl. Extra Items,462.0,684.0,316.0,1071.0,719.0,810.0
Revenue Per Share,$12.89,$13.89,$15.31,$16.44,$17.28,$17.95
Basic EPS,$1.42,$2.12,$0.98,$3.41,$2.33,$2.63
Basic EPS - Continuing Ops,$1.42,$2.12,$0.98,$3.41,$2.33,$2.63
Basic Weighted Average Shares Outst.,326.0,322.0,321.0,314.0,309.0,308.0
Diluted EPS,$1.40,$2.10,$0.97,$3.37,$2.30,$2.60
Diluted EPS - Continuing Ops,$1.40,$2.10,$0.97,$3.37,$2.30,$2.60
Diluted Weighted Average Shares Outst.,329.0,326.0,325.0,318.0,312.0,311.0
Normalized Basic EPS,$1.24,$1.58,$1.87,$2.02,$1.99,$2.22
Normalized Diluted EPS,$1.23,$1.56,$1.84,$2.00,$1.97,$2.20
Dividend Per Share,$0.46,$0.53,$0.60,$0.66,$0.72,$0.73
Payout Ratio,32.47%,24.85%,60.44%,19.23%,30.88%,27.78%
EBITDA,944.0,1065.0,1181.0,1281.0,1352.0,1456.0
EBITA,852.0,973.0,1081.0,1171.0,1230.0,1334.0
EBIT,698.0,853.0,971.0,1043.0,1044.0,1151.0
EBITDAR,1005.0,1122.0,1245.0,1356.0,1413.0,
Effective Tax Rate,15.1%,14.8%,66.6%,NM,14.6%,13.4%
Normalized Net Income,403.1,509.4,599.4,635.0,615.6,684.4
Interest on Long-Term Debt,72.0,79.0,75.0,74.0,78.0,
R&D Expense From Footnotes,329.0,341.0,387.0,404.0,495.0,494.0
Foreign Sales,2951.0,3158.0,3500.0,3544.0,3587.0,
