Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,73.28%,15.96%,6.69%,(27.59%),(32.22%)
Total Interest Income,12.77%,15.96%,6.69%,(27.59%),(32.22%)
Interest On Deposits,"1,115.76%",50.79%,20.09%,(63.19%),(73.41%)
Total Interest Expense,23.88%,50.79%,20.09%,(63.19%),(73.41%)
Net Interest Income,10.08%,6.46%,1.51%,(11.31%),(14.84%)
Gain (Loss) on Sale of Invest. & Securities,(85.40%),-57.01%,(325.00%),-78.48%,-76.21%
Total Other Non Interest Income,354.39%,0.27%,(1.11%),(0.61%),4.12%
Total Non Interest Income,(1.69%),2.32%,(6.01%),4.68%,9.60%
Revenue Before Loan Losses,4.09%,4.47%,(2.03%),(4.09%),(3.77%)
Provision For Loan Losses,(5.59%),(3.36%),9.38%,215.32%,(35.96%)
Total Revenues,4.53%,4.79%,(2.46%),(13.29%),(0.88%)
Salaries And Other Employee Benefits,(0.29%),1.17%,(0.67%),2.50%,6.65%
Occupancy Expense,,1.85%,(37.23%),12.81%,13.26%
Total Selling General & Admin Expenses,(33.00%),(6.14%),32.20%,3.73%,4.34%
Total Other Non Interest Expense,(16.72%),(14.61%),(12.63%),10.58%,30.66%
Total Non Interest Expense,(1.03%),(2.50%),(0.61%),4.51%,9.07%
"EBT, Excl. Unusual Items",16.75%,18.39%,(5.29%),(42.01%),(18.73%)
"EBT, Incl. Unusual Items",16.75%,18.39%,(5.29%),(42.01%),(17.14%)
Income Tax Expense,52.54%,(41.38%),(17.29%),(79.32%),(61.36%)
Earnings From Continuing Operations,2.30%,54.38%,(2.55%),(34.76%),(9.10%)
Net Income to Company,2.30%,54.38%,(2.55%),(34.76%),(9.10%)
Net Income,2.30%,54.38%,(2.55%),(34.76%),(9.10%)
Preferred Dividend and Other Adjustments,(4.04%),(10.10%),(1.31%),(0.77%),(1.17%)
Net Income to Common Incl Extra Items,2.96%,60.65%,(2.61%),(36.64%),(9.61%)
Net Income to Common Excl. Extra Items,2.96%,60.65%,(2.61%),(36.64%),(9.61%)
Revenue Per Share,5.42%,5.85%,4.88%,(6.94%),4.11%
Basic EPS,3.82%,62.21%,4.87%,(32.06%),(5.06%)
Basic EPS - Continuing Ops,3.82%,62.21%,4.87%,(32.06%),(5.06%)
Basic Weighted Average Shares Outst.,(0.86%),(0.97%),(6.99%),(6.79%),(4.79%)
Diluted EPS,4.63%,67.31%,5.36%,(32.00%),(5.29%)
Diluted EPS - Continuing Ops,4.63%,67.31%,5.36%,(32.00%),(5.29%)
Diluted Weighted Average Shares Outst.,(2.43%),(5.02%),(7.76%),(6.84%),(4.79%)
Normalized Basic EPS,17.81%,19.60%,1.87%,(37.78%),(14.64%)
Normalized Diluted EPS,19.29%,24.94%,2.74%,(37.81%),(14.64%)
Dividend Per Share,56.00%,38.46%,22.22%,9.09%,4.35%
Payout Ratio,32.87%,(21.64%),(11.70%),99.64%,
Effective Tax Rate,30.65%,(50.49%),(12.66%),(64.33%),(53.36%)
Normalized Net Income,16.75%,18.39%,(5.29%),(42.01%),(18.73%)
Interest on Long-Term Debt,1.60%,22.02%,(3.11%),(35.51%),
Foreign Sales,10.98%,(18.20%),(2.29%),(0.56%),
