Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,0.54%,7.58%,(24.29%),(24.04%),0.00%
Total Revenues,0.54%,7.58%,(24.29%),(24.04%),0.00%
Cost Of Revenues,(3.05%),6.37%,(11.89%),(16.65%),0.00%
Gross Profit,20.20%,12.90%,(75.77%),,0.00%
Selling General & Admin Expenses,0.24%,10.34%,(19.51%),23.37%,0.00%
R&D Expenses,(6.25%),2.83%,(1.53%),(23.08%),0.00%
Total Operating Expenses,(2.70%),7.06%,(11.97%),1.57%,0.00%
Operating Income,44.72%,17.11%,,(311.94%),0.00%
Interest Expense,(17.65%),(31.94%),(52.00%),(198.61%),0.00%
Interest And Investment Income,(32.67%),(45.59%),,,
Net Interest Expenses,"(5,100.00%)",(133.33%),(98.35%),(192.66%),0.00%
Other Non Operating Income (Expenses),86.15%,(40.91%),95.80%,(39.29%),0.00%
"EBT, Excl. Unusual Items",43.35%,13.95%,,(316.75%),0.00%
"EBT, Incl. Unusual Items",74.77%,14.81%,,(540.81%),0.00%
Income Tax Expense,120.16%,(30.62%),,(56.19%),0.00%
Earnings From Continuing Operations,68.02%,23.67%,,"(1,777.52%)",0.00%
Net Income to Company,68.02%,23.67%,,"(1,777.52%)",0.00%
Minority Interest,,,,,0.00%
Net Income,68.02%,23.67%,,"(1,766.82%)",0.00%
NI to Common Incl Extra Items,68.02%,23.67%,,"(1,766.82%)",0.00%
NI to Common Excl. Extra Items,68.02%,23.67%,,"(1,766.82%)",0.00%
Revenue Per Share,6.10%,11.90%,(22.44%),(24.43%),0.00%
Basic EPS,77.27%,28.66%,,"(1,763.07%)",0.00%
Basic EPS - Continuing Ops,77.27%,28.66%,,"(1,763.07%)",0.00%
Basic Weighted Average Shares Outst.,(5.23%),(3.86%),(2.40%),0.53%,0.00%
Diluted EPS,76.88%,28.88%,,"(1,764.29%)",0.00%
Diluted EPS - Continuing Ops,76.88%,28.88%,,"(1,764.29%)",0.00%
Diluted Weighted Average Shares Outst.,(5.14%),(4.01%),(3.45%),0.53%,0.00%
Normalized Basic EPS,51.18%,18.50%,,(310.18%),0.00%
Normalized Diluted EPS,51.05%,18.69%,,(310.18%),0.00%
Dividend Per Share,30.28%,20.42%,20.18%,(75.00%),0.00%
Payout Ratio,(26.21%),(6.62%),,,0.00%
EBITDA,36.98%,14.78%,(98.79%),,0.00%
EBITA,44.72%,17.11%,,(371.03%),0.00%
EBIT,44.72%,17.11%,,(311.94%),0.00%
Effective Tax Rate,25.99%,(39.59%),628.66%,,0.00%
Normalized Net Income,43.35%,13.95%,,(312.47%),0.00%
Interest Capitalized,(35.29%),(26.36%),2.47%,(2.41%),
R&D Expense From Footnotes,(31.28%),2.83%,(1.53%),(23.08%),0.00%
Foreign Sales,(5.43%),12.23%,(25.36%),(48.56%),
