Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,6.97%,1.73%,1.77%,8.30%,8.30%
Total Revenues,6.97%,1.73%,1.77%,8.30%,8.30%
Cost Of Revenues,7.72%,1.99%,2.04%,9.16%,9.16%
Gross Profit,4.62%,0.86%,0.87%,5.45%,5.45%
Selling General & Admin Expenses,6.63%,(0.55%),(0.70%),0.08%,0.08%
Total Operating Expenses,6.63%,(0.26%),(0.09%),0.18%,0.18%
Operating Income,(3.29%),5.72%,4.80%,26.01%,26.01%
Interest Expense,(4.17%),-2.67%,-12.33%,-18.75%,-18.75%
Interest And Investment Income,54.84%,2.08%,(4.08%),(21.28%),(21.28%)
Net Interest Expenses,-34.15%,-11.11%,-29.17%,-11.76%,-11.76%
"EBT, Excl. Unusual Items",(2.61%),5.97%,5.22%,26.33%,26.33%
"EBT, Incl. Unusual Items",0.06%,3.91%,5.56%,19.27%,19.27%
Income Tax Expense,34.32%,(48.17%),6.60%,28.10%,28.10%
Earnings From Continuing Operations,(17.23%),46.55%,5.26%,16.68%,16.68%
Earnings Of Discontinued Operations,(95.24%),,,,
Net Income to Company,(18.57%),46.40%,5.26%,16.68%,16.68%
Net Income,(18.57%),46.40%,5.26%,16.68%,16.68%
NI to Common Incl Extra Items,(18.57%),46.40%,5.26%,16.68%,16.68%
NI to Common Excl. Extra Items,(17.23%),46.55%,5.26%,16.68%,16.68%
Revenue Per Share,13.42%,10.56%,6.19%,10.52%,10.52%
Basic EPS,(13.76%),59.06%,9.76%,19.00%,19.06%
Basic EPS - Continuing Ops,(12.25%),59.06%,9.76%,19.00%,19.06%
Basic Weighted Average Shares Outst.,(5.68%),(7.99%),(4.16%),(2.00%),(2.00%)
Diluted EPS,(14.35%),59.51%,10.58%,18.96%,18.96%
Diluted EPS - Continuing Ops,(12.83%),59.51%,10.58%,18.96%,18.96%
Diluted Weighted Average Shares Outst.,(4.80%),(8.37%),(4.73%),(1.90%),(1.90%)
Normalized Basic EPS,3.24%,15.14%,9.67%,29.00%,28.91%
Normalized Diluted EPS,2.38%,15.53%,10.38%,28.68%,28.78%
Dividend Per Share,24.58%,25.85%,10.81%,14.63%,14.63%
Payout Ratio,39.40%,(17.00%),0.73%,(7.63%),(7.63%)
EBITDA,(1.32%),7.61%,4.98%,19.58%,19.58%
EBITA,(3.29%),6.96%,7.21%,25.51%,25.51%
EBIT,(3.29%),5.72%,4.80%,26.01%,26.01%
EBITDAR,,,,13.92%,
Effective Tax Rate,34.23%,(50.12%),0.98%,7.40%,7.40%
Normalized Net Income,(2.61%),5.97%,5.22%,26.33%,26.33%
Interest on Long-Term Debt,4.17%,(2.67%),(12.33%),(18.75%),
Foreign Sales,10.59%,2.46%,(1.43%),12.63%,
