Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,12483.0,12093.0,15983.0,17290.0,17117.0,18207.0
Total Revenues,12483.0,12093.0,15983.0,17290.0,17117.0,18207.0
Cost Of Revenues,6492.0,6128.0,8178.0,9002.0,9198.0,9500.0
Gross Profit,5991.0,5965.0,7805.0,8288.0,7919.0,8707.0
Selling General & Admin Expenses,3005.0,2953.0,4029.0,4334.0,4318.0,4346.0
R&D Expenses,828.0,770.0,1004.0,1032.0,1096.0,1117.0
Other Operating Expense/(Income),,(1.0),,1.0,(15.0),(15.0)
Total Operating Expenses,3833.0,3722.0,5033.0,5367.0,5399.0,5448.0
Operating Income,2158.0,2243.0,2772.0,2921.0,2520.0,3259.0
Interest Expense,(388.0),(521.0),(706.0),(639.0),(528.0),(510.0)
Interest And Investment Income,29.0,76.0,65.0,12.0,7.0,8.0
Net Interest Expenses,(359.0),(445.0),(641.0),(627.0),(521.0),(502.0)
Currency Exchange Gains (Loss),(3.0),(11.0),(14.0),(23.0),(17.0),(17.0)
Other Non Operating Income (Expenses),5.0,3.0,37.0,74.0,27.0,39.0
"EBT, Excl. Unusual Items",1801.0,1787.0,2154.0,2345.0,2009.0,2779.0
"EBT, Incl. Unusual Items",1073.0,976.0,1173.0,1176.0,985.0,1747.0
Income Tax Expense,97.0,(124.0),862.0,(57.0),111.0,148.0
Earnings From Continuing Operations,976.0,1100.0,311.0,1233.0,874.0,1599.0
Net Income to Company,976.0,1100.0,311.0,1233.0,874.0,1599.0
Net Income,976.0,1100.0,311.0,1233.0,874.0,1599.0
Preferred Dividend and Other Adjustments,,70.0,152.0,152.0,107.0,92.0
NI to Common Incl Extra Items,976.0,1030.0,159.0,1081.0,767.0,1507.0
NI to Common Excl. Extra Items,976.0,1030.0,159.0,1081.0,767.0,1507.0
Revenue Per Share,$58.69,$55.23,$61.86,$64.05,$61.36,$64.14
Basic EPS,$4.59,$4.70,$0.62,$4.00,$2.75,$5.31
Basic EPS - Continuing Ops,$4.59,$4.70,$0.62,$4.00,$2.75,$5.31
Basic Weighted Average Shares Outst.,212.7,218.9,258.4,269.9,279.0,283.8
Diluted EPS,$4.49,$4.60,$0.60,$3.94,$2.71,$5.26
Diluted EPS - Continuing Ops,$4.49,$4.60,$0.60,$3.94,$2.71,$5.26
Diluted Weighted Average Shares Outst.,217.5,223.6,264.6,274.8,282.4,286.9
Normalized Basic EPS,$5.29,$5.10,$5.21,$5.43,$4.50,$6.12
Normalized Diluted EPS,$5.17,$5.00,$5.09,$5.33,$4.45,$6.05
Dividend Per Share,$2.64,$2.92,$3.00,$3.08,$3.16,$3.20
Payout Ratio,57.58%,61.55%,298.07%,79.81%,117.39%,64.92%
EBITDA,3272.0,3331.0,4750.0,5174.0,4674.0,5438.0
EBITA,2710.0,2796.0,4027.0,4418.0,3904.0,4646.0
EBIT,2158.0,2243.0,2772.0,2921.0,2520.0,3259.0
EBITDAR,3384.0,3441.0,4899.0,5343.0,4805.0,
Effective Tax Rate,9.0%,NM,73.5%,NM,11.3%,8.5%
Normalized Net Income,1125.6,1116.9,1346.3,1465.6,1255.6,1736.9
Interest Capitalized,30.0,32.0,42.0,44.0,43.0,
R&D Expense From Footnotes,828.0,770.0,1004.0,1062.0,1096.0,1117.0
Foreign Sales,5591.0,5589.0,7215.0,7561.0,7401.0,
