Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,(3.55%),(1.61%),(8.77%),(1.90%),8.83%
Other Revenues,5.61%,(84.96%),52.29%,18.88%,"1,773.33%"
Total Revenues,(3.41%),(2.94%),(8.62%),(1.82%),9.30%
Cost Of Revenues,(2.97%),(1.22%),(4.01%),1.26%,11.58%
Gross Profit,(3.92%),(4.97%),(14.30%),(6.05%),6.10%
Selling General & Admin Expenses,0.06%,9.71%,4.14%,3.60%,19.02%
Total Operating Expenses,0.06%,9.99%,5.92%,8.69%,30.11%
Operating Income,(5.01%),(9.27%),(21.35%),(12.97%),(5.36%)
Interest Expense,(3.21%),-10.10%,-51.62%,(49.11%),(157.92%)
Interest And Investment Income,17.15%,110.81%,10.47%,(35.49%),(12.49%)
Net Interest Expenses,44.02%,277.75%,30.87%,(45.77%),(32.23%)
Currency Exchange Gains (Loss),(451.72%),,"2,083.33%",,"(30,200.00%)"
Other Non Operating Income (Expenses),,57.25%,(5.99%),74.51%,74.51%
"EBT, Excl. Unusual Items",(2.29%),(6.05%),(19.40%),(22.00%),(17.49%)
"EBT, Incl. Unusual Items",1.97%,(13.10%),(25.61%),(38.23%),(36.50%)
Income Tax Expense,2.33%,93.90%,(69.96%),(47.82%),(39.22%)
Earnings From Continuing Operations,1.82%,(58.50%),62.31%,(34.71%),(35.54%)
Net Income to Company,1.82%,(58.50%),62.31%,(34.71%),(35.54%)
Minority Interest,(200.00%),,,,(72.10%)
Net Income,(1.74%),(54.95%),56.42%,(33.19%),(37.52%)
Preferred Dividend and Other Adjustments,13.76%,41.94%,(38.07%),40.37%,103.97%
NI to Common Incl Extra Items,(1.84%),(55.66%),58.65%,(33.86%),(38.94%)
NI to Common Excl. Extra Items,(1.84%),(55.66%),58.65%,(33.86%),(38.94%)
Revenue Per Share,0.87%,0.92%,(2.53%),0.50%,11.24%
Basic EPS,2.52%,(53.83%),69.26%,(32.21%),(37.85%)
Basic EPS - Continuing Ops,2.52%,(53.83%),69.26%,(32.21%),(37.85%)
Basic Weighted Average Shares Outst.,(4.28%),(3.83%),(6.29%),(2.32%),(1.74%)
Diluted EPS,2.38%,(53.83%),69.06%,(32.34%),(37.93%)
Diluted EPS - Continuing Ops,2.38%,(53.83%),69.06%,(32.34%),(37.93%)
Diluted Weighted Average Shares Outst.,(4.23%),(3.77%),(6.26%),(2.36%),(1.78%)
Normalized Basic EPS,(2.43%),5.56%,(15.97%),(18.32%),(17.89%)
Normalized Diluted EPS,(2.48%),5.44%,(16.09%),(18.41%),(17.85%)
Dividend Per Share,11.11%,15.00%,13.04%,3.85%,3.81%
Payout Ratio,9.86%,149.98%,(33.27%),53.89%,63.24%
EBITDA,(5.26%),(7.18%),(19.79%),(10.22%),(0.89%)
EBITA,(5.26%),(9.35%),(20.70%),(10.45%),0.17%
EBIT,(5.01%),(9.27%),(21.35%),(12.97%),(5.36%)
EBITDAR,(5.44%),(6.78%),(18.21%),(8.70%),
Effective Tax Rate,0.34%,123.14%,(59.62%),(15.52%),(4.29%)
Normalized Net Income,(6.43%),1.65%,(21.29%),(20.29%),(19.32%)
Foreign Sales,(1.28%),2.99%,(12.47%),(13.26%),
