Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,4.45%,5.98%,0.97%,10.12%,0.00%
Total Revenues,4.45%,5.98%,0.97%,10.12%,0.00%
Cost Of Revenues,4.60%,9.46%,(1.15%),5.69%,0.00%
Gross Profit,4.32%,3.15%,2.81%,13.81%,0.00%
Selling General & Admin Expenses,2.16%,3.99%,(2.76%),(1.52%),0.00%
R&D Expenses,14.07%,(15.11%),(1.30%),15.86%,0.00%
Total Operating Expenses,4.63%,(0.33%),(2.48%),1.87%,0.00%
Operating Income,2.25%,26.86%,31.09%,61.33%,0.00%
Interest Expense,(4.89%),(4.12%),-2.28%,-6.64%,0.00%
Interest And Investment Income,29.93%,39.27%,14.66%,(40.33%),0.00%
Net Interest Expenses,-45.95%,,168.54%,,0.00%
Currency Exchange Gains (Loss),(100.97%),-68.66%,-21.53%,-21.11%,0.00%
Other Non Operating Income (Expenses),"(2,906.00%)",-99.53%,,,0.00%
"EBT, Excl. Unusual Items",0.47%,40.08%,34.48%,54.79%,0.00%
"EBT, Incl. Unusual Items",135.33%,424.16%,341.05%,117.05%,0.00%
Income Tax Expense,,,241.67%,119.22%,0.00%
Earnings From Continuing Operations,370.19%,199.07%,381.02%,116.43%,0.00%
Net Income to Company,370.19%,199.07%,381.02%,116.43%,0.00%
Net Income,370.19%,199.07%,381.02%,116.43%,0.00%
NI to Common Incl Extra Items,370.19%,199.07%,381.02%,116.43%,0.00%
NI to Common Excl. Extra Items,370.19%,199.07%,381.02%,116.43%,0.00%
Revenue Per Share,3.69%,5.35%,0.95%,10.40%,0.00%
Basic EPS,368.45%,197.43%,381.07%,116.98%,0.00%
Basic EPS - Continuing Ops,368.45%,197.43%,381.07%,116.98%,0.00%
Basic Weighted Average Shares Outst.,0.73%,0.61%,0.02%,(0.25%),0.00%
Diluted EPS,362.50%,197.30%,381.57%,116.58%,0.00%
Diluted EPS - Continuing Ops,362.50%,197.30%,381.57%,116.58%,0.00%
Diluted Weighted Average Shares Outst.,1.31%,0.65%,(0.15%),(0.08%),0.00%
Normalized Basic EPS,(0.19%),39.44%,34.57%,55.08%,0.00%
Normalized Diluted EPS,(0.77%),39.07%,34.72%,54.77%,0.00%
EBITDA,3.14%,10.07%,16.96%,41.10%,0.00%
EBITA,(0.57%),20.97%,24.95%,57.57%,0.00%
EBIT,2.25%,26.86%,31.09%,61.33%,0.00%
EBITDAR,2.48%,9.90%,15.10%,35.16%,
Effective Tax Rate,,,(22.53%),1.00%,0.00%
Normalized Net Income,0.47%,40.08%,34.48%,54.79%,0.00%
Interest on Long-Term Debt,,,,(11.11%),
R&D Expense From Footnotes,(0.77%),(20.37%),1.76%,13.17%,0.00%
Foreign Sales,4.81%,4.84%,(0.93%),9.08%,
