Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,31.32%,33.17%,4.20%,(13.14%),(15.16%)
Total Revenues,31.32%,33.17%,4.20%,(13.14%),(15.16%)
Cost Of Revenues,38.48%,34.40%,2.73%,(11.06%),(13.50%)
Gross Profit,6.51%,27.63%,11.19%,(22.27%),(22.49%)
Selling General & Admin Expenses,28.17%,7.23%,6.29%,(14.89%),(17.20%)
Other Operating Expense/(Income),(82.35%),(26.67%),,,0.00%
Total Operating Expenses,23.51%,7.03%,5.85%,(14.60%),(16.37%)
Operating Income,(30.90%),108.69%,21.95%,(35.69%),(33.29%)
Interest Expense,(28.43%),(70.23%),(6.28%),(11.39%),(17.72%)
Net Interest Expenses,(28.43%),(70.23%),(6.28%),(11.39%),(17.72%)
Currency Exchange Gains (Loss),-91.30%,,,,
"EBT, Excl. Unusual Items",(23.93%),89.38%,46.98%,(46.36%),(44.01%)
"EBT, Incl. Unusual Items",,,39.19%,,
Income Tax Expense,(73.99%),473.33%,86.82%,15.98%,48.33%
Earnings From Continuing Operations,(527.54%),,(4.24%),,-98.31%
Net Income to Company,(527.54%),,(4.24%),,-98.31%
Minority Interest,378.26%,,(62.50%),,(98.21%)
Net Income,,,(34.36%),,-98.37%
NI to Common Incl Extra Items,,,(34.36%),,-98.37%
NI to Common Excl. Extra Items,,,(34.36%),,-98.37%
Revenue Per Share,,33.17%,(19.84%),(28.58%),(28.22%)
Basic EPS,,,(49.86%),,-98.62%
Basic EPS - Continuing Ops,,,(49.86%),,-98.62%
Basic Weighted Average Shares Outst.,,0.00%,29.98%,21.62%,18.19%
Diluted EPS,,,(48.89%),,-98.60%
Diluted EPS - Continuing Ops,,,(48.89%),,-98.60%
Diluted Weighted Average Shares Outst.,,0.47%,29.84%,21.18%,18.19%
Normalized Basic EPS,,(21.53%),10.72%,610.96%,(92.59%)
Normalized Diluted EPS,,(21.89%),11.27%,616.42%,(92.59%)
Dividend Per Share,,105.71%,0.00%,0.00%,0.00%
Payout Ratio,,,91.03%,,"(7,224.30%)"
EBITDA,18.42%,57.09%,11.07%,(22.32%),(23.14%)
EBITA,(11.69%),66.27%,16.51%,(31.98%),(30.32%)
EBIT,(30.90%),108.69%,21.95%,(35.69%),(33.29%)
EBITDAR,30.55%,61.38%,14.42%,(21.74%),
Effective Tax Rate,,,34.22%,,
Normalized Net Income,34.00%,(21.69%),44.27%,766.97%,(91.25%)
R&D Expense From Footnotes,42.33%,39.72%,(1.86%),(13.39%),(13.39%)
Foreign Sales,28.65%,27.65%,8.28%,(8.97%),
