Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10.92%,4.40%,2.40%,11.46%,13.56%
Total Revenues,10.92%,4.40%,2.40%,11.46%,13.35%
Cost Of Revenues,9.10%,2.67%,2.00%,11.30%,14.17%
Gross Profit,12.81%,6.13%,2.79%,11.61%,12.57%
Selling General & Admin Expenses,12.34%,9.39%,8.39%,42.52%,(22.34%)
Total Operating Expenses,10.73%,6.29%,11.03%,40.73%,(21.08%)
Operating Income,13.43%,6.08%,0.39%,2.25%,29.46%
Interest Expense,0.00%,-10.24%,(10.33%),(0.99%),(5.42%)
Interest And Investment Income,22.50%,112.24%,(6.73%),(36.08%),(20.48%)
Net Interest Expenses,-5.45%,-48.72%,(32.50%),(34.91%),(23.33%)
"EBT, Excl. Unusual Items",14.13%,7.76%,(0.07%),1.62%,29.61%
"EBT, Incl. Unusual Items",18.05%,2.26%,7.61%,12.74%,48.79%
Income Tax Expense,(79.05%),298.52%,17.19%,(1.82%),65.44%
Earnings From Continuing Operations,57.58%,(13.77%),5.21%,16.79%,44.93%
Net Income to Company,57.58%,(13.77%),5.21%,16.79%,44.93%
Minority Interest,,,,(608.00%),
Net Income,56.31%,(13.07%),3.97%,10.19%,25.92%
NI to Common Incl Extra Items,56.31%,(13.07%),3.97%,10.19%,25.92%
NI to Common Excl. Extra Items,56.31%,(13.07%),3.97%,10.19%,25.92%
Revenue Per Share,12.47%,5.60%,5.22%,13.29%,15.16%
Basic EPS,58.47%,(12.06%),6.81%,12.00%,27.92%
Basic EPS - Continuing Ops,58.47%,(12.06%),6.81%,12.00%,27.92%
Basic Weighted Average Shares Outst.,(1.38%),(1.15%),(2.67%),(1.62%),(1.57%)
Diluted EPS,58.36%,(11.75%),6.96%,12.03%,27.89%
Diluted EPS - Continuing Ops,58.36%,(11.75%),6.96%,12.03%,27.89%
Diluted Weighted Average Shares Outst.,(1.30%),(1.50%),(2.77%),(1.66%),(1.54%)
Normalized Basic EPS,14.29%,10.39%,1.09%,(5.79%),7.06%
Normalized Diluted EPS,14.19%,10.80%,1.20%,(5.79%),7.03%
Dividend Per Share,9.17%,20.20%,9.82%,10.00%,11.01%
Payout Ratio,(31.18%),36.22%,2.44%,(2.15%),
EBITDA,12.24%,5.45%,1.69%,3.19%,25.53%
EBITA,12.94%,5.25%,1.23%,2.37%,26.79%
EBIT,13.43%,6.08%,0.39%,2.25%,29.46%
EBITDAR,11.87%,5.38%,2.41%,3.21%,
Effective Tax Rate,(82.25%),290.01%,8.90%,(12.91%),11.19%
Normalized Net Income,12.72%,9.11%,(1.61%),(7.33%),5.38%
R&D Expense From Footnotes,,,,37.37%,34.09%
Foreign Sales,217.39%,4.40%,2.40%,11.46%,
