Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,43.00%,4.52%,0.75%,3.82%,7.60%
Total Revenues,43.00%,4.52%,0.75%,3.82%,7.60%
Cost Of Revenues,57.29%,1.91%,(1.12%),4.25%,5.77%
Gross Profit,12.33%,12.35%,5.83%,2.73%,12.48%
Selling General & Admin Expenses,18.96%,12.74%,2.30%,10.65%,6.39%
Total Operating Expenses,18.96%,12.74%,2.30%,10.65%,6.39%
Operating Income,6.76%,11.99%,9.16%,(4.27%),18.96%
Interest Expense,(57.39%),-5.15%,(8.25%),(36.17%),(11.11%)
Interest And Investment Income,(23.08%),90.00%,10.53%,(11.90%),(54.39%)
Net Interest Expenses,(65.50%),-9.60%,(8.03%),(41.01%),(18.84%)
Other Non Operating Income (Expenses),,,,,585.00%
"EBT, Excl. Unusual Items",2.13%,17.14%,8.25%,(4.58%),21.12%
"EBT, Incl. Unusual Items",4.12%,14.91%,8.25%,(4.58%),22.77%
Income Tax Expense,0.00%,(17.53%),(5.94%),(6.55%),21.69%
Earnings From Continuing Operations,6.28%,30.94%,12.67%,(4.07%),23.04%
Net Income to Company,6.28%,30.94%,12.67%,(4.07%),23.04%
Net Income,6.28%,30.94%,12.67%,(4.07%),23.04%
NI to Common Incl Extra Items,6.28%,30.94%,12.67%,(4.07%),23.04%
NI to Common Excl. Extra Items,6.28%,30.94%,12.67%,(4.07%),23.04%
Revenue Per Share,43.35%,5.59%,1.53%,4.90%,7.41%
Basic EPS,6.52%,32.26%,13.65%,(3.07%),22.82%
Basic EPS - Continuing Ops,6.52%,32.26%,13.65%,(3.07%),22.82%
Basic Weighted Average Shares Outst.,(0.25%),(1.02%),(0.77%),(1.04%),0.17%
Diluted EPS,6.72%,31.85%,14.04%,(2.71%),23.57%
Diluted EPS - Continuing Ops,6.72%,31.85%,14.04%,(2.71%),23.57%
Diluted Weighted Average Shares Outst.,(0.66%),(0.33%),(1.33%),(1.52%),(0.34%)
Normalized Basic EPS,2.28%,18.19%,9.16%,(3.43%),20.91%
Normalized Diluted EPS,2.81%,17.43%,9.79%,(2.96%),21.53%
Dividend Per Share,10.00%,10.61%,32.88%,11.34%,8.78%
Payout Ratio,3.63%,(16.80%),13.05%,18.94%,(10.61%)
EBITDA,15.29%,13.10%,12.69%,1.25%,15.07%
EBITA,13.86%,12.29%,8.81%,1.50%,20.03%
EBIT,6.76%,11.99%,9.16%,(4.27%),18.96%
EBITDAR,16.26%,12.25%,11.79%,2.88%,
Effective Tax Rate,(3.95%),(28.24%),(13.12%),(2.09%),(0.88%)
Normalized Net Income,2.13%,17.14%,8.25%,(4.58%),21.12%
Interest on Long-Term Debt,,(5.15%),8.25%,36.17%,
Foreign Sales,17.71%,14.00%,6.08%,20.32%,
