Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7.89%,8.57%,9.28%,(7.66%),0.00%
Total Revenues,7.89%,8.57%,9.28%,(7.66%),0.00%
Cost Of Revenues,6.50%,8.60%,9.65%,0.55%,0.00%
Gross Profit,8.47%,8.55%,9.14%,(10.99%),0.00%
Selling General & Admin Expenses,6.42%,8.41%,11.13%,(5.49%),0.00%
R&D Expenses,8.37%,11.63%,5.48%,(2.98%),0.00%
Total Operating Expenses,6.49%,8.80%,10.57%,(2.78%),0.00%
Operating Income,14.95%,7.82%,4.76%,(37.49%),0.00%
Interest Expense,-1.72%,(5.24%),(96.27%),-23.68%,0.00%
Interest And Investment Income,0.00%,(40.00%),900.00%,(90.00%),0.00%
Net Interest Expenses,-1.75%,(6.25%),(86.13%),-19.19%,0.00%
Currency Exchange Gains (Loss),(15.38%),,,-8.57%,0.00%
Other Non Operating Income (Expenses),(175.00%),-45.45%,,500.00%,0.00%
"EBT, Excl. Unusual Items",17.16%,10.99%,(10.51%),(43.94%),0.00%
"EBT, Incl. Unusual Items",426.55%,52.58%,(51.69%),,0.00%
Income Tax Expense,,,"(1,511.65%)",,0.00%
Earnings From Continuing Operations,(70.03%),"1,506.73%",181.27%,,0.00%
Net Income to Company,(70.03%),"1,506.73%",181.27%,,0.00%
Net Income,(70.03%),"1,506.73%",181.27%,,0.00%
Preferred Dividend and Other Adjustments,,,,,73.68%
NI to Common Incl Extra Items,(70.03%),"1,506.73%",181.27%,,0.00%
NI to Common Excl. Extra Items,(70.03%),"1,506.73%",181.27%,,0.00%
Revenue Per Share,6.86%,7.77%,8.50%,(9.24%),0.00%
Basic EPS,(70.81%),"1,412.49%",179.14%,,0.00%
Basic EPS - Continuing Ops,(70.81%),"1,412.49%",179.14%,,0.00%
Basic Weighted Average Shares Outst.,0.92%,0.80%,0.76%,1.81%,0.00%
Diluted EPS,(69.64%),"1,387.50%",179.83%,,0.00%
Diluted EPS - Continuing Ops,(69.64%),"1,387.50%",179.83%,,0.00%
Diluted Weighted Average Shares Outst.,1.13%,0.62%,0.66%,0.43%,0.00%
Normalized Basic EPS,15.16%,10.17%,(10.91%),(45.22%),0.00%
Normalized Diluted EPS,15.47%,10.38%,(10.78%),(44.29%),0.00%
EBITDA,10.74%,7.16%,7.60%,(20.06%),0.00%
EBITA,11.78%,7.35%,7.83%,(23.43%),0.00%
EBIT,14.95%,7.82%,4.76%,(37.49%),0.00%
EBITDAR,10.72%,7.07%,6.90%,(19.09%),
Effective Tax Rate,,,,,0.00%
Normalized Net Income,17.16%,10.99%,(10.51%),(43.94%),0.00%
R&D Expense From Footnotes,8.37%,11.63%,5.48%,(2.64%),0.00%
Foreign Sales,7.11%,10.32%,6.58%,(7.79%),
