Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,17814.0,18914.0,18608.0,17456.0,17456.0
Total Revenues,17814.0,18914.0,18608.0,17456.0,17456.0
Cost Of Revenues,12581.0,13309.0,13153.0,12327.0,12327.0
Gross Profit,5233.0,5605.0,5455.0,5129.0,5129.0
Selling General & Admin Expenses,2382.0,2477.0,2464.0,2731.0,2731.0
R&D Expenses,364.0,400.0,401.0,419.0,419.0
Other Operating Expense/(Income),(157.0),(138.0),(106.0),26.0,26.0
Total Operating Expenses,2589.0,2739.0,2759.0,3176.0,3176.0
Operating Income,2644.0,2866.0,2696.0,1953.0,1953.0
Interest Expense,(219.0),(84.0),(75.0),(298.0),(298.0)
Interest And Investment Income,104.0,121.0,102.0,10.0,10.0
Net Interest Expenses,(115.0),37.0,27.0,(288.0),(288.0)
"EBT, Excl. Unusual Items",2747.0,3123.0,2959.0,1872.0,1872.0
"EBT, Incl. Unusual Items",3054.0,3842.0,2672.0,2855.0,2855.0
Income Tax Expense,1787.0,1073.0,517.0,849.0,849.0
Earnings From Continuing Operations,1267.0,2769.0,2155.0,2006.0,2006.0
Net Income to Company,1267.0,2769.0,2155.0,2006.0,2006.0
Minority Interest,(40.0),(35.0),(39.0),(24.0),(24.0)
Net Income,1227.0,2734.0,2116.0,1982.0,1982.0
NI to Common Incl Extra Items,1227.0,2734.0,2116.0,1982.0,1982.0
NI to Common Excl. Extra Items,1227.0,2734.0,2116.0,1982.0,1982.0
Revenue Per Share,,$21.84,$21.48,$20.15,$20.15
Basic EPS,,$3.16,$2.44,$2.29,$2.29
Basic EPS - Continuing Ops,,$3.16,$2.44,$2.29,$2.29
Basic Weighted Average Shares Outst.,,866.2,866.2,866.5,866.5
Diluted EPS,,$3.16,$2.44,$2.25,$2.25
Diluted EPS - Continuing Ops,,$3.16,$2.44,$2.25,$2.25
Diluted Weighted Average Shares Outst.,,866.2,866.2,880.2,880.2
Normalized Basic EPS,,$2.21,$2.09,$1.32,$1.32
Normalized Diluted EPS,,$2.21,$2.09,$1.30,$1.30
Dividend Per Share,,,,$0.28,$0.28
Payout Ratio,,,,6.96%,6.96%
EBITDA,3016.0,3223.0,3031.0,2289.0,2289.0
EBITA,2790.0,3002.0,2812.0,2055.0,2055.0
EBIT,2644.0,2866.0,2696.0,1953.0,1953.0
EBITDAR,3180.0,3390.0,3237.0,2486.0,2486.0
Effective Tax Rate,58.5%,27.9%,19.3%,29.7%,29.7%
Normalized Net Income,1676.9,1916.9,1810.4,1146.0,1146.0
Interest on Long-Term Debt,219.0,84.0,75.0,298.0,298.0
R&D Expense From Footnotes,364.0,400.0,401.0,419.0,419.0
Foreign Sales,9128.0,9499.0,9014.0,8351.0,8351.0
