Income Statement,Nov 2017,Nov 2018,Nov 2019,Nov 2020,TTM
Revenues,6.84%,7.82%,10.30%,(73.14%),(96.04%)
Total Revenues,6.84%,7.82%,10.30%,(73.14%),(96.03%)
Cost Of Revenues,8.68%,(20.54%),19.89%,(51.00%),(73.67%)
Gross Profit,4.38%,47.37%,3.09%,(92.49%),
Selling General & Admin Expenses,3.10%,8.57%,1.10%,(24.18%),(34.16%)
Depreciation & Amortization,6.21%,9.26%,7.09%,3.75%,0.41%
Other Operating Expense/(Income),,,8.76%,(48.69%),(67.73%)
Total Operating Expenses,2.36%,81.26%,5.75%,(26.39%),(38.00%)
Operating Income,7.04%,4.70%,(2.71%),,
Interest Expense,-11.21%,-2.02%,(6.19%),(334.47%),(489.52%)
Interest And Investment Income,50.00%,55.56%,64.29%,(21.74%),(33.33%)
Net Interest Expenses,-12.90%,-4.76%,(1.67%),(379.23%),(556.99%)
Other Non Operating Income (Expenses),(47.62%),18.18%,,(62.96%),(132.35%)
"EBT, Excl. Unusual Items",8.17%,5.33%,(4.19%),,
"EBT, Incl. Unusual Items",(5.73%),20.26%,(4.52%),,
Income Tax Expense,22.45%,(10.00%),31.48%,,
Earnings From Continuing Operations,(6.23%),20.95%,(5.14%),,
Net Income to Company,(6.23%),20.95%,(5.14%),,
Net Income,(6.23%),20.95%,(5.14%),,
NI to Common Incl Extra Items,(6.23%),20.95%,(5.14%),,
NI to Common Excl. Extra Items,(6.23%),20.95%,(5.14%),,
Revenue Per Share,10.24%,9.81%,13.34%,(76.08%),(96.89%)
Basic EPS,(3.23%),23.15%,(2.62%),,
Basic EPS - Continuing Ops,(3.23%),23.15%,(2.62%),,
Basic Weighted Average Shares Outst.,(3.09%),(1.80%),(2.68%),12.32%,27.63%
Diluted EPS,(3.49%),23.68%,(2.70%),,
Diluted EPS - Continuing Ops,(3.49%),23.68%,(2.70%),,
Diluted Weighted Average Shares Outst.,(2.95%),(2.07%),(2.54%),11.99%,27.35%
Normalized Basic EPS,11.73%,7.18%,(1.54%),,
Normalized Diluted EPS,11.27%,7.43%,(1.83%),,
Dividend Per Share,18.52%,21.87%,2.56%,(75.00%),(100.00%)
Payout Ratio,18.63%,3.07%,7.90%,,
EBITDA,6.74%,6.35%,0.94%,,
EBITA,7.04%,4.70%,(2.71%),,
EBIT,7.04%,4.70%,(2.71%),,
Effective Tax Rate,30.09%,(25.14%),38.07%,(92.85%),(92.76%)
Normalized Net Income,8.17%,5.33%,(4.19%),,
Interest Capitalized,7.69%,28.57%,8.33%,69.23%,
Foreign Sales,117.19%,7.82%,10.30%,(73.14%),
