Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,6.99%,10.04%,9.27%,14.83%,17.81%
Total Revenues,6.99%,10.04%,9.27%,14.83%,17.81%
Cost Of Revenues,(7.45%),9.00%,2.94%,14.69%,16.57%
Gross Profit,9.36%,10.18%,10.15%,14.85%,17.97%
Selling General & Admin Expenses,6.58%,3.57%,8.45%,7.95%,7.96%
R&D Expenses,9.37%,10.02%,5.78%,10.45%,11.97%
Total Operating Expenses,7.83%,7.26%,6.63%,9.75%,10.62%
Operating Income,16.17%,22.18%,22.86%,30.84%,40.93%
Interest Expense,(8.42%),-9.84%,-18.63%,(10.20%),(12.47%)
Interest And Investment Income,32.98%,108.04%,17.83%,(59.86%),(59.86%)
Net Interest Expenses,(4.97%),-30.83%,-38.15%,(81.67%),(92.76%)
Currency Exchange Gains (Loss),,(90.31%),-26.02%,,
Other Non Operating Income (Expenses),179.14%,,,(0.83%),
"EBT, Excl. Unusual Items",14.40%,22.14%,27.80%,31.57%,45.96%
"EBT, Incl. Unusual Items",32.85%,19.47%,27.25%,32.11%,46.60%
Income Tax Expense,225.67%,(72.41%),,,
Earnings From Continuing Operations,0.50%,69.41%,186.02%,(40.28%),(34.12%)
Net Income to Company,0.50%,69.41%,186.02%,(40.28%),(34.12%)
Net Income,0.50%,69.41%,186.02%,(40.28%),(34.12%)
NI to Common Incl Extra Items,0.50%,69.41%,186.02%,(40.28%),(34.12%)
NI to Common Excl. Extra Items,0.50%,69.41%,186.02%,(40.28%),(34.12%)
Revenue Per Share,11.93%,9.39%,9.48%,14.64%,17.58%
Basic EPS,5.65%,68.43%,187.26%,(40.39%),(34.24%)
Basic EPS - Continuing Ops,5.65%,68.43%,187.26%,(40.39%),(34.24%)
Basic Weighted Average Shares Outst.,(4.36%),0.60%,(0.18%),0.18%,0.19%
Diluted EPS,4.29%,68.49%,186.99%,(40.23%),(33.94%)
Diluted EPS - Continuing Ops,4.29%,68.49%,186.99%,(40.23%),(33.94%)
Diluted Weighted Average Shares Outst.,(3.79%),0.33%,(0.22%),(0.31%),(0.11%)
Normalized Basic EPS,20.59%,22.01%,27.80%,31.88%,45.69%
Normalized Diluted EPS,19.08%,22.18%,27.38%,31.44%,46.13%
EBITDA,10.41%,17.18%,18.48%,28.44%,36.29%
EBITA,12.21%,18.15%,20.16%,29.89%,41.37%
EBIT,16.17%,22.18%,22.86%,30.84%,40.93%
EBITDAR,10.63%,16.38%,17.54%,27.70%,
Effective Tax Rate,145.23%,(76.91%),,,
Normalized Net Income,14.40%,22.14%,27.80%,31.57%,45.96%
Interest on Long-Term Debt,8.42%,(9.84%),(18.63%),10.20%,
R&D Expense From Footnotes,9.37%,10.02%,5.78%,10.45%,11.97%
Foreign Sales,13.23%,8.96%,11.58%,17.19%,
