Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7.21%,4.36%,6.08%,(3.28%),0.00%
Total Revenues,7.21%,4.36%,6.08%,(3.28%),0.00%
Cost Of Revenues,9.62%,9.75%,14.26%,(12.89%),0.00%
Gross Profit,6.74%,3.28%,4.35%,(1.05%),0.00%
Selling General & Admin Expenses,8.39%,9.54%,5.68%,(3.60%),0.00%
R&D Expenses,9.73%,12.99%,7.82%,1.61%,0.00%
Total Operating Expenses,8.38%,9.81%,5.96%,(3.36%),0.00%
Operating Income,1.42%,(19.33%),(3.24%),10.85%,0.00%
Interest Expense,(78.88%),-0.31%,(81.16%),(100.98%),0.00%
Interest And Investment Income,24.13%,80.70%,11.74%,(24.40%),0.00%
Net Interest Expenses,1.37%,140.12%,(9.40%),,0.00%
Other Non Operating Income (Expenses),(27.18%),-96.29%,,169.61%,0.00%
"EBT, Excl. Unusual Items",1.33%,(17.19%),(3.37%),7.52%,0.00%
"EBT, Incl. Unusual Items",5.30%,(17.19%),(18.27%),51.48%,0.00%
Income Tax Expense,(64.48%),70.53%,(26.78%),69.03%,0.00%
Earnings From Continuing Operations,36.21%,(27.33%),(15.97%),47.34%,0.00%
Net Income to Company,36.21%,(27.33%),(15.97%),47.34%,0.00%
Net Income,36.21%,(27.33%),(15.97%),47.34%,0.00%
NI to Common Incl Extra Items,36.21%,(27.33%),(15.97%),47.34%,0.00%
NI to Common Excl. Extra Items,36.21%,(27.33%),(15.97%),47.34%,0.00%
Revenue Per Share,9.28%,4.75%,10.01%,0.36%,0.00%
Basic EPS,39.17%,(27.15%),(12.89%),53.24%,0.00%
Basic EPS - Continuing Ops,39.17%,(27.15%),(12.89%),53.24%,0.00%
Basic Weighted Average Shares Outst.,(1.89%),(0.39%),(3.59%),(3.63%),0.00%
Diluted EPS,38.92%,(26.46%),(12.70%),52.73%,0.00%
Diluted EPS - Continuing Ops,38.92%,(26.46%),(12.70%),52.73%,0.00%
Diluted Weighted Average Shares Outst.,(1.65%),(1.31%),(3.70%),(3.77%),0.00%
Normalized Basic EPS,3.06%,(16.68%),(0.01%),11.57%,0.00%
Normalized Diluted EPS,2.78%,(16.17%),0.38%,11.41%,0.00%
Dividend Per Share,,,,40.74%,0.00%
Payout Ratio,,,,32.04%,0.00%
EBITDA,4.34%,(11.75%),0.25%,5.86%,0.00%
EBITA,1.26%,(18.05%),(2.28%),6.06%,0.00%
EBIT,1.42%,(19.33%),(3.24%),10.85%,0.00%
EBITDAR,4.40%,,,5.69%,
Effective Tax Rate,(66.27%),105.85%,(10.42%),11.57%,0.00%
Normalized Net Income,1.33%,(17.19%),(3.37%),7.52%,0.00%
Interest Capitalized,(30.06%),22.36%,35.25%,(13.58%),
R&D Expense From Footnotes,9.73%,12.99%,7.82%,1.61%,0.00%
Foreign Earnings,,(11.93%),(11.31%),-28.08%,
Foreign Sales,2.85%,12.16%,2.89%,(4.35%),
