Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3493.1,3776.2,4145.9,4357.7,4895.8,4895.8
Total Revenues,3493.1,3776.2,4145.9,4357.7,4895.8,4895.8
Cost Of Revenues,1897.6,2046.6,2305.1,2373.7,2681.6,2681.6
Gross Profit,1595.5,1729.6,1840.8,1984.0,2214.2,2214.2
Selling General & Admin Expenses,866.4,952.3,1056.6,1142.6,1278.5,1278.5
Total Operating Expenses,866.4,952.3,1056.6,1142.6,1278.5,1278.5
Operating Income,729.1,777.3,784.2,841.4,935.7,935.7
Interest Expense,(27.7),(52.6),(79.4),(73.6),(61.0),(61.0)
Interest And Investment Income,1.7,2.1,1.9,1.6,0.5,0.5
Net Interest Expenses,(26.0),(50.5),(77.5),(72.0),(60.5),(60.5)
Other Non Operating Income (Expenses),(1.5),(0.3),(3.9),(1.1),(2.1),(2.1)
"EBT, Excl. Unusual Items",710.8,737.3,712.0,774.9,879.8,879.8
"EBT, Incl. Unusual Items",705.9,692.7,719.5,773.7,973.8,973.8
Income Tax Expense,246.9,(50.7),150.9,157.8,187.9,187.9
Earnings From Continuing Operations,459.0,743.4,568.6,615.9,785.9,785.9
Net Income to Company,459.0,743.4,568.6,615.9,785.9,785.9
Net Income,459.0,743.4,568.6,615.9,785.9,785.9
NI to Common Incl Extra Items,459.0,743.4,568.6,615.9,785.9,785.9
NI to Common Excl. Extra Items,459.0,743.4,568.6,615.9,785.9,785.9
Revenue Per Share,$13.56,$15.07,$16.89,$17.70,$19.84,$19.84
Basic EPS,$1.78,$2.97,$2.32,$2.50,$3.18,$3.18
Basic EPS - Continuing Ops,$1.78,$2.97,$2.32,$2.50,$3.18,$3.18
Basic Weighted Average Shares Outst.,257.6,250.6,245.5,246.2,246.8,246.8
Diluted EPS,$1.75,$2.90,$2.27,$2.44,$3.12,$3.12
Diluted EPS - Continuing Ops,$1.75,$2.90,$2.27,$2.44,$3.12,$3.12
Diluted Weighted Average Shares Outst.,262.1,256.1,250.7,252.1,252.2,252.2
Normalized Basic EPS,$1.72,$1.84,$1.81,$1.97,$2.23,$2.23
Normalized Diluted EPS,$1.69,$1.80,$1.78,$1.92,$2.18,$2.18
Dividend Per Share,$0.71,$0.76,$0.87,$0.91,$0.96,$0.96
Payout Ratio,39.87%,25.61%,37.51%,36.39%,30.19%,30.19%
EBITDA,836.7,902.7,925.3,999.9,1105.3,1105.3
EBITA,777.0,841.8,860.9,936.1,1039.1,1039.1
EBIT,729.1,777.3,784.2,841.4,935.7,935.7
EBITDAR,855.5,927.2,,1024.5,1133.0,1133.0
Effective Tax Rate,35.0%,NM,21.0%,20.4%,19.3%,19.3%
Normalized Net Income,444.3,460.8,445.0,484.3,549.9,549.9
R&D Expense From Footnotes,63.2,70.8,89.7,93.6,102.6,102.6
Foreign Sales,,642.0,746.3,784.4,832.3,832.3
