Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,8.10%,9.79%,5.11%,12.35%,0.00%
Total Revenues,8.10%,9.79%,5.11%,12.35%,0.00%
Cost Of Revenues,7.85%,12.63%,2.98%,12.97%,0.00%
Gross Profit,8.40%,6.43%,7.78%,11.60%,0.00%
Selling General & Admin Expenses,9.91%,10.95%,8.14%,11.89%,0.00%
Total Operating Expenses,9.91%,10.95%,8.14%,11.89%,0.00%
Operating Income,6.61%,0.89%,7.29%,11.21%,0.00%
Interest Expense,(89.89%),(50.95%),-7.30%,-17.12%,0.00%
Interest And Investment Income,23.53%,(9.52%),(15.79%),(68.75%),0.00%
Net Interest Expenses,(94.23%),(53.47%),-7.10%,-15.97%,0.00%
Other Non Operating Income (Expenses),-80.00%,"(1,200.00%)",-71.79%,(90.91%),0.00%
"EBT, Excl. Unusual Items",3.73%,(3.43%),8.83%,13.54%,0.00%
"EBT, Incl. Unusual Items",(1.87%),3.87%,7.53%,25.86%,0.00%
Income Tax Expense,,,4.57%,19.07%,0.00%
Earnings From Continuing Operations,61.96%,(23.51%),8.32%,27.60%,0.00%
Net Income to Company,61.96%,(23.51%),8.32%,27.60%,0.00%
Net Income,61.96%,(23.51%),8.32%,27.60%,0.00%
NI to Common Incl Extra Items,61.96%,(23.51%),8.32%,27.60%,0.00%
NI to Common Excl. Extra Items,61.96%,(23.51%),8.32%,27.60%,0.00%
Revenue Per Share,11.13%,12.06%,4.79%,12.07%,0.00%
Basic EPS,66.66%,(22.02%),7.83%,27.37%,0.00%
Basic EPS - Continuing Ops,66.66%,(22.02%),7.83%,27.37%,0.00%
Basic Weighted Average Shares Outst.,(2.72%),(2.04%),0.29%,0.24%,0.00%
Diluted EPS,65.71%,(21.72%),7.49%,27.87%,0.00%
Diluted EPS - Continuing Ops,65.71%,(21.72%),7.49%,27.87%,0.00%
Diluted Weighted Average Shares Outst.,(2.29%),(2.11%),0.56%,0.04%,0.00%
Normalized Basic EPS,6.91%,(1.49%),8.68%,13.10%,0.00%
Normalized Diluted EPS,6.47%,(1.39%),7.93%,13.56%,0.00%
Dividend Per Share,7.04%,14.47%,4.60%,5.49%,0.00%
Payout Ratio,(35.76%),46.48%,(3.00%),(17.03%),0.00%
EBITDA,7.89%,2.50%,8.06%,10.54%,0.00%
EBITA,8.34%,2.27%,8.74%,11.00%,0.00%
EBIT,6.61%,0.89%,7.29%,11.21%,0.00%
EBITDAR,8.38%,,,10.59%,
Effective Tax Rate,,,(2.74%),(5.41%),0.00%
Normalized Net Income,3.73%,(3.43%),8.83%,13.54%,0.00%
R&D Expense From Footnotes,12.03%,26.69%,4.35%,9.62%,0.00%
Foreign Sales,,16.25%,5.11%,6.11%,
