Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,13144.4,14869.4,16631.2,15309.5,16207.1,17206.0
Total Revenues,13144.4,14869.4,16631.2,15309.5,16207.1,17206.0
Cost Of Revenues,11931.8,13680.9,15269.5,14021.7,15037.7,15902.2
Gross Profit,1212.6,1188.5,1361.7,1287.8,1169.4,1303.8
Selling General & Admin Expenses,375.1,413.4,449.6,497.8,496.1,516.7
Total Operating Expenses,375.1,413.4,449.6,497.8,496.1,516.7
Operating Income,837.5,775.1,912.1,790.0,673.3,787.2
Interest Expense,(25.6),(37.3),(31.8),(43.5),(49.1),(45.1)
Net Interest Expenses,(25.6),(37.3),(31.8),(43.5),(49.1),(45.1)
Currency Exchange Gains (Loss),,(9.4),,(4.2),3.3,3.3
Other Non Operating Income (Expenses),,,,,0.9,0.9
"EBT, Excl. Unusual Items",812.0,728.5,880.3,742.3,628.3,746.2
"EBT, Incl. Unusual Items",812.0,728.5,880.3,742.3,628.3,746.2
Income Tax Expense,298.6,223.6,215.8,165.3,121.9,144.6
Earnings From Continuing Operations,513.4,504.9,664.5,577.0,506.4,601.6
Net Income to Company,513.4,504.9,664.5,577.0,506.4,601.6
Net Income,513.4,504.9,664.5,577.0,506.4,601.6
NI to Common Incl Extra Items,513.4,504.9,664.5,577.0,506.4,601.6
NI to Common Excl. Extra Items,513.4,504.9,664.5,577.0,506.4,601.6
Revenue Per Share,$92.11,$105.75,$119.64,$111.78,$119.58,$127.18
Basic EPS,$3.60,$3.59,$4.78,$4.21,$3.74,$4.45
Basic EPS - Continuing Ops,$3.60,$3.59,$4.78,$4.21,$3.74,$4.45
Basic Weighted Average Shares Outst.,142.7,140.6,139.0,137.0,135.5,135.3
Diluted EPS,$3.59,$3.57,$4.73,$4.19,$3.72,$4.43
Diluted EPS - Continuing Ops,$3.59,$3.57,$4.73,$4.19,$3.72,$4.43
Diluted Weighted Average Shares Outst.,143.0,141.4,140.4,137.7,136.2,136.1
Normalized Basic EPS,$3.56,$3.24,$3.96,$3.39,$2.90,$3.45
Normalized Diluted EPS,$3.55,$3.22,$3.92,$3.37,$2.88,$3.43
Dividend Per Share,$1.74,$1.81,$1.88,$2.01,$2.04,$1.53
Payout Ratio,47.81%,51.14%,39.91%,48.15%,41.46%,34.93%
EBITDA,900.8,854.2,994.1,873.4,752.4,865.2
EBITA,864.6,811.4,949.0,828.4,709.5,823.4
EBIT,837.5,775.1,912.1,790.0,673.3,787.2
EBITDAR,956.0,,,953.3,854.0,
Effective Tax Rate,36.8%,30.7%,24.5%,22.3%,19.4%,19.4%
Normalized Net Income,507.5,455.3,550.2,463.9,392.7,466.4
Interest on Long-Term Debt,,,,,49.1,
R&D Expense From Footnotes,,,9.7,11.5,16.6,16.6
Foreign Sales,1394.8,2004.3,2260.7,2166.0,2310.7,
