Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,13.12%,11.85%,(7.95%),5.86%,11.99%
Total Revenues,13.12%,11.85%,(7.95%),5.86%,11.99%
Cost Of Revenues,14.66%,11.61%,(8.17%),7.25%,12.17%
Gross Profit,(1.98%),14.57%,(5.43%),(9.19%),9.86%
Selling General & Admin Expenses,10.22%,8.76%,10.72%,(0.34%),0.92%
Total Operating Expenses,10.22%,8.76%,10.72%,(0.34%),0.92%
Operating Income,(7.45%),17.67%,(13.39%),(14.77%),16.64%
Interest Expense,(45.64%),-14.62%,(36.81%),(12.82%),(3.26%)
Net Interest Expenses,(45.64%),-14.62%,(36.81%),(12.82%),(3.26%)
Other Non Operating Income (Expenses),,,,,0.00%
"EBT, Excl. Unusual Items",(10.28%),20.84%,(15.68%),(15.35%),18.62%
"EBT, Incl. Unusual Items",(10.28%),20.84%,(15.68%),(15.35%),18.62%
Income Tax Expense,(25.12%),(3.49%),(23.40%),(26.24%),6.54%
Earnings From Continuing Operations,(1.65%),31.61%,(13.17%),(12.23%),21.94%
Net Income to Company,(1.65%),31.61%,(13.17%),(12.23%),21.94%
Net Income,(1.65%),31.61%,(13.17%),(12.23%),21.94%
NI to Common Incl Extra Items,(1.65%),31.61%,(13.17%),(12.23%),21.94%
NI to Common Excl. Extra Items,(1.65%),31.61%,(13.17%),(12.23%),21.94%
Revenue Per Share,14.81%,13.13%,(6.57%),6.98%,12.88%
Basic EPS,(0.26%),33.16%,(11.87%),(11.25%),22.91%
Basic EPS - Continuing Ops,(0.26%),33.16%,(11.87%),(11.25%),22.91%
Basic Weighted Average Shares Outst.,(1.47%),(1.14%),(1.48%),(1.04%),(0.78%)
Diluted EPS,(0.56%),32.49%,(11.42%),(11.22%),22.95%
Diluted EPS - Continuing Ops,(0.56%),32.49%,(11.42%),(11.22%),22.95%
Diluted Weighted Average Shares Outst.,(1.13%),(0.69%),(1.90%),(1.13%),(0.64%)
Normalized Basic EPS,(9.05%),22.15%,(14.46%),(14.53%),19.56%
Normalized Diluted EPS,(9.29%),21.69%,(14.08%),(14.42%),19.38%
Dividend Per Share,4.02%,3.87%,6.91%,1.49%,(24.26%)
Payout Ratio,6.97%,(21.96%),20.64%,(13.90%),(38.00%)
EBITDA,(5.17%),16.38%,(12.14%),(13.86%),14.12%
EBITA,(6.15%),16.96%,(12.71%),(14.35%),15.59%
EBIT,(7.45%),17.67%,(13.39%),(14.77%),16.64%
EBITDAR,,,,(10.42%),
Effective Tax Rate,(16.53%),(20.13%),(9.15%),(12.88%),(10.18%)
Normalized Net Income,(10.28%),20.84%,(15.68%),(15.35%),18.62%
R&D Expense From Footnotes,,,18.92%,44.74%,
Foreign Sales,43.70%,12.79%,(4.19%),6.68%,
