Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,5761.0,5973.0,6124.0,6214.0,6721.0,7524.0
Total Revenues,5761.0,5973.0,6124.0,6214.0,6721.0,7524.0
Cost Of Revenues,3163.0,3302.0,3449.0,3486.0,3658.0,4006.0
Gross Profit,2598.0,2671.0,2675.0,2728.0,3063.0,3518.0
Selling General & Admin Expenses,1393.0,1409.0,1407.0,1482.0,1654.0,1829.0
R&D Expenses,141.0,135.0,132.0,136.0,145.0,153.0
Other Operating Expense/(Income),13.0,18.0,11.0,,8.0,1.0
Total Operating Expenses,1547.0,1562.0,1550.0,1618.0,1807.0,1983.0
Operating Income,1051.0,1109.0,1125.0,1110.0,1256.0,1535.0
Interest Expense,(88.0),(88.0),(85.0),(97.0),(99.0),(98.0)
Interest And Investment Income,5.0,4.0,6.0,3.0,2.0,2.0
Net Interest Expenses,(83.0),(84.0),(79.0),(94.0),(97.0),(96.0)
Currency Exchange Gains (Loss),(1.0),1.0,(3.0),(7.0),(7.0),(7.0)
"EBT, Excl. Unusual Items",982.0,1045.0,1055.0,1024.0,1172.0,1452.0
"EBT, Incl. Unusual Items",983.0,1033.0,1054.0,1024.0,1185.0,1550.0
Income Tax Expense,335.0,330.0,231.0,204.0,246.0,321.0
Earnings From Continuing Operations,648.0,703.0,823.0,820.0,939.0,1229.0
Earnings Of Discontinued Operations,,(2.0),,,,
Net Income to Company,648.0,701.0,823.0,820.0,939.0,1229.0
Net Income,648.0,701.0,823.0,820.0,939.0,1225.0
NI to Common Incl Extra Items,648.0,701.0,823.0,820.0,939.0,1225.0
NI to Common Excl. Extra Items,648.0,703.0,823.0,820.0,939.0,1225.0
Revenue Per Share,$44.50,$46.32,$47.37,$48.65,$53.41,$59.64
Basic EPS,$5.00,$5.44,$6.37,$6.42,$7.46,$9.71
Basic EPS - Continuing Ops,$5.00,$5.45,$6.37,$6.42,$7.46,$9.71
Basic Weighted Average Shares Outst.,129.5,129.0,129.3,127.7,125.8,126.2
Diluted EPS,$4.92,$5.33,$6.26,$6.32,$7.36,$9.56
Diluted EPS - Continuing Ops,$4.92,$5.35,$6.26,$6.32,$7.36,$9.56
Diluted Weighted Average Shares Outst.,131.7,131.6,131.6,129.8,127.7,128.3
Normalized Basic EPS,$4.74,$5.06,$5.10,$5.01,$5.82,$7.16
Normalized Diluted EPS,$4.66,$4.96,$5.01,$4.93,$5.74,$7.04
Dividend Per Share,$3.11,$3.24,$3.60,$3.94,$4.29,$4.39
Payout Ratio,61.42%,58.77%,54.68%,59.76%,56.76%,44.65%
EBITDA,1200.0,1257.0,1280.0,1282.0,1431.0,1726.0
EBITA,1059.0,1119.0,1135.0,1125.0,1270.0,1549.0
EBIT,1051.0,1109.0,1125.0,1110.0,1256.0,1535.0
EBITDAR,1277.0,1341.0,1366.0,1354.0,1544.0,
Effective Tax Rate,34.1%,31.9%,21.9%,19.9%,20.8%,20.7%
Normalized Net Income,613.8,653.1,659.4,640.0,732.5,903.5
R&D Expense From Footnotes,141.0,135.0,132.0,136.0,145.0,153.0
Foreign Sales,956.0,972.0,989.0,933.0,996.0,
