Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,15195.0,15454.0,15544.0,15693.0,16471.0,16471.0
Total Revenues,15195.0,15454.0,15544.0,15693.0,16471.0,16471.0
Cost Of Revenues,6026.0,6099.0,6282.0,6357.0,6450.0,6450.0
Gross Profit,9169.0,9355.0,9262.0,9336.0,10021.0,10021.0
Selling General & Admin Expenses,5172.0,5412.0,5434.0,5616.0,6096.0,6096.0
Other Operating Expense/(Income),22.0,18.0,69.0,106.0,136.0,136.0
Total Operating Expenses,5194.0,5430.0,5503.0,5722.0,6232.0,6232.0
Operating Income,3975.0,3925.0,3759.0,3614.0,3789.0,3789.0
Interest Expense,(149.0),(153.0),(193.0),(192.0),(183.0),(183.0)
Interest And Investment Income,50.0,51.0,50.0,47.0,19.0,19.0
Net Interest Expenses,(99.0),(102.0),(143.0),(145.0),(164.0),(164.0)
"EBT, Excl. Unusual Items",3886.0,3834.0,3626.0,3478.0,3637.0,3637.0
"EBT, Incl. Unusual Items",3738.0,3487.0,3464.0,3301.0,3647.0,3647.0
Income Tax Expense,1152.0,1313.0,906.0,774.0,787.0,787.0
Earnings From Continuing Operations,2586.0,2174.0,2558.0,2527.0,2860.0,2860.0
Net Income to Company,2586.0,2174.0,2558.0,2527.0,2860.0,2860.0
Minority Interest,(145.0),(150.0),(158.0),(160.0),(165.0),(165.0)
Net Income,2441.0,2024.0,2400.0,2367.0,2695.0,2695.0
NI to Common Incl Extra Items,2441.0,2024.0,2400.0,2367.0,2695.0,2695.0
NI to Common Excl. Extra Items,2441.0,2024.0,2400.0,2367.0,2695.0,2695.0
Revenue Per Share,$17.04,$17.53,$17.85,$18.27,$19.22,$19.22
Basic EPS,$2.74,$2.30,$2.76,$2.76,$3.15,$3.15
Basic EPS - Continuing Ops,$2.74,$2.30,$2.76,$2.76,$3.15,$3.15
Basic Weighted Average Shares Outst.,891.8,881.8,870.6,859.1,856.8,856.8
Diluted EPS,$2.72,$2.28,$2.75,$2.75,$3.14,$3.14
Diluted EPS - Continuing Ops,$2.72,$2.28,$2.75,$2.75,$3.14,$3.14
Diluted Weighted Average Shares Outst.,898.4,887.8,873.0,861.1,859.3,859.3
Normalized Basic EPS,$2.56,$2.55,$2.42,$2.34,$2.46,$2.46
Normalized Diluted EPS,$2.54,$2.53,$2.41,$2.34,$2.45,$2.45
Dividend Per Share,$1.55,$1.59,$1.66,$1.71,$1.75,$1.75
Payout Ratio,56.53%,69.42%,60.33%,62.23%,55.73%,55.73%
EBITDA,4409.0,4390.0,4268.0,4097.0,4328.0,4328.0
EBITA,4008.0,3960.0,3818.0,3676.0,3877.0,3877.0
EBIT,3975.0,3925.0,3759.0,3614.0,3789.0,3789.0
EBITDAR,4613.0,4601.0,,4301.0,4506.0,4506.0
Effective Tax Rate,30.8%,37.7%,26.2%,23.4%,21.6%,21.6%
Normalized Net Income,2283.8,2246.3,2108.3,2013.8,2108.1,2108.1
Interest Capitalized,6.0,3.0,2.0,1.0,1.0,1.0
R&D Expense From Footnotes,289.0,285.0,277.0,281.0,290.0,290.0
Foreign Sales,11020.0,,,,11529.7,11529.7
