Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1.38%,17.94%,8.45%,(0.49%),0.00%
Other Revenues,1.31%,24.95%,103.94%,8.72%,0.00%
Total Revenues,1.38%,18.24%,12.73%,0.26%,0.00%
Gross Profit,1.38%,18.24%,12.73%,0.26%,0.00%
Selling General & Admin Expenses,(4.29%),21.16%,35.42%,2.16%,0.00%
Depreciation & Amortization,(12.54%),5.04%,33.61%,(3.40%),0.00%
Other Operating Expense/(Income),16.82%,23.25%,(19.73%),(14.21%),0.00%
Total Operating Expenses,(2.11%),21.19%,35.22%,(0.22%),0.00%
Operating Income,3.53%,16.51%,(0.94%),0.65%,0.00%
Interest Expense,-5.26%,(34.79%),(12.87%),-6.63%,0.00%
Interest And Investment Income,274.96%,40.14%,(14.39%),(71.36%),0.00%
Net Interest Expenses,"2,166.12%",41.64%,(21.71%),(96.41%),0.00%
Currency Exchange Gains (Loss),,,-90.22%,(34.72%),0.00%
Other Non Operating Income (Expenses),(737.24%),(73.67%),-6.16%,-77.12%,0.00%
"EBT, Excl. Unusual Items",10.43%,9.96%,(0.98%),(0.08%),0.00%
"EBT, Incl. Unusual Items",10.43%,9.96%,(3.18%),1.21%,0.00%
Income Tax Expense,,,(29.52%),7.30%,0.00%
Earnings From Continuing Operations,164.87%,(51.67%),7.75%,(0.44%),0.00%
Net Income to Company,164.87%,(51.67%),7.75%,(0.44%),0.00%
Minority Interest,,,,,0.00%
Net Income,164.87%,(51.71%),7.86%,(0.53%),0.00%
NI to Common Incl Extra Items,164.87%,(51.71%),7.86%,(0.53%),0.00%
NI to Common Excl. Extra Items,164.87%,(51.71%),7.86%,(0.53%),0.00%
Revenue Per Share,1.04%,16.99%,8.03%,0.10%,0.00%
Basic EPS,163.67%,(52.24%),3.42%,(0.77%),0.00%
Basic EPS - Continuing Ops,163.67%,(52.24%),3.42%,(0.77%),0.00%
Basic Weighted Average Shares Outst.,0.36%,1.07%,4.33%,0.17%,0.00%
Diluted EPS,163.58%,(52.18%),3.50%,(0.68%),0.00%
Diluted EPS - Continuing Ops,163.58%,(52.18%),3.50%,(0.68%),0.00%
Diluted Weighted Average Shares Outst.,0.37%,1.03%,4.22%,0.08%,0.00%
Normalized Basic EPS,9.94%,8.73%,(5.02%),(0.46%),0.00%
Normalized Diluted EPS,9.97%,8.76%,(4.93%),(0.25%),0.00%
Dividend Per Share,10.00%,6.06%,7.14%,13.33%,0.00%
Payout Ratio,(57.89%),123.33%,(26.87%),25.08%,0.00%
EBITDA,2.52%,16.74%,6.81%,0.27%,0.00%
EBITA,3.36%,17.29%,5.68%,0.46%,0.00%
EBIT,3.53%,16.51%,(0.94%),0.65%,0.00%
EBITDAR,,,,(0.20%),
Effective Tax Rate,,,(27.21%),6.04%,0.00%
Normalized Net Income,10.43%,9.86%,(0.85%),(0.19%),0.00%
Interest on Long-Term Debt,,,,(8.33%),
R&D Expense From Footnotes,4.10%,15.35%,71.93%,(1.49%),0.00%
