Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2.88%,4.41%,(0.41%),(2.41%),0.00%
Total Revenues,2.88%,4.41%,(0.41%),(2.41%),0.00%
Fuel & Purchased Power,0.05%,6.11%,(7.11%),(6.44%),0.00%
Operations And Maintenance,(0.16%),14.64%,2.19%,(3.11%),0.00%
Depreciation & Amortization,8.63%,5.90%,6.32%,5.65%,0.00%
Other Operating Expenses,6.32%,3.86%,(3.62%),(19.09%),0.00%
Total Operating Expenses,2.53%,7.66%,(1.89%),(5.71%),0.00%
Operating Income,4.21%,(8.08%),6.23%,11.28%,0.00%
"Interest Expense, Total",0.00%,(4.77%),(13.45%),(7.65%),0.00%
Interest and Investment Income,100.00%,(8.33%),(36.36%),57.14%,0.00%
Net Interest Expenses,-1.38%,(5.14%),(14.67%),(6.98%),0.00%
Allow. For Equity Funds Used For Const.,(58.33%),20.00%,66.67%,(40.00%),0.00%
Allow. For Borrowed Funds Used For Const.,(60.00%),50.00%,33.33%,(50.00%),0.00%
Other Non-Operating Inc. (Exp.),(18.18%),-11.54%,-80.43%,(344.44%),0.00%
"EBT, Excl. Unusual Items",5.24%,(14.38%),7.11%,8.69%,0.00%
Other Unusual Items,0.00%,,,,
"EBT, Incl. Unusual Items",7.26%,(12.64%),7.11%,6.76%,0.00%
Income Tax Expense,55.31%,(72.88%),27.83%,(9.52%),0.00%
Earnings From Continuing Operations,(16.46%),42.64%,3.49%,10.26%,0.00%
Net Income to Company,(16.46%),42.64%,3.49%,10.26%,0.00%
Minority Interest,0.00%,0.00%,0.00%,,0.00%
Net Income,(16.52%),42.83%,3.50%,11.03%,0.00%
NI to Common Incl Extra Items,(16.52%),42.83%,3.50%,11.03%,0.00%
NI to Common Excl. Extra Items,(16.52%),42.83%,3.50%,11.03%,0.00%
Revenue Per Share,2.09%,3.59%,(0.71%),(3.11%),0.00%
Basic EPS,(17.03%),41.96%,3.13%,10.38%,0.00%
Basic EPS - Continuing Ops,(17.03%),41.96%,3.13%,10.38%,0.00%
Basic Weighted Average Shares Outst.,0.77%,0.79%,0.28%,0.71%,0.00%
Diluted EPS,(17.17%),41.46%,3.02%,10.46%,0.00%
Diluted EPS - Continuing Ops,(17.17%),41.46%,3.02%,10.46%,0.00%
Diluted Weighted Average Shares Outst.,0.68%,0.75%,0.49%,0.70%,0.00%
Normalized Basic EPS,4.18%,(15.07%),6.65%,9.14%,0.00%
Normalized Diluted EPS,4.43%,(14.86%),6.79%,8.65%,0.00%
Dividend Per Share,7.26%,7.52%,6.99%,6.54%,0.00%
Payout Ratio,30.21%,(24.38%),3.54%,(3.50%),0.00%
EBITDA,5.36%,(3.37%),6.98%,9.70%,0.00%
EBITA,4.20%,(8.06%),6.22%,11.33%,0.00%
EBIT,4.21%,(8.08%),6.23%,11.28%,0.00%
EBITDAR,,,,9.14%,
Effective Tax Rate,44.80%,(68.96%),19.33%,(15.24%),0.00%
Normalized Net Income,5.26%,(14.43%),7.14%,9.69%,0.00%
Interest Capitalized,(60.00%),50.00%,33.33%,(50.00%),
Interest on Long-Term Debt,(1.22%),1.48%,10.92%,9.41%,
