Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,10.31%,5.73%,4.59%,(6.91%),(10.18%)
Total Interest Income,10.18%,7.75%,4.92%,(8.70%),(11.72%)
Interest On Deposits,32.07%,62.17%,31.64%,(36.70%),(48.92%)
Total Interest On Borrowings,44.10%,46.81%,2.94%,(45.52%),(52.40%)
Total Interest Expense,36.87%,55.72%,20.27%,(39.69%),(50.06%)
Net Interest Income,7.60%,1.85%,2.03%,(1.83%),(3.67%)
Gain (Loss) on Sale of Invest. & Securities,,,,"2,053.85%","28,100.00%"
Total Other Non Interest Income,1.57%,14.81%,(3.38%),(3.39%),(1.35%)
Total Non Interest Income,3.22%,8.88%,1.00%,6.80%,9.49%
Revenue Before Loan Losses,6.81%,3.08%,1.84%,(0.24%),(1.29%)
Provision For Loan Losses,16.91%,(22.45%),6.49%,64.59%,(59.68%)
Total Revenues,3.38%,12.87%,0.62%,(18.33%),29.67%
Salaries And Other Employee Benefits,13.48%,(1.74%),10.66%,7.32%,9.09%
Amort. of Goodwill & Intang. Assets,(36.53%),(28.98%),(35.63%),(46.43%),(57.69%)
Occupancy Expense,20.14%,9.23%,(17.71%),0.98%,(2.94%)
Total Selling General & Admin Expenses,(8.93%),13.32%,13.58%,(12.77%),(11.20%)
Total Other Non Interest Expense,11.77%,5.84%,(12.32%),(17.64%),(30.76%)
Total Non Interest Expense,4.79%,4.89%,3.87%,(3.83%),(4.56%)
"EBT, Excl. Unusual Items",0.19%,31.86%,(5.53%),(48.49%),175.78%
Other Unusual Items,(0.91%),(8.98%),(5.22%),-31.85%,-27.30%
"EBT, Incl. Unusual Items",0.15%,33.25%,(6.07%),(53.40%),186.04%
Income Tax Expense,96.91%,(61.69%),3.71%,(63.76%),308.96%
Earnings From Continuing Operations,(43.85%),184.60%,(8.17%),(50.89%),165.33%
Earnings Of Discontinued Operations,(610.53%),-92.59%,,,
Net Income to Company,(47.16%),203.48%,(7.80%),(51.06%),164.10%
Net Income,(47.16%),203.48%,(7.80%),(51.06%),164.10%
Preferred Dividend and Other Adjustments,16.81%,9.71%,16.07%,(4.24%),(5.95%)
Net Income to Common Incl Extra Items,(51.49%),235.09%,(9.07%),(54.26%),190.06%
Net Income to Common Excl. Extra Items,(47.93%),211.04%,(9.46%),(54.08%),191.59%
Revenue Per Share,7.81%,13.87%,3.27%,(16.58%),31.54%
Basic EPS,(49.44%),238.02%,(6.69%),(53.26%),194.24%
Basic EPS - Continuing Ops,(45.74%),213.66%,(7.08%),(53.12%),195.79%
Basic Weighted Average Shares Outst.,(4.10%),(0.89%),(2.56%),(2.10%),(1.42%)
Diluted EPS,(49.44%),239.64%,(6.53%),(53.09%),194.59%
Diluted EPS - Continuing Ops,(45.74%),214.89%,(6.93%),(52.90%),196.15%
Diluted Weighted Average Shares Outst.,(4.16%),(1.13%),(2.73%),(2.34%),(1.47%)
Normalized Basic EPS,4.45%,33.04%,(3.00%),(47.39%),179.75%
Normalized Diluted EPS,4.52%,33.40%,(2.89%),(47.24%),179.90%
Dividend Per Share,0.00%,0.00%,0.00%,(37.50%),(62.50%)
Payout Ratio,92.78%,(67.27%),8.12%,46.12%,
Effective Tax Rate,96.65%,(71.25%),10.40%,(22.23%),42.97%
Normalized Net Income,0.19%,31.86%,(5.53%),(48.49%),175.78%
Interest on Long-Term Debt,52.89%,53.21%,3.76%,(45.84%),
