Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,46.19%,23.26%,(7.21%),(29.23%),0.00%
Other Revenues,58.38%,(63.00%),(94.69%),0.87%,0.00%
Total Revenues,46.26%,22.69%,(7.38%),(29.22%),0.00%
Cost Of Revenues,9.30%,25.30%,(13.18%),(1.09%),0.00%
Gross Profit,77.59%,21.32%,(4.26%),(42.97%),0.00%
Selling General & Admin Expenses,14.19%,(1.17%),(4.44%),14.12%,0.00%
Depreciation & Amortization,(3.61%),(26.61%),(2.81%),(3.66%),0.00%
Other Operating Expense/(Income),(75.71%),,(192.59%),-26.24%,0.00%
Total Operating Expenses,(1.63%),(48.96%),(25.00%),2.22%,0.00%
Operating Income,-93.01%,,11.72%,(66.33%),0.00%
Interest Expense,-7.03%,-10.87%,-24.93%,-1.51%,0.00%
Net Interest Expenses,-7.03%,-10.87%,-24.93%,-1.51%,0.00%
Other Non Operating Income (Expenses),,,(23.97%),-60.10%,0.00%
"EBT, Excl. Unusual Items",-66.79%,,26.56%,(73.28%),0.00%
"EBT, Incl. Unusual Items",-65.37%,,28.95%,(73.22%),0.00%
Income Tax Expense,(35.61%),,55.32%,(81.48%),0.00%
Earnings From Continuing Operations,,454.86%,22.27%,(70.56%),0.00%
Net Income to Company,,454.86%,22.27%,(70.56%),0.00%
Net Income,,454.86%,22.27%,(70.56%),0.00%
NI to Common Incl Extra Items,,454.86%,22.27%,(70.56%),0.00%
NI to Common Excl. Extra Items,,454.86%,22.27%,(70.56%),0.00%
Revenue Per Share,44.36%,27.63%,(0.66%),(26.23%),0.00%
Basic EPS,,468.30%,31.13%,(69.32%),0.00%
Basic EPS - Continuing Ops,,468.30%,31.13%,(69.32%),0.00%
Basic Weighted Average Shares Outst.,1.51%,(3.92%),(6.74%),(4.09%),0.00%
Diluted EPS,,463.64%,31.45%,(69.33%),0.00%
Diluted EPS - Continuing Ops,,463.64%,31.45%,(69.33%),0.00%
Diluted Weighted Average Shares Outst.,1.91%,(3.86%),(6.73%),(4.06%),0.00%
Normalized Basic EPS,-67.16%,,36.01%,(72.14%),0.00%
Normalized Diluted EPS,-67.29%,,35.38%,(72.07%),0.00%
Dividend Per Share,112.50%,47.06%,40.00%,14.29%,0.00%
Payout Ratio,,(74.54%),6.88%,271.95%,0.00%
EBITDA,117.66%,18.97%,6.68%,(46.54%),0.00%
EBITA,-93.01%,,12.16%,(65.99%),0.00%
EBIT,-93.01%,,11.72%,(66.33%),0.00%
EBITDAR,114.80%,,,(46.78%),
Effective Tax Rate,,,20.46%,(30.83%),0.00%
Normalized Net Income,-66.79%,,26.56%,(73.28%),0.00%
