Income Statement,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,8.76%,18.41%,4.76%,(8.39%),(7.72%)
Total Revenues,8.76%,18.41%,4.76%,(8.39%),(7.72%)
Cost Of Revenues,(2.04%),16.46%,(3.56%),(7.19%),(7.10%)
Gross Profit,15.99%,19.51%,9.35%,(8.97%),(8.03%)
Selling General & Admin Expenses,12.41%,21.80%,(0.39%),2.37%,1.75%
R&D Expenses,5.81%,22.54%,2.24%,7.61%,5.23%
Total Operating Expenses,11.90%,28.62%,(0.23%),1.75%,1.21%
Operating Income,26.06%,(0.37%),36.37%,(31.06%),(27.42%)
Interest Expense,(27.48%),(147.60%),-17.78%,-45.88%,-48.53%
Net Interest Expenses,(27.48%),(147.60%),-17.78%,-45.88%,-48.53%
Currency Exchange Gains (Loss),(40.00%),(142.86%),-35.29%,-45.45%,
Other Non Operating Income (Expenses),0.00%,,(93.96%),,"(1,325.00%)"
"EBT, Excl. Unusual Items",25.92%,(9.57%),44.18%,(30.58%),(25.30%)
"EBT, Incl. Unusual Items",33.29%,(15.76%),43.84%,(44.18%),(35.84%)
Income Tax Expense,1.93%,809.95%,(94.43%),162.62%,
Earnings From Continuing Operations,35.65%,(62.48%),233.60%,(48.92%),395.37%
Net Income to Company,35.65%,(62.48%),233.60%,(48.92%),395.37%
Net Income,36.14%,(62.48%),233.60%,(48.92%),395.37%
NI to Common Incl Extra Items,36.14%,(62.48%),233.60%,(48.92%),395.37%
NI to Common Excl. Extra Items,36.14%,(62.48%),233.60%,(48.92%),395.37%
Revenue Per Share,7.87%,17.93%,4.13%,(7.82%),(7.25%)
Basic EPS,34.97%,(62.66%),231.49%,(48.62%),397.90%
Basic EPS - Continuing Ops,34.97%,(62.66%),231.49%,(48.62%),397.90%
Basic Weighted Average Shares Outst.,0.82%,0.41%,0.61%,(0.61%),(0.51%)
Diluted EPS,34.53%,(62.63%),232.03%,(48.45%),399.67%
Diluted EPS - Continuing Ops,34.53%,(62.63%),232.03%,(48.45%),399.67%
Diluted Weighted Average Shares Outst.,1.22%,0.20%,0.60%,(0.80%),(0.70%)
Normalized Basic EPS,25.58%,(10.01%),43.16%,(30.17%),(24.92%)
Normalized Diluted EPS,25.06%,(9.66%),43.33%,(30.01%),(24.78%)
Dividend Per Share,0.00%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,(26.64%),165.76%,(68.95%),96.61%,(79.82%)
EBITDA,14.63%,13.78%,22.94%,(20.24%),(17.33%)
EBITA,24.00%,15.42%,26.92%,(26.03%),(22.93%)
EBIT,26.06%,(0.37%),36.37%,(31.06%),(27.42%)
EBITDAR,14.26%,14.11%,22.62%,(19.00%),
Effective Tax Rate,(23.50%),979.27%,(96.13%),370.71%,
Normalized Net Income,26.57%,(9.57%),44.18%,(30.58%),(25.30%)
Interest Capitalized,,,,(13.11%),
R&D Expense From Footnotes,5.81%,22.54%,2.24%,7.61%,5.23%
Foreign Earnings,58.81%,,,(25.26%),
Foreign Sales,(11.86%),31.65%,(7.82%),(3.35%),
