Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,22.85%,25.12%,(10.57%),(42.32%),0.00%
Other Revenues,"1,384.62%",39.12%,(27.47%),(44.54%),0.00%
Total Revenues,25.83%,25.48%,(11.06%),(42.37%),0.00%
Cost Of Revenues,12.79%,10.60%,(12.01%),(27.63%),0.00%
Gross Profit,50.97%,46.92%,(10.02%),(58.02%),0.00%
Selling General & Admin Expenses,(21.63%),1.56%,9.23%,(30.83%),0.00%
Depreciation & Amortization,(24.46%),(12.99%),2.25%,(9.34%),0.00%
Other Operating Expense/(Income),0.52%,19.64%,(8.99%),(21.41%),0.00%
Total Operating Expenses,(24.61%),(14.37%),5.25%,(3.72%),0.00%
Operating Income,,281.58%,(23.14%),,0.00%
Interest Expense,-11.81%,-33.06%,(5.85%),(3.60%),0.00%
Interest And Investment Income,96.49%,(13.39%),71.13%,(39.76%),0.00%
Net Interest Expenses,-17.00%,-35.29%,-4.08%,(15.36%),0.00%
Currency Exchange Gains (Loss),,,,,0.00%
Other Non Operating Income (Expenses),(37.50%),180.00%,(25.47%),0.42%,0.00%
"EBT, Excl. Unusual Items",,475.45%,(25.36%),,0.00%
"EBT, Incl. Unusual Items",-52.71%,,(4.50%),,0.00%
Income Tax Expense,-7.56%,,(38.20%),,0.00%
Earnings From Continuing Operations,-77.72%,,15.10%,,0.00%
Net Income to Company,-77.72%,,15.10%,,0.00%
Minority Interest,(10.71%),-22.58%,(41.67%),-32.35%,0.00%
Net Income,-76.35%,,14.90%,,0.00%
NI to Common Incl Extra Items,-76.35%,,14.90%,,0.00%
NI to Common Excl. Extra Items,-76.35%,,14.90%,,0.00%
Revenue Per Share,28.31%,31.34%,(7.14%),(40.28%),0.00%
Basic EPS,-75.85%,,20.05%,,0.00%
Basic EPS - Continuing Ops,-75.85%,,20.05%,,0.00%
Basic Weighted Average Shares Outst.,(1.96%),(4.47%),(4.22%),(3.51%),0.00%
Diluted EPS,-75.94%,,20.30%,,0.00%
Diluted EPS - Continuing Ops,-75.94%,,20.30%,,0.00%
Diluted Weighted Average Shares Outst.,(1.96%),(3.73%),(4.42%),(4.05%),0.00%
Normalized Basic EPS,,538.64%,(22.62%),,0.00%
Normalized Diluted EPS,,533.73%,(22.43%),,0.00%
Dividend Per Share,6.00%,9.43%,15.09%,26.12%,0.00%
Payout Ratio,,,(4.20%),,0.00%
EBITDA,97.84%,61.77%,(12.36%),(65.36%),0.00%
EBITA,,281.58%,(23.14%),,0.00%
EBIT,,281.58%,(23.14%),,0.00%
EBITDAR,83.12%,60.18%,(11.04%),(63.82%),
Effective Tax Rate,,,(35.28%),(35.10%),0.00%
Normalized Net Income,,507.74%,(25.91%),,0.00%
Interest Capitalized,(24.20%),42.86%,(66.47%),(3.51%),
Interest on Long-Term Debt,,,,(8.11%),
R&D Expense From Footnotes,(13.79%),(22.00%),5.13%,(8.54%),0.00%
Foreign Sales,28.07%,14.91%,(16.59%),(51.31%),
