Income Statement,Sep 2017,Sep 2018,Sep 2019,Aug 2020,TTM
Revenues,8.68%,9.73%,7.86%,9.21%,12.80%
Total Revenues,8.68%,9.73%,7.86%,9.21%,12.80%
Cost Of Revenues,8.73%,10.07%,7.90%,8.99%,12.51%
Gross Profit,8.38%,7.47%,7.56%,10.66%,14.77%
Selling General & Admin Expenses,7.31%,7.15%,8.06%,5.72%,9.58%
Total Operating Expenses,7.29%,7.00%,8.15%,5.48%,9.46%
Operating Income,11.96%,8.98%,5.74%,27.15%,31.64%
Interest Expense,(0.75%),(18.66%),-5.66%,(6.67%),(9.87%)
Interest And Investment Income,21.95%,50.00%,68.00%,(29.37%),(64.18%)
Net Interest Expenses,-8.70%,0.00%,-71.43%,(195.83%),(561.11%)
Currency Exchange Gains (Loss),,,17.39%,(74.07%),(64.29%)
Other Non Operating Income (Expenses),54.55%,35.29%,8.70%,28.00%,35.71%
"EBT, Excl. Unusual Items",11.61%,9.98%,7.27%,25.73%,29.19%
"EBT, Incl. Unusual Items",11.61%,9.98%,7.27%,12.63%,16.59%
Income Tax Expense,6.60%,(4.68%),(15.99%),23.28%,21.59%
Earnings From Continuing Operations,14.23%,17.13%,16.51%,9.58%,15.12%
Net Income to Company,14.23%,17.13%,16.51%,9.58%,15.12%
Minority Interest,(34.62%),(28.57%),0.00%,(26.67%),(25.49%)
Net Income,14.00%,16.98%,16.75%,9.37%,14.98%
NI to Common Incl Extra Items,14.00%,16.98%,16.75%,9.37%,14.98%
NI to Common Excl. Extra Items,14.00%,16.98%,16.75%,9.37%,14.98%
Revenue Per Share,8.72%,9.71%,7.56%,8.58%,12.29%
Basic EPS,14.00%,16.97%,16.37%,8.75%,14.46%
Basic EPS - Continuing Ops,14.00%,16.97%,16.37%,8.75%,14.46%
Basic Weighted Average Shares Outst.,(0.03%),0.02%,0.28%,0.58%,0.45%
Diluted EPS,14.07%,16.61%,16.50%,9.20%,14.79%
Diluted EPS - Continuing Ops,14.07%,16.61%,16.50%,9.20%,14.79%
Diluted Weighted Average Shares Outst.,(0.07%),0.20%,0.25%,0.22%,0.17%
Normalized Basic EPS,11.33%,9.66%,7.06%,24.99%,28.67%
Normalized Diluted EPS,11.35%,9.41%,7.16%,25.48%,29.03%
Dividend Per Share,11.76%,12.63%,14.02%,10.66%,7.69%
Payout Ratio,(5.45%),(26.74%),29.06%,30.27%,(4.72%)
EBITDA,11.24%,7.95%,5.27%,23.10%,26.15%
EBITA,11.96%,8.98%,5.74%,27.15%,31.64%
EBIT,11.96%,8.98%,5.74%,27.15%,31.64%
EBITDAR,10.86%,,,,
Effective Tax Rate,(4.50%),(13.34%),(21.68%),9.43%,4.29%
Normalized Net Income,11.34%,9.72%,7.39%,25.71%,29.25%
Foreign Earnings,8.99%,15.41%,(1.12%),7.65%,
Foreign Sales,9.32%,11.82%,4.23%,8.95%,
