Income Statement,Jul 2017,Jul 2018,Jul 2019,Jul 2020,TTM
Revenues,14.15%,24.70%,13.08%,8.01%,2.73%
Total Revenues,14.15%,24.70%,13.08%,8.01%,2.73%
Cost Of Revenues,12.46%,32.70%,9.61%,4.74%,(0.46%)
Gross Profit,16.24%,15.21%,17.84%,12.18%,6.44%
Selling General & Admin Expenses,11.21%,(2.31%),2.81%,5.41%,(12.10%)
Total Operating Expenses,11.21%,(2.31%),2.81%,5.41%,(12.10%)
Operating Income,18.25%,21.81%,22.37%,13.90%,11.29%
Interest Expense,(0.73%),-14.34%,-2.74%,(2.12%),(17.40%)
Interest And Investment Income,(2.97%),(8.04%),72.08%,(38.92%),131.52%
Net Interest Expenses,(0.97%),-14.74%,-7.81%,(7.31%),(13.65%)
Currency Exchange Gains (Loss),,,929.31%,(9.04%),(86.16%)
Other Non Operating Income (Expenses),(83.08%),,,,
"EBT, Excl. Unusual Items",16.25%,23.13%,24.01%,13.83%,11.70%
"EBT, Incl. Unusual Items",11.17%,27.81%,25.32%,13.60%,11.85%
Income Tax Expense,(63.48%),215.24%,(21.62%),(10.88%),185.45%
Earnings From Continuing Operations,45.83%,6.02%,41.55%,18.29%,(3.60%)
Net Income to Company,45.83%,6.02%,41.55%,18.29%,(3.60%)
Minority Interest,,(311.76%),,,
Net Income,45.82%,6.00%,41.60%,18.29%,(3.60%)
NI to Common Incl Extra Items,45.82%,6.00%,41.60%,18.29%,(3.60%)
NI to Common Excl. Extra Items,45.82%,6.00%,41.60%,18.29%,(3.60%)
Revenue Per Share,14.29%,23.07%,13.73%,6.75%,0.57%
Basic EPS,46.09%,4.81%,42.62%,16.78%,(5.63%)
Basic EPS - Continuing Ops,46.09%,4.81%,42.62%,16.78%,(5.63%)
Basic Weighted Average Shares Outst.,(0.07%),1.36%,(0.56%),1.18%,2.15%
Diluted EPS,49.55%,4.22%,42.20%,19.11%,(4.01%)
Diluted EPS - Continuing Ops,49.55%,4.22%,42.20%,19.11%,(4.01%)
Diluted Weighted Average Shares Outst.,(2.98%),2.05%,(0.59%),(0.75%),0.45%
Normalized Basic EPS,16.30%,21.07%,24.39%,12.69%,9.35%
Normalized Diluted EPS,19.99%,20.82%,24.96%,14.96%,11.20%
EBITDA,18.03%,24.91%,20.57%,14.28%,12.66%
EBITA,18.24%,22.98%,21.27%,13.48%,10.89%
EBIT,18.25%,21.81%,22.37%,13.90%,11.29%
EBITDAR,18.15%,26.44%,17.10%,15.11%,
Effective Tax Rate,(67.14%),146.54%,(37.46%),(21.57%),155.22%
Normalized Net Income,16.23%,23.10%,24.06%,13.83%,11.70%
Interest on Long-Term Debt,0.73%,(14.34%),(2.74%),2.12%,
R&D Expense From Footnotes,(34.90%),(20.10%),,,
Foreign Earnings,10.51%,6.96%,8.96%,(11.05%),
Foreign Sales,0.94%,23.50%,22.47%,(10.51%),
