Income Statement,Jul 2016,Jul 2017,Jul 2018,Jul 2019,Jul 2020,TTM
Revenues,49247.0,48005.0,49330.0,51904.0,49301.0,48026.0
Total Revenues,49247.0,48005.0,49330.0,51904.0,49301.0,48026.0
Cost Of Revenues,18363.0,17781.0,18597.0,19238.0,17618.0,17206.0
Gross Profit,30884.0,30224.0,30733.0,32666.0,31683.0,30820.0
Selling General & Admin Expenses,11401.0,11167.0,11345.0,11777.0,11073.0,10861.0
R&D Expenses,6296.0,6059.0,6332.0,6577.0,6347.0,6250.0
Total Operating Expenses,18000.0,17485.0,17898.0,18504.0,17561.0,17253.0
Operating Income,12884.0,12739.0,12835.0,14162.0,14122.0,13567.0
Interest Expense,(676.0),(861.0),(943.0),(859.0),(585.0),(474.0)
Interest And Investment Income,1005.0,1338.0,1508.0,1308.0,920.0,740.0
Net Interest Expenses,329.0,477.0,565.0,449.0,335.0,266.0
Currency Exchange Gains (Loss),(19.0),13.0,(24.0),(62.0),(11.0),45.0
Other Non Operating Income (Expenses),(14.0),(43.0),(109.0),(25.0),(106.0),(156.0)
"EBT, Excl. Unusual Items",13180.0,13186.0,13267.0,14524.0,14340.0,13722.0
"EBT, Incl. Unusual Items",12920.0,12287.0,13039.0,14571.0,13970.0,12686.0
Income Tax Expense,2181.0,2678.0,12929.0,2950.0,2756.0,2557.0
Earnings From Continuing Operations,10739.0,9609.0,110.0,11621.0,11214.0,10129.0
Net Income to Company,10739.0,9609.0,110.0,11621.0,11214.0,10129.0
Net Income,10739.0,9609.0,110.0,11621.0,11214.0,10129.0
NI to Common Incl Extra Items,10739.0,9609.0,110.0,11621.0,11214.0,10129.0
NI to Common Excl. Extra Items,10739.0,9609.0,110.0,11621.0,11214.0,10129.0
Revenue Per Share,$9.75,$9.58,$10.20,$11.75,$11.64,$11.36
Basic EPS,$2.13,$1.92,$0.02,$2.63,$2.65,$2.40
Basic EPS - Continuing Ops,$2.13,$1.92,$0.02,$2.63,$2.65,$2.40
Basic Weighted Average Shares Outst.,5053.0,5010.0,4837.0,4419.0,4236.0,4227.5
Diluted EPS,$2.11,$1.90,$0.02,$2.61,$2.64,$2.39
Diluted EPS - Continuing Ops,$2.11,$1.90,$0.02,$2.61,$2.64,$2.39
Diluted Weighted Average Shares Outst.,5088.0,5049.0,4881.0,4453.0,4254.0,4241.0
Normalized Basic EPS,$1.63,$1.64,$1.71,$2.05,$2.12,$2.03
Normalized Diluted EPS,$1.62,$1.63,$1.70,$2.04,$2.11,$2.02
Dividend Per Share,$0.94,$1.10,$1.24,$1.36,$1.42,$1.44
Payout Ratio,44.23%,57.35%,"5,425.45%",51.45%,53.65%,60.08%
EBITDA,14764.0,14654.0,14796.0,15936.0,15822.0,15236.0
EBITA,13764.0,13554.0,13696.0,14936.0,14922.0,14368.0
EBIT,12884.0,12739.0,12835.0,14162.0,14122.0,13567.0
EBITDAR,15149.0,15057.0,,,16476.0,
Effective Tax Rate,16.9%,21.8%,99.2%,20.2%,19.7%,20.2%
Normalized Net Income,8237.5,8241.3,8291.9,9077.5,8962.5,8576.3
R&D Expense From Footnotes,6296.0,6059.0,6332.0,6577.0,6347.0,6250.0
Foreign Sales,23347.0,23005.0,23829.0,24504.0,23202.0,
