Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,11069.0,11408.0,12250.0,11937.0,10583.0,10541.0
Total Revenues,11069.0,11408.0,12250.0,11937.0,10583.0,10541.0
Cost Of Revenues,6429.0,6295.0,5988.0,5558.0,4788.0,4817.0
Gross Profit,4640.0,5113.0,6262.0,6379.0,5795.0,5724.0
Depreciation & Amortization,1301.0,1315.0,1331.0,1349.0,1383.0,1384.0
Total Operating Expenses,1301.0,1315.0,1331.0,1349.0,1383.0,1384.0
Operating Income,3339.0,3798.0,4931.0,5030.0,4412.0,4340.0
Interest Expense,(579.0),(546.0),(639.0),(737.0),(754.0),(751.0)
Interest And Investment Income,10.0,13.0,32.0,48.0,17.0,17.0
Net Interest Expenses,(569.0),(533.0),(607.0),(689.0),(737.0),(734.0)
Other Non Operating Income (Expenses),36.0,8.0,4.0,7.0,8.0,1.0
"EBT, Excl. Unusual Items",2856.0,3492.0,4328.0,4348.0,3683.0,3607.0
"EBT, Incl. Unusual Items",2741.0,3142.0,4304.0,4316.0,3627.0,3551.0
Income Tax Expense,1027.0,"(2,329.0)",995.0,985.0,862.0,850.0
Earnings From Continuing Operations,1714.0,5471.0,3309.0,3331.0,2765.0,2701.0
Net Income to Company,1714.0,5471.0,3309.0,3331.0,2765.0,2701.0
Net Income,1714.0,5471.0,3309.0,3331.0,2765.0,2701.0
Preferred Dividend and Other Adjustments,1.0,1.0,1.0,,,
NI to Common Incl Extra Items,1713.0,5470.0,3308.0,3331.0,2765.0,2701.0
NI to Common Excl. Extra Items,1713.0,5470.0,3308.0,3331.0,2765.0,2701.0
Revenue Per Share,$11.69,$12.52,$14.29,$15.00,$13.82,$13.81
Basic EPS,$1.81,$6.00,$3.86,$4.18,$3.61,$3.54
Basic EPS - Continuing Ops,$1.81,$6.00,$3.86,$4.18,$3.61,$3.54
Basic Weighted Average Shares Outst.,947.0,911.0,857.0,796.0,766.0,763.3
Diluted EPS,$1.81,$5.99,$3.84,$4.17,$3.60,$3.53
Diluted EPS - Continuing Ops,$1.81,$5.99,$3.84,$4.17,$3.60,$3.53
Diluted Weighted Average Shares Outst.,948.0,914.0,861.0,798.0,768.0,765.3
Normalized Basic EPS,$1.88,$2.40,$3.16,$3.41,$3.01,$2.95
Normalized Diluted EPS,$1.88,$2.39,$3.14,$3.41,$3.00,$2.95
Dividend Per Share,$0.72,$0.78,$0.88,$0.96,$1.04,$1.06
Payout Ratio,39.67%,12.94%,22.70%,22.91%,28.82%,29.95%
EBITDA,4640.0,5113.0,6262.0,6379.0,5795.0,5724.0
EBITA,3339.0,3798.0,4931.0,5030.0,4412.0,4340.0
EBIT,3339.0,3798.0,4931.0,5030.0,4412.0,4340.0
EBITDAR,5105.0,5191.0,6328.0,6463.0,5877.0,
Effective Tax Rate,37.5%,NM,23.1%,22.8%,23.8%,23.9%
Normalized Net Income,1785.0,2182.5,2705.0,2717.5,2301.9,2254.4
Interest on Long-Term Debt,6.0,6.0,6.0,6.0,6.0,
