Income Statement,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,11.78%,24.86%,5.82%,1.64%,(5.30%)
Other Revenues,8.17%,9.69%,8.98%,7.59%,(3.55%)
Total Revenues,11.00%,21.66%,6.42%,2.80%,(4.95%)
Cost Of Revenues,9.23%,21.24%,5.48%,2.33%,(4.42%)
Gross Profit,13.28%,22.19%,7.57%,3.36%,(5.56%)
Selling General & Admin Expenses,14.63%,25.50%,3.33%,4.10%,(7.75%)
Total Operating Expenses,14.63%,25.50%,3.33%,4.10%,(7.75%)
Operating Income,10.92%,16.28%,15.75%,2.09%,(1.96%)
Interest Expense,(34.10%),(27.33%),-7.66%,(3.59%),-5.33%
Interest And Investment Income,(73.55%),466.24%,(8.49%),(19.54%),(46.85%)
Net Interest Expenses,(35.62%),(26.13%),-7.65%,(3.88%),-4.91%
"EBT, Excl. Unusual Items",8.69%,15.17%,18.64%,1.92%,(1.70%)
"EBT, Incl. Unusual Items",(2.54%),22.34%,31.08%,(4.00%),(2.41%)
Income Tax Expense,(10.36%),(75.20%),285.08%,(17.22%),(27.93%)
Earnings From Continuing Operations,1.94%,71.43%,12.59%,(0.71%),3.12%
Earnings Of Discontinued Operations,(90.44%),150.42%,(96.00%),,-100.00%
Net Income to Company,(30.69%),75.28%,5.03%,(1.01%),3.16%
Net Income,(30.69%),75.28%,5.03%,(1.01%),3.16%
Preferred Dividend and Other Adjustments,14.54%,44.39%,(18.87%),(14.74%),(3.39%)
NI to Common Incl Extra Items,(31.16%),75.81%,5.37%,(0.86%),3.21%
NI to Common Excl. Extra Items,1.73%,71.92%,13.07%,(0.56%),3.17%
Revenue Per Share,14.46%,19.80%,6.93%,5.04%,(5.10%)
Basic EPS,(28.99%),73.20%,5.94%,1.33%,3.04%
Basic EPS - Continuing Ops,4.87%,69.25%,13.68%,1.61%,3.00%
Basic Weighted Average Shares Outst.,(3.01%),1.55%,(0.48%),(2.13%),0.17%
Diluted EPS,(29.80%),72.30%,5.71%,1.46%,3.65%
Diluted EPS - Continuing Ops,3.73%,68.59%,13.37%,1.76%,3.61%
Diluted Weighted Average Shares Outst.,(1.98%),1.88%,(0.29%),(2.27%),(0.41%)
Normalized Basic EPS,12.16%,13.53%,19.14%,4.16%,(1.86%)
Normalized Diluted EPS,10.86%,12.92%,18.86%,4.26%,(1.29%)
Dividend Per Share,26.67%,21.80%,26.54%,24.39%,67.06%
Payout Ratio,78.28%,(29.67%),19.70%,22.59%,34.43%
EBITDA,12.34%,18.95%,13.38%,2.57%,(1.33%)
EBITA,11.91%,20.24%,14.93%,1.97%,(2.17%)
EBIT,10.92%,16.28%,15.75%,2.09%,(1.96%)
EBITDAR,12.73%,19.95%,12.64%,2.49%,
Effective Tax Rate,(8.03%),(79.73%),193.59%,(13.79%),(26.15%)
Normalized Net Income,8.69%,15.17%,18.64%,1.92%,(1.70%)
Interest Capitalized,90.91%,,,,
R&D Expense From Footnotes,,,(5.26%),(0.46%),(0.46%)
