Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,12.30%,18.70%,2.22%,22.89%,26.94%
Total Revenues,12.30%,18.70%,2.22%,22.89%,26.94%
Cost Of Revenues,12.72%,20.41%,0.12%,23.24%,25.00%
Gross Profit,11.40%,14.97%,6.98%,22.13%,31.14%
Selling General & Admin Expenses,12.87%,15.90%,10.62%,12.56%,11.29%
R&D Expenses,(7.89%),(10.00%),(47.62%),(21.21%),44.44%
Total Operating Expenses,12.43%,15.45%,9.83%,12.34%,11.40%
Operating Income,9.80%,14.21%,2.36%,39.10%,66.57%
Interest Expense,(1.81%),(23.64%),-0.45%,(13.71%),-17.43%
Net Interest Expenses,(1.81%),(23.64%),-0.45%,(13.71%),-17.43%
Currency Exchange Gains (Loss),,,(89.13%),500.00%,
Other Non Operating Income (Expenses),,,552.94%,(63.06%),25.85%
"EBT, Excl. Unusual Items",3.21%,15.85%,6.90%,48.90%,123.22%
"EBT, Incl. Unusual Items",(6.42%),12.09%,5.46%,62.45%,121.19%
Income Tax Expense,(23.44%),165.12%,(66.52%),73.36%,52.53%
Earnings From Continuing Operations,(1.26%),(23.86%),64.35%,60.63%,133.09%
Net Income to Company,(1.26%),(23.86%),64.35%,60.63%,133.09%
Net Income,(1.52%),(23.86%),64.35%,60.63%,133.09%
Preferred Dividend and Other Adjustments,,,,783.33%,125.73%
NI to Common Incl Extra Items,(1.52%),(23.86%),57.89%,31.06%,134.51%
NI to Common Excl. Extra Items,(1.52%),(23.86%),57.89%,31.06%,134.51%
Revenue Per Share,12.15%,13.02%,(7.00%),18.31%,15.72%
Basic EPS,(1.27%),(27.61%),42.98%,25.53%,113.77%
Basic EPS - Continuing Ops,(1.27%),(27.61%),42.98%,25.53%,113.77%
Basic Weighted Average Shares Outst.,0.13%,5.02%,9.92%,3.85%,9.70%
Diluted EPS,(2.25%),(27.59%),42.86%,26.67%,115.93%
Diluted EPS - Continuing Ops,(2.25%),(27.59%),42.86%,26.67%,115.93%
Diluted Weighted Average Shares Outst.,0.69%,5.10%,9.57%,4.36%,10.30%
Normalized Basic EPS,2.44%,10.15%,(2.73%),42.74%,103.48%
Normalized Diluted EPS,2.33%,9.90%,(2.76%),42.05%,102.37%
EBITDA,7.67%,19.92%,9.48%,26.82%,42.26%
EBITA,7.39%,18.26%,9.25%,30.25%,50.52%
EBIT,9.80%,14.21%,2.36%,39.10%,66.57%
EBITDAR,8.46%,,,,
Effective Tax Rate,(18.20%),136.47%,(68.25%),6.69%,(31.04%)
Normalized Net Income,2.88%,15.85%,6.90%,48.90%,123.22%
R&D Expense From Footnotes,(4.00%),(0.57%),3.81%,17.06%,78.59%
Foreign Sales,,,,5.96%,
