Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(23.91%),33.72%,(3.09%),2.68%,0.00%
Total Revenues,(23.91%),33.72%,(3.09%),2.68%,0.00%
Cost Of Revenues,(29.70%),42.30%,(1.08%),2.46%,0.00%
Gross Profit,(15.31%),23.16%,(5.94%),3.01%,0.00%
Selling General & Admin Expenses,4.94%,(10.25%),3.90%,(6.92%),0.00%
R&D Expenses,(28.67%),26.05%,(15.35%),(0.44%),0.00%
Total Operating Expenses,(5.16%),1.42%,(0.35%),0.07%,0.00%
Operating Income,(64.96%),311.01%,(24.19%),15.66%,0.00%
Interest Expense,(265.35%),-8.67%,-59.64%,-66.91%,0.00%
Interest And Investment Income,,(21.10%),(31.40%),(5.08%),0.00%
Net Interest Expenses,(157.43%),-3.46%,-69.32%,,0.00%
Currency Exchange Gains (Loss),,-67.18%,-48.03%,(163.64%),0.00%
Other Non Operating Income (Expenses),,(91.95%),28.57%,,0.00%
"EBT, Excl. Unusual Items",,,(10.41%),11.95%,0.00%
"EBT, Incl. Unusual Items",,"(1,266.67%)",-95.36%,,0.00%
Income Tax Expense,(868.89%),-98.81%,(48.39%),(76.09%),0.00%
Earnings From Continuing Operations,301.14%,,-96.01%,,0.00%
Earnings Of Discontinued Operations,,109.34%,,-91.80%,0.00%
Net Income to Company,459.28%,,-81.28%,,0.00%
Minority Interest,(48.00%),(2.70%),-52.63%,(11.11%),0.00%
Net Income,479.72%,,-81.07%,,0.00%
NI to Common Incl Extra Items,479.72%,,-81.07%,,0.00%
NI to Common Excl. Extra Items,313.72%,,-95.77%,,0.00%
Revenue Per Share,(31.35%),47.79%,(3.08%),2.81%,0.00%
Basic EPS,425.45%,,-81.07%,,0.00%
Basic EPS - Continuing Ops,274.98%,,-95.77%,,0.00%
Basic Weighted Average Shares Outst.,10.85%,(9.52%),0.01%,(0.11%),0.00%
Diluted EPS,423.55%,,-81.07%,,0.00%
Diluted EPS - Continuing Ops,273.63%,,-95.77%,,0.00%
Diluted Weighted Average Shares Outst.,10.24%,(9.85%),0.01%,0.23%,0.00%
Normalized Basic EPS,,,(7.62%),12.07%,0.00%
Normalized Diluted EPS,,,(7.62%),11.69%,0.00%
Dividend Per Share,,,,33.33%,0.00%
Payout Ratio,,,,,0.00%
EBITDA,(33.67%),186.25%,(10.61%),16.66%,0.00%
EBITA,(50.68%),274.63%,(14.11%),24.38%,0.00%
EBIT,(64.96%),311.01%,(24.19%),15.66%,0.00%
EBITDAR,,,(11.05%),16.50%,
Effective Tax Rate,,,,,0.00%
Normalized Net Income,,,(7.70%),11.97%,0.00%
R&D Expense From Footnotes,(28.67%),33.95%,(10.35%),(11.54%),0.00%
Foreign Sales,,(29.22%),0.38%,1.53%,
