Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.24%,5.28%,1.23%,7.51%,0.00%
Total Revenues,3.24%,5.28%,1.23%,7.51%,0.00%
Cost Of Revenues,7.01%,3.42%,6.71%,12.86%,0.00%
Gross Profit,2.69%,5.57%,0.41%,6.66%,0.00%
Selling General & Admin Expenses,1.36%,6.22%,4.59%,8.47%,0.00%
R&D Expenses,5.17%,5.82%,17.93%,3.70%,0.00%
Total Operating Expenses,2.86%,4.74%,7.07%,6.11%,0.00%
Operating Income,2.19%,7.89%,(17.72%),8.61%,0.00%
Interest Expense,(14.82%),(55.33%),-42.65%,(40.70%),0.00%
Interest And Investment Income,66.65%,43.95%,(54.33%),(83.00%),0.00%
Net Interest Expenses,-15.79%,(68.61%),-30.99%,(122.36%),0.00%
Currency Exchange Gains (Loss),,,,"(1,491.98%)",0.00%
Other Non Operating Income (Expenses),,,,662.12%,0.00%
"EBT, Excl. Unusual Items",4.27%,3.68%,(15.45%),4.08%,0.00%
"EBT, Incl. Unusual Items",4.28%,14.37%,(19.06%),8.91%,0.00%
Income Tax Expense,812.30%,(89.82%),,,0.00%
Earnings From Continuing Operations,(95.32%),"2,518.45%",18.44%,(26.01%),0.00%
Net Income to Company,,,18.44%,(26.01%),0.00%
Net Income,,,18.44%,(26.01%),0.00%
NI to Common Incl Extra Items,,,18.44%,(26.01%),0.00%
NI to Common Excl. Extra Items,(95.32%),"2,518.45%",18.44%,(26.01%),0.00%
Revenue Per Share,6.20%,16.72%,5.25%,13.83%,0.00%
Basic EPS,,,23.18%,(21.65%),0.00%
Basic EPS - Continuing Ops,(95.19%),"2,721.27%",23.18%,(21.65%),0.00%
Basic Weighted Average Shares Outst.,(2.81%),(9.78%),(3.81%),(5.56%),0.00%
Diluted EPS,,,27.66%,(20.48%),0.00%
Diluted EPS - Continuing Ops,(95.32%),"2,714.29%",27.66%,(20.48%),0.00%
Diluted Weighted Average Shares Outst.,(1.01%),(6.15%),(7.15%),(6.90%),0.00%
Normalized Basic EPS,7.19%,15.07%,(12.14%),10.20%,0.00%
Normalized Diluted EPS,5.25%,10.70%,(9.02%),11.80%,0.00%
Dividend Per Share,,,300.00%,0.00%,0.00%
Payout Ratio,,,230.04%,27.09%,0.00%
EBITDA,0.66%,2.79%,(16.60%),3.41%,0.00%
EBITA,3.74%,4.24%,(17.42%),4.92%,0.00%
EBIT,2.19%,7.89%,(17.72%),8.61%,0.00%
EBITDAR,0.51%,3.19%,(15.59%),3.40%,
Effective Tax Rate,775.16%,(91.10%),,,0.00%
Normalized Net Income,4.27%,3.68%,(15.45%),4.08%,0.00%
Interest on Long-Term Debt,14.82%,55.33%,(42.65%),40.70%,
R&D Expense From Footnotes,2.58%,4.05%,14.84%,1.98%,0.00%
Foreign Sales,148.39%,5.28%,1.23%,7.51%,
