Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,4.08%,4.95%,31.89%,4.75%,0.00%
Total Revenues,4.08%,4.95%,31.89%,4.75%,0.00%
Cost Of Revenues,5.11%,4.34%,29.57%,3.98%,0.00%
Gross Profit,(1.22%),8.32%,44.17%,8.38%,0.00%
Selling General & Admin Expenses,2.48%,11.15%,57.00%,5.77%,0.00%
Total Operating Expenses,2.48%,11.15%,57.00%,5.77%,0.00%
Operating Income,(7.62%),2.88%,17.58%,15.61%,0.00%
Interest Expense,-1.48%,(146.61%),(15.88%),-4.22%,0.00%
Interest And Investment Income,5.00%,"3,042.86%",53.18%,(21.07%),0.00%
Net Interest Expenses,-1.61%,(88.18%),(3.32%),(4.20%),0.00%
Other Non Operating Income (Expenses),,,(250.00%),(71.43%),0.00%
"EBT, Excl. Unusual Items",(8.28%),(7.32%),20.98%,17.93%,0.00%
"EBT, Incl. Unusual Items",(4.27%),(82.99%),539.90%,8.59%,0.00%
Income Tax Expense,(50.65%),22.30%,18.18%,8.58%,0.00%
Earnings From Continuing Operations,24.64%,,,8.60%,0.00%
Earnings Of Discontinued Operations,(700.00%),,,,
Net Income to Company,24.52%,,,8.46%,0.00%
Minority Interest,-50.00%,,50.00%,,0.00%
Net Income,24.54%,,,8.22%,0.00%
Preferred Dividend and Other Adjustments,(11.11%),(87.50%),66.67%,,
NI to Common Incl Extra Items,24.73%,,,8.30%,0.00%
NI to Common Excl. Extra Items,24.85%,,,8.43%,0.00%
Revenue Per Share,9.48%,2.54%,5.84%,4.11%,0.00%
Basic EPS,31.21%,,,7.54%,0.00%
Basic EPS - Continuing Ops,31.37%,,,7.67%,0.00%
Basic Weighted Average Shares Outst.,(4.94%),2.35%,24.62%,0.61%,0.00%
Diluted EPS,31.21%,,,7.54%,0.00%
Diluted EPS - Continuing Ops,31.36%,,,7.68%,0.00%
Diluted Weighted Average Shares Outst.,(5.10%),1.95%,25.00%,0.69%,0.00%
Normalized Basic EPS,(3.47%),(9.44%),(3.01%),17.04%,0.00%
Normalized Diluted EPS,(3.33%),(9.10%),(3.31%),16.84%,0.00%
Dividend Per Share,17.65%,0.00%,0.00%,0.00%,0.00%
Payout Ratio,(10.60%),,,(6.85%),0.00%
EBITDA,(6.15%),4.25%,26.78%,11.83%,0.00%
EBITA,(6.89%),4.44%,28.91%,12.28%,0.00%
EBIT,(7.62%),2.88%,17.58%,15.61%,0.00%
EBITDAR,(4.98%),4.05%,27.18%,9.64%,
Effective Tax Rate,(48.44%),619.14%,(81.53%),(0.02%),0.00%
Normalized Net Income,(8.27%),(7.27%),20.99%,17.66%,0.00%
Interest on Long-Term Debt,,,15.88%,(1.19%),
