Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,23.40%,24.64%,(11.98%),(32.46%),0.00%
Total Revenues,23.40%,24.64%,(11.98%),(32.46%),0.00%
Cost Of Revenues,30.83%,37.92%,(15.29%),(36.98%),0.00%
Gross Profit,15.75%,9.19%,(7.11%),(26.39%),0.00%
Selling General & Admin Expenses,(4.28%),4.43%,4.02%,(5.35%),0.00%
Depreciation & Amortization,12.64%,1.94%,(1.41%),(9.26%),0.00%
Other Operating Expense/(Income),5.70%,(60.56%),(14.93%),8.55%,0.00%
Total Operating Expenses,2.76%,(10.30%),(0.86%),(4.00%),0.00%
Operating Income,,317.95%,(28.35%),,0.00%
Interest Expense,(52.74%),(143.65%),(6.68%),-12.66%,0.00%
Net Interest Expenses,(448.21%),(143.65%),(6.68%),-12.66%,0.00%
Other Non Operating Income (Expenses),(14.55%),17.03%,170.08%,,0.00%
"EBT, Excl. Unusual Items",,157.13%,(27.67%),,0.00%
"EBT, Incl. Unusual Items",,123.13%,(73.09%),,0.00%
Income Tax Expense,-97.22%,,(52.91%),,0.00%
Earnings From Continuing Operations,,60.32%,(80.85%),,0.00%
Net Income to Company,,60.32%,(80.85%),,0.00%
Minority Interest,(12.12%),-51.35%,,(77.22%),0.00%
Net Income,,61.22%,(80.28%),,0.00%
NI to Common Incl Extra Items,,61.22%,(80.28%),,0.00%
NI to Common Excl. Extra Items,,61.22%,(80.28%),,0.00%
Revenue Per Share,22.74%,23.66%,(11.23%),(32.02%),0.00%
Basic EPS,,60.05%,(80.11%),,0.00%
Basic EPS - Continuing Ops,,60.05%,(80.11%),,0.00%
Basic Weighted Average Shares Outst.,0.53%,0.80%,(0.84%),(0.64%),0.00%
Diluted EPS,,59.59%,(80.10%),,0.00%
Diluted EPS - Continuing Ops,,59.59%,(80.10%),,0.00%
Diluted Weighted Average Shares Outst.,1.33%,0.84%,(0.99%),(1.32%),0.00%
Normalized Basic EPS,,158.34%,(26.18%),,0.00%
Normalized Diluted EPS,,158.15%,(26.15%),,0.00%
Dividend Per Share,0.70%,3.70%,6.25%,8.40%,0.00%
Payout Ratio,,(35.15%),434.26%,,0.00%
EBITDA,63.68%,53.85%,(13.72%),(51.54%),0.00%
EBITA,,266.64%,(27.31%),,0.00%
EBIT,,317.95%,(28.35%),,0.00%
EBITDAR,57.98%,52.55%,,,
Effective Tax Rate,,,74.98%,(47.78%),0.00%
Normalized Net Income,,160.24%,(26.85%),,0.00%
Interest Capitalized,7.79%,(70.92%),(89.02%),100.00%,
R&D Expense From Footnotes,(9.03%),4.62%,10.38%,(13.00%),0.00%
Foreign Sales,44.81%,19.80%,(13.56%),(29.52%),
