Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,855.7,1430.6,1984.0,2409.0,3124.0,3124.0
Other Revenues,44.8,50.2,72.0,114.0,342.0,342.0
Total Revenues,900.5,1480.8,2056.0,2523.0,3466.0,3466.0
Cost Of Revenues,546.8,813.7,1131.0,1289.0,1768.0,1768.0
Gross Profit,353.7,667.1,925.0,1234.0,1698.0,1698.0
Selling General & Admin Expenses,191.5,355.0,427.0,569.0,1077.0,1077.0
Depreciation & Amortization,63.4,105.9,157.0,222.0,583.0,583.0
Total Operating Expenses,254.9,460.8,584.0,791.0,1660.0,1660.0
Operating Income,98.7,206.3,341.0,443.0,38.0,38.0
Interest Expense,(50.9),(99.8),(172.0),(286.0),"(1,174.0)","(1,174.0)"
Net Interest Expenses,(50.9),(99.8),(172.0),(286.0),"(1,174.0)","(1,174.0)"
Other Non Operating Income (Expenses),,,(3.0),8.0,(7.0),(7.0)
"EBT, Excl. Unusual Items",47.8,106.2,166.0,165.0,"(1,143.0)","(1,143.0)"
"EBT, Incl. Unusual Items",37.6,(43.4),135.0,125.0,"(1,632.0)","(1,632.0)"
Income Tax Expense,13.1,(116.8),40.0,44.0,126.0,126.0
Earnings From Continuing Operations,24.5,73.4,95.0,81.0,"(1,758.0)","(1,758.0)"
Net Income to Company,24.5,73.4,95.0,81.0,"(1,758.0)","(1,758.0)"
Minority Interest,,,,,1.0,1.0
Net Income,24.5,73.4,95.0,81.0,"(1,757.0)","(1,757.0)"
NI to Common Incl Extra Items,24.5,73.4,95.0,81.0,"(1,757.0)","(1,757.0)"
NI to Common Excl. Extra Items,24.5,73.4,95.0,81.0,"(1,757.0)","(1,757.0)"
Revenue Per Share,$19.15,$22.06,$26.70,$32.35,$26.66,$26.66
Basic EPS,$0.52,$1.09,$1.23,$1.04,($13.52),($13.52)
Basic EPS - Continuing Ops,$0.52,$1.09,$1.23,$1.04,($13.52),($13.52)
Basic Weighted Average Shares Outst.,47.0,67.1,77.0,78.0,130.0,130.0
Diluted EPS,$0.51,$1.08,$1.22,$1.03,($13.52),($13.52)
Diluted EPS - Continuing Ops,$0.51,$1.08,$1.22,$1.03,($13.52),($13.52)
Diluted Weighted Average Shares Outst.,47.7,68.1,78.0,79.0,130.0,130.0
Normalized Basic EPS,$0.64,$0.99,$1.35,$1.32,($5.49),($5.49)
Normalized Diluted EPS,$0.63,$0.97,$1.33,$1.31,($5.49),($5.49)
EBITDA,162.2,312.2,498.0,665.0,621.0,621.0
EBITA,98.7,211.4,354.0,473.0,94.0,94.0
EBIT,98.7,206.3,341.0,443.0,38.0,38.0
EBITDAR,179.2,,499.0,730.0,735.0,735.0
Effective Tax Rate,34.8%,NM,29.6%,35.2%,NM,NM
Normalized Net Income,29.9,66.3,103.8,103.1,(713.4),(713.4)
Interest on Long-Term Debt,,,40.0,107.0,675.0,675.0
