Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,57988.0,61579.0,70828.0,76510.0,58089.0,53484.0
Total Interest Income,57988.0,61579.0,70828.0,76510.0,58089.0,53484.0
Interest On Deposits,12512.0,16518.0,24266.0,29163.0,14541.0,11262.0
Total Interest Expense,12512.0,16518.0,24266.0,29163.0,14541.0,11262.0
Net Interest Income,45476.0,45061.0,46562.0,47347.0,43548.0,42222.0
Trust Income,3294.0,3584.0,3580.0,3411.0,3472.0,3579.0
Income From Trading Activities,7857.0,8940.0,8905.0,8892.0,13885.0,12537.0
Gain (Loss) on Sale of Assets,,930.0,250.0,,,
Gain (Loss) on Sale of Invest. & Securities,329.0,715.0,289.0,1442.0,1581.0,1553.0
Total Other Non Interest Income,13841.0,13545.0,13268.0,13194.0,11805.0,13013.0
Total Non Interest Income,25321.0,27714.0,26292.0,26939.0,30743.0,30682.0
Revenue Before Loan Losses,70797.0,72775.0,72854.0,74286.0,74291.0,72904.0
Provision For Loan Losses,6749.0,7503.0,7354.0,8218.0,15922.0,8066.0
Total Revenues,64048.0,65272.0,65500.0,66068.0,58369.0,64838.0
Salaries And Other Employee Benefits,19497.0,19624.0,19773.0,19909.0,20750.0,21097.0
Occupancy Expense,1442.0,1353.0,1324.0,1244.0,1279.0,1290.0
Total Selling General & Admin Expenses,10906.0,11174.0,11119.0,11201.0,11118.0,11189.0
Total Other Non Interest Expense,10726.0,10029.0,9839.0,9813.0,11590.0,10449.0
Total Non Interest Expense,42571.0,42180.0,42055.0,42167.0,44737.0,44025.0
"EBT, Excl. Unusual Items",21477.0,23092.0,23445.0,23901.0,13632.0,20813.0
Restructuring Charges,,(331.0),,,,
"EBT, Incl. Unusual Items",21477.0,22761.0,23445.0,23901.0,13632.0,20813.0
Income Tax Expense,6444.0,29388.0,5357.0,4430.0,2525.0,4277.0
Earnings From Continuing Operations,15033.0,"(6,627.0)",18088.0,19471.0,11107.0,16536.0
Earnings Of Discontinued Operations,(58.0),(111.0),(8.0),(4.0),(20.0),(4.0)
Net Income to Company,14975.0,"(6,738.0)",18080.0,19467.0,11087.0,16532.0
Minority Interest,(63.0),(60.0),(35.0),(66.0),(40.0),(79.0)
Net Income,14912.0,"(6,798.0)",18045.0,19401.0,11047.0,16453.0
Preferred Dividend and Other Adjustments,1272.0,1250.0,1374.0,1230.0,1168.0,1214.0
Net Income to Common Incl Extra Items,13640.0,"(8,048.0)",16671.0,18171.0,9879.0,15239.0
Net Income to Common Excl. Extra Items,13698.0,"(7,937.0)",16679.0,18175.0,9899.0,15243.0
Revenue Per Share,$22.18,$24.19,$26.27,$29.37,$27.98,$31.14
Basic EPS,$4.72,($2.98),$6.69,$8.08,$4.74,$7.32
Basic EPS - Continuing Ops,$4.74,($2.94),$6.69,$8.08,$4.75,$7.32
Basic Weighted Average Shares Outst.,2888.1,2698.5,2493.3,2249.2,2085.8,2081.8
Diluted EPS,$4.72,($2.98),$6.69,$8.04,$4.72,$7.29
Diluted EPS - Continuing Ops,$4.74,($2.94),$6.69,$8.04,$4.73,$7.29
Diluted Weighted Average Shares Outst.,2888.3,2698.5,2494.8,2265.3,2099.0,2094.7
Normalized Basic EPS,$4.63,$5.33,$5.86,$6.61,$4.07,$6.21
Normalized Diluted EPS,$4.63,$5.33,$5.86,$6.57,$4.04,$6.17
Dividend Per Share,$0.42,$0.96,$1.54,$1.92,$2.04,$2.04
Payout Ratio,15.34%,NM,27.82%,28.08%,48.45%,
Effective Tax Rate,30.0%,129.1%,22.8%,18.5%,18.5%,20.5%
Normalized Net Income,13360.1,14372.5,14618.1,14872.1,8480.0,12929.1
Interest on Long-Term Debt,4413.0,5573.0,6551.0,6494.0,4669.0,
Foreign Sales,33000.0,69267.0,70664.0,72272.0,74244.0,
