Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.27%,7.77%,5.93%,(68.65%),(78.86%)
Other Revenues,16.77%,10.76%,4.16%,(9.38%),2.56%
Total Revenues,4.28%,8.02%,5.78%,(63.63%),(71.96%)
Cost Of Revenues,4.78%,12.56%,3.35%,(34.70%),(38.12%)
Gross Profit,3.06%,(3.22%),12.78%,,
Selling General & Admin Expenses,4.34%,6.24%,2.68%,(70.80%),(85.03%)
Depreciation & Amortization,17.82%,4.82%,10.82%,(11.27%),(20.42%)
Other Operating Expense/(Income),(0.74%),7.09%,2.79%,(34.33%),(49.23%)
Total Operating Expenses,7.61%,5.92%,5.87%,(36.41%),(48.33%)
Operating Income,(0.79%),(11.60%),20.37%,,
Interest Expense,(2.06%),-21.46%,-3.22%,(208.64%),(307.74%)
Net Interest Expenses,(2.06%),-21.46%,-3.22%,(208.64%),(307.74%)
"EBT, Excl. Unusual Items",(2.44%),(10.18%),18.98%,,
"EBT, Incl. Unusual Items",(13.43%),(6.35%),20.33%,,
Income Tax Expense,6.35%,(47.02%),17.68%,,
Earnings From Continuing Operations,(23.60%),22.78%,21.14%,,
Net Income to Company,(23.60%),22.78%,21.14%,,
Net Income,(23.60%),22.78%,21.14%,,
NI to Common Incl Extra Items,(23.60%),22.78%,21.14%,,
NI to Common Excl. Extra Items,(23.60%),22.78%,21.14%,,
Revenue Per Share,8.77%,12.55%,12.28%,(62.78%),(71.60%)
Basic EPS,(20.37%),27.97%,28.69%,,
Basic EPS - Continuing Ops,(20.37%),27.97%,28.69%,,
Basic Weighted Average Shares Outst.,(4.13%),(4.03%),(5.79%),(2.30%),(1.28%)
Diluted EPS,(20.18%),27.99%,28.75%,,
Diluted EPS - Continuing Ops,(20.18%),27.99%,28.75%,,
Diluted Weighted Average Shares Outst.,(4.24%),(4.01%),(5.91%),(2.60%),(1.51%)
Normalized Basic EPS,1.82%,(6.42%),26.26%,,
Normalized Diluted EPS,1.81%,(6.45%),26.42%,,
Dividend Per Share,50.00%,28.43%,15.27%,(73.34%),(99.84%)
Payout Ratio,88.03%,1.27%,(11.00%),,(100.00%)
EBITDA,3.24%,(7.64%),17.54%,,
EBITA,(0.79%),(11.56%),20.20%,,
EBIT,(0.79%),(11.60%),20.37%,,
EBITDAR,3.64%,3.98%,13.57%,,
Effective Tax Rate,22.84%,(43.43%),(2.21%),(11.03%),(14.51%)
Normalized Net Income,(2.44%),(10.18%),18.98%,,
Interest on Long-Term Debt,,,31.82%,10.34%,
R&D Expense From Footnotes,18.35%,9.63%,16.59%,27.20%,27.20%
Foreign Sales,1.21%,6.84%,3.78%,(72.43%),
