Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Total Interest and Dividend Income,8616.0,9648.0,10893.0,11993.0,11095.0,10759.0
Total Interest Expense,1398.0,1648.0,2139.0,2530.0,1865.0,1597.0
Net Interest Income,7218.0,8000.0,8754.0,9463.0,9230.0,9162.0
Commission and Fees,1210.0,1219.0,1252.0,1263.0,1128.0,1207.0
Loan Servicing Revenue,343.0,363.0,402.0,449.0,414.0,402.0
Gain (Loss) on Sale of Invest.,,,,(3.0),80.0,45.0
Other Revenue,328.0,315.0,301.0,287.0,236.0,226.0
Revenue Before Loan Losses,9099.0,9897.0,10709.0,11459.0,11088.0,11042.0
Provision For Loan Losses,1859.0,2579.0,3035.0,3231.0,5134.0,2962.0
Total Revenues,7240.0,7318.0,7674.0,8228.0,5954.0,8080.0
Salaries and Other Empl. Benefits,1379.0,1512.0,1627.0,1738.0,1894.0,1933.0
Cost of Services Provided,1770.0,1845.0,1981.0,2152.0,2029.0,1977.0
Other Operating Expenses,337.0,335.0,386.0,407.0,441.0,423.0
Total Operating Expenses,3486.0,3692.0,3994.0,4297.0,4364.0,4333.0
Operating Income,3754.0,3626.0,3680.0,3931.0,1590.0,3747.0
"EBT, Excl. Unusual Items",3754.0,3626.0,3680.0,3931.0,1590.0,3747.0
Other Unusual Items,(98.0),(89.0),(83.0),(96.0),(96.0),(96.0)
"EBT, Incl. Unusual Items",3656.0,3537.0,3597.0,3835.0,1435.0,3592.0
Income Tax Expense,1263.0,1438.0,855.0,878.0,294.0,797.0
Earnings From Continuing Operations,2393.0,2099.0,2742.0,2957.0,1141.0,2795.0
Net Income to Company,2393.0,2099.0,2742.0,2957.0,1141.0,2795.0
Net Income,2393.0,2099.0,2742.0,2957.0,1141.0,2795.0
Pref. Dividends and Other Adj.,54.0,68.0,53.0,49.0,37.0,67.0
NI to Common Incl Extra Items,2339.0,2031.0,2689.0,2908.0,1104.0,2728.0
NI to Common Excl. Extra Items,2339.0,2031.0,2689.0,2908.0,1104.0,2728.0
Revenue Per Share,$17.88,$19.57,$22.31,$25.71,$19.39,$26.34
Basic EPS,$5.78,$5.43,$7.82,$9.09,$3.60,$8.89
Basic EPS - Continuing Ops,$5.78,$5.43,$7.82,$9.09,$3.60,$8.89
Basic Weighted Average Shares Outst.,405.0,374.0,344.0,320.0,307.0,306.8
Diluted EPS,$5.77,$5.42,$7.79,$9.08,$3.60,$8.89
Diluted EPS - Continuing Ops,$5.77,$5.42,$7.79,$9.08,$3.60,$8.89
Diluted Weighted Average Shares Outst.,406.0,374.0,345.0,320.0,307.0,306.8
Normalized Basic EPS,$5.79,$6.06,$6.69,$7.68,$3.24,$7.63
Normalized Diluted EPS,$5.78,$6.06,$6.67,$7.68,$3.24,$7.63
Dividend Per Share,$1.16,$1.30,$1.50,$1.68,$1.76,$1.76
Payout Ratio,21.48%,25.11%,20.13%,19.38%,50.48%,
Effective Tax Rate,34.5%,40.7%,23.8%,22.9%,20.5%,22.2%
Normalized Net Income,2346.3,2266.3,2300.0,2456.9,993.8,2341.9
Interest on Long-Term Debt,711.0,802.0,901.0,943.0,602.0,
