Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7214.0,7402.0,7531.0,7726.0,9437.0,10335.0
Total Revenues,7214.0,7402.0,7531.0,7726.0,9437.0,10335.0
Cost Of Revenues,4576.0,4708.0,4904.0,5002.0,5720.0,6073.0
Gross Profit,2638.0,2694.0,2627.0,2724.0,3717.0,4262.0
Selling General & Admin Expenses,1337.0,1421.0,1395.0,1414.0,1509.0,1571.0
Other Operating Expense/(Income),1.0,1.0,(2.0),,(2.0),(2.0)
Total Operating Expenses,1410.0,1496.0,1483.0,1510.0,1610.0,1674.0
Operating Income,1228.0,1198.0,1144.0,1214.0,2107.0,2588.0
Interest Expense,(144.0),(153.0),(169.0),(180.0),(166.0),(163.0)
Interest And Investment Income,1.0,2.0,2.0,5.0,3.0,3.0
Net Interest Expenses,(143.0),(151.0),(167.0),(175.0),(163.0),(160.0)
Other Non Operating Income (Expenses),4.0,8.0,(6.0),10.0,7.0,27.0
"EBT, Excl. Unusual Items",1128.0,1090.0,1015.0,1106.0,2026.0,2533.0
"EBT, Incl. Unusual Items",1125.0,1065.0,970.0,1133.0,1959.0,2470.0
Income Tax Expense,429.0,241.0,182.0,247.0,460.0,587.0
Earnings From Continuing Operations,696.0,824.0,788.0,886.0,1499.0,1883.0
Earnings Of Discontinued Operations,,,,20.0,,
Net Income to Company,696.0,824.0,788.0,906.0,1499.0,1883.0
Minority Interest,(51.0),(52.0),(52.0),(48.0),(68.0),(82.0)
Net Income,645.0,772.0,736.0,858.0,1431.0,1801.0
Preferred Dividend and Other Adjustments,3.0,3.0,3.0,3.0,6.0,7.0
NI to Common Incl Extra Items,642.0,769.0,733.0,855.0,1425.0,1794.0
NI to Common Excl. Extra Items,642.0,769.0,733.0,835.0,1425.0,1794.0
Revenue Per Share,$51.53,$54.03,$55.38,$57.66,$70.43,$77.27
Basic EPS,$4.59,$5.61,$5.39,$6.38,$10.63,$13.41
Basic EPS - Continuing Ops,$4.59,$5.61,$5.39,$6.23,$10.63,$13.41
Basic Weighted Average Shares Outst.,140.0,137.0,136.0,134.0,134.0,133.8
Diluted EPS,$4.51,$5.50,$5.29,$6.28,$10.47,$13.18
Diluted EPS - Continuing Ops,$4.51,$5.50,$5.29,$6.13,$10.47,$13.18
Diluted Weighted Average Shares Outst.,142.0,140.0,139.0,136.0,136.0,136.0
Normalized Basic EPS,$4.67,$4.59,$4.28,$4.80,$8.94,$11.22
Normalized Diluted EPS,$4.61,$4.49,$4.19,$4.73,$8.81,$11.04
Dividend Per Share,$1.65,$1.80,$2.03,$2.12,$2.24,$2.30
Payout Ratio,34.57%,31.99%,36.14%,33.33%,20.75%,16.71%
EBITDA,1477.0,1468.0,1453.0,1543.0,2468.0,2965.0
EBITA,1300.0,1272.0,1234.0,1310.0,2210.0,2693.0
EBIT,1228.0,1198.0,1144.0,1214.0,2107.0,2588.0
EBITDAR,1693.0,1687.0,1673.0,1837.0,2768.0,
Effective Tax Rate,38.1%,22.6%,18.8%,21.8%,23.5%,23.8%
Normalized Net Income,654.0,629.3,582.4,643.3,1198.3,1501.1
Interest on Long-Term Debt,144.0,153.0,169.0,180.0,166.0,
