Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,15.85%,14.20%,9.29%,15.01%,29.87%
Other Revenues,18.23%,7.38%,17.69%,32.42%,70.88%
Total Revenues,15.90%,14.03%,9.49%,15.45%,30.89%
Cost Of Revenues,16.42%,11.98%,10.61%,12.53%,25.55%
Gross Profit,13.91%,22.15%,5.42%,26.61%,50.44%
Selling General & Admin Expenses,11.11%,13.95%,9.64%,9.33%,19.52%
Total Operating Expenses,11.11%,13.95%,9.64%,9.33%,19.52%
Operating Income,16.16%,28.46%,2.55%,39.21%,71.10%
Other Non Operating Income (Expenses),397.50%,(24.12%),(54.30%),(44.20%),
"EBT, Excl. Unusual Items",18.36%,27.36%,1.62%,38.67%,69.65%
"EBT, Incl. Unusual Items",18.37%,28.58%,3.17%,40.36%,66.69%
Income Tax Expense,20.65%,6.03%,(15.23%),18.91%,59.94%
Earnings From Continuing Operations,17.16%,40.82%,10.69%,47.07%,68.60%
Net Income to Company,17.16%,40.82%,10.69%,47.07%,68.60%
Minority Interest,,,-95.00%,"(6,700.00%)",
Net Income,17.16%,40.63%,10.83%,46.66%,67.94%
NI to Common Incl Extra Items,17.16%,40.63%,10.83%,46.66%,67.94%
NI to Common Excl. Extra Items,17.16%,40.63%,10.83%,46.66%,67.94%
Revenue Per Share,14.88%,13.32%,10.66%,17.68%,32.84%
Basic EPS,16.08%,39.99%,11.95%,49.64%,70.44%
Basic EPS - Continuing Ops,16.08%,39.99%,11.95%,49.64%,70.44%
Basic Weighted Average Shares Outst.,0.89%,0.61%,(1.06%),(1.91%),(1.46%)
Diluted EPS,16.10%,39.05%,12.60%,49.42%,69.99%
Diluted EPS - Continuing Ops,16.10%,39.05%,12.60%,49.42%,69.99%
Diluted Weighted Average Shares Outst.,1.01%,1.19%,(1.56%),(1.91%),(1.40%)
Normalized Basic EPS,17.19%,26.49%,2.73%,41.05%,71.32%
Normalized Diluted EPS,17.27%,25.62%,3.52%,40.84%,71.22%
Dividend Per Share,25.00%,25.00%,20.00%,16.67%,15.38%
Payout Ratio,7.59%,(10.47%),7.00%,(21.85%),(32.35%)
EBITDA,15.04%,27.99%,2.93%,38.30%,69.05%
EBITA,16.16%,28.46%,2.55%,39.21%,71.10%
EBIT,16.16%,28.46%,2.55%,39.21%,71.10%
EBITDAR,14.89%,27.64%,3.02%,37.82%,
Effective Tax Rate,1.93%,(17.55%),(17.82%),(15.28%),(4.05%)
Normalized Net Income,18.36%,27.16%,1.76%,38.17%,68.81%
Interest Capitalized,(15.10%),(3.02%),11.80%,9.34%,
Interest on Long-Term Debt,(15.10%),(3.02%),11.80%,9.34%,
