Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(8.08%),9.86%,5.06%,24.42%,37.51%
Total Revenues,(8.08%),9.86%,5.06%,24.42%,37.51%
Cost Of Revenues,(7.64%),8.59%,5.08%,17.98%,25.95%
Gross Profit,(8.43%),10.89%,5.04%,29.53%,46.65%
Selling General & Admin Expenses,(8.56%),6.87%,4.13%,23.36%,28.81%
R&D Expenses,(1.92%),10.73%,6.33%,19.72%,25.80%
Total Operating Expenses,(7.56%),7.48%,4.49%,22.75%,28.30%
Operating Income,(10.35%),18.71%,6.18%,43.37%,84.87%
Interest Expense,-24.02%,-2.21%,-21.17%,(154.63%),(112.64%)
Interest And Investment Income,"3,650.00%",20.00%,"1,444.44%",(48.92%),(92.98%)
Net Interest Expenses,-28.01%,-3.47%,,,
Other Non Operating Income (Expenses),,,,,0.00%
"EBT, Excl. Unusual Items",(9.15%),19.90%,11.82%,36.02%,73.96%
"EBT, Incl. Unusual Items",(2.61%),16.47%,11.58%,36.01%,78.00%
Income Tax Expense,(18.98%),49.87%,57.01%,(2.75%),85.27%
Earnings From Continuing Operations,0.87%,10.76%,1.08%,49.92%,76.38%
Earnings Of Discontinued Operations,(20.08%),(23.41%),135.10%,,
Net Income to Company,(2.41%),6.38%,13.47%,21.21%,45.39%
Net Income,(2.41%),6.38%,13.47%,21.21%,45.39%
Preferred Dividend and Other Adjustments,,,,100.00%,96.27%
NI to Common Incl Extra Items,(2.41%),6.38%,10.90%,19.39%,44.10%
NI to Common Excl. Extra Items,0.87%,10.76%,(1.75%),48.48%,75.77%
Revenue Per Share,(8.67%),9.12%,2.96%,25.97%,37.94%
Basic EPS,(2.94%),5.70%,8.78%,20.93%,44.55%
Basic EPS - Continuing Ops,0.06%,10.07%,(3.61%),50.16%,76.32%
Basic Weighted Average Shares Outst.,0.67%,0.69%,2.06%,(1.23%),(0.31%)
Diluted EPS,(3.22%),5.82%,8.43%,20.33%,44.36%
Diluted EPS - Continuing Ops,(0.02%),10.08%,(3.80%),49.85%,76.10%
Diluted Weighted Average Shares Outst.,0.90%,0.58%,2.15%,(0.94%),0.37%
Normalized Basic EPS,(9.80%),19.03%,9.66%,37.48%,74.50%
Normalized Diluted EPS,(10.01%),19.03%,9.32%,37.46%,73.32%
Dividend Per Share,(1.75%),14.29%,6.25%,5.88%,8.70%
Payout Ratio,(3.07%),7.60%,7.29%,(3.72%),(19.42%)
EBITDA,(7.73%),14.73%,4.73%,44.94%,79.94%
EBITA,(8.74%),16.47%,5.40%,49.56%,89.32%
EBIT,(10.35%),18.71%,6.18%,43.37%,84.87%
EBITDAR,(7.64%),14.65%,4.64%,43.09%,
Effective Tax Rate,(16.83%),28.66%,40.73%,(28.48%),4.08%
Normalized Net Income,(9.15%),19.90%,11.82%,36.02%,73.96%
R&D Expense From Footnotes,(1.92%),10.73%,6.33%,19.72%,25.80%
Foreign Sales,(5.44%),9.88%,3.08%,21.48%,
