Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,15212.3,14391.4,13621.3,12807.7,15493.4,15493.4
Total Revenues,15212.3,14391.4,13621.3,12807.7,15493.4,15493.4
Cost Of Revenues,9901.8,9747.3,9324.4,8570.2,10033.7,10033.7
Gross Profit,5310.6,4644.1,4296.9,4237.5,5459.7,5459.7
Selling General & Admin Expenses,2048.9,1817.2,1437.3,1728.1,1806.1,1806.1
Depreciation & Amortization,921.2,817.6,712.0,630.6,714.6,714.6
Total Operating Expenses,2970.1,2634.7,2149.3,2358.6,2520.7,2520.7
Operating Income,2340.4,2009.4,2147.6,1878.9,2939.0,2939.0
Interest Expense,(53.1),(63.2),(15.0),(23.7),(13.0),(13.0)
Interest And Investment Income,31.2,41.0,44.8,77.2,22.7,22.7
Net Interest Expenses,(22.0),(22.2),29.8,53.5,9.8,9.8
Other Non Operating Income (Expenses),(2.3),2.3,2.0,11.1,(20.8),(20.8)
"EBT, Excl. Unusual Items",2318.7,1991.7,2177.3,1939.8,2928.5,2928.5
"EBT, Incl. Unusual Items",2416.6,1650.1,2189.2,1943.9,2572.2,2572.2
Income Tax Expense,865.8,(515.3),533.7,451.4,698.3,698.3
Earnings From Continuing Operations,1550.8,2165.4,1655.5,1492.6,1873.9,1873.9
Net Income to Company,1550.8,2165.4,1655.5,1492.6,1873.9,1873.9
Minority Interest,(52.8),(66.7),(80.4),(93.1),(111.3),(111.3)
Net Income,1497.9,2098.7,1575.1,1399.5,1762.7,1762.7
NI to Common Incl Extra Items,1497.9,2098.7,1575.1,1399.5,1762.7,1762.7
NI to Common Excl. Extra Items,1497.9,2098.7,1575.1,1399.5,1762.7,1762.7
Revenue Per Share,$32.73,$30.88,$29.15,$26.70,$29.52,$29.52
Basic EPS,$3.22,$4.50,$3.37,$2.92,$3.36,$3.36
Basic EPS - Continuing Ops,$3.22,$4.50,$3.37,$2.92,$3.36,$3.36
Basic Weighted Average Shares Outst.,464.8,466.0,467.4,479.7,524.8,524.8
Diluted EPS,$3.15,$4.07,$3.00,$2.60,$3.02,$3.02
Diluted EPS - Continuing Ops,$3.15,$4.07,$3.00,$2.60,$3.02,$3.02
Diluted Weighted Average Shares Outst.,484.2,522.6,525.8,538.0,584.4,584.4
Normalized Basic EPS,$3.00,$2.53,$2.74,$2.33,$3.28,$3.28
Normalized Diluted EPS,$2.88,$2.25,$2.43,$2.08,$2.94,$2.94
EBITDA,3271.6,2834.9,2859.6,2509.5,3653.6,3653.6
EBITA,2350.4,2017.4,2177.3,1886.3,3031.9,3031.9
EBIT,2340.4,2009.4,2147.6,1878.9,2939.0,2939.0
EBITDAR,3680.6,3241.9,3242.6,2782.5,3752.6,3752.6
Effective Tax Rate,35.8%,NM,24.4%,23.2%,27.1%,27.1%
Normalized Net Income,1396.3,1178.1,1280.4,1119.3,1719.0,1719.0
Interest Capitalized,844.3,1015.9,1012.2,980.3,924.6,924.6
Interest on Long-Term Debt,,,,10.8,21.0,21.0
R&D Expense From Footnotes,41.0,33.0,24.0,21.0,24.0,24.0
Foreign Sales,,39.8,43.0,47.8,51.1,51.1
