Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,7.37%,2.60%,3.45%,8.04%,8.04%
Total Revenues,7.37%,2.60%,3.45%,8.04%,8.04%
Cost Of Revenues,16.73%,4.28%,4.37%,6.73%,6.73%
Gross Profit,(8.54%),(1.06%),1.34%,11.13%,11.13%
Selling General & Admin Expenses,(16.26%),1.66%,6.33%,3.60%,3.60%
Total Operating Expenses,(15.95%),2.59%,6.01%,3.47%,3.47%
Operating Income,17.34%,(10.19%),(12.01%),37.52%,37.52%
Interest Expense,-19.07%,-29.42%,-24.04%,-8.96%,-8.96%
Net Interest Expenses,-19.07%,-29.42%,-24.04%,-8.96%,-8.96%
Other Non Operating Income (Expenses),"6,600.00%",(92.54%),,-42.86%,-42.86%
"EBT, Excl. Unusual Items",27.99%,(7.11%),(10.51%),42.89%,42.89%
"EBT, Incl. Unusual Items",28.18%,,,58.35%,58.35%
Income Tax Expense,,,(3.58%),46.45%,46.45%
Earnings From Continuing Operations,91.29%,,,62.26%,62.26%
Net Income to Company,91.29%,,,62.26%,62.26%
Net Income,91.29%,,,62.26%,62.26%
NI to Common Incl Extra Items,91.29%,,,62.26%,62.26%
NI to Common Excl. Extra Items,91.29%,,,62.26%,62.26%
Revenue Per Share,6.87%,2.13%,3.75%,8.41%,8.41%
Basic EPS,90.51%,,,62.65%,62.81%
Basic EPS - Continuing Ops,90.51%,,,62.65%,62.81%
Basic Weighted Average Shares Outst.,0.47%,0.46%,(0.29%),(0.34%),(0.34%)
Diluted EPS,90.74%,,,62.82%,62.82%
Diluted EPS - Continuing Ops,90.74%,,,62.82%,62.82%
Diluted Weighted Average Shares Outst.,0.38%,0.08%,0.17%,(0.42%),(0.42%)
Normalized Basic EPS,27.46%,(7.50%),(10.20%),43.54%,43.37%
Normalized Diluted EPS,27.34%,(7.29%),(10.62%),43.38%,43.49%
EBITDA,11.50%,(7.43%),(7.92%),28.51%,28.51%
EBITA,16.24%,(10.03%),(12.26%),36.01%,36.01%
EBIT,17.34%,(10.19%),(12.01%),37.52%,37.52%
EBITDAR,,,8.04%,16.34%,
Effective Tax Rate,,,,(7.52%),(7.52%)
Normalized Net Income,27.99%,(7.11%),(10.51%),42.89%,42.89%
Interest Capitalized,(4.17%),82.61%,(42.86%),33.33%,
